gene,category,in_ferroptosis,in_senescence,in_shared,in_iron_aging_list,n_sig_datasets_L1,mean_abs_log2FC,rra_padj,evidence_tier
CXCL10,桥接基因 | 纯衰老 | 铁衰老候选,False,True,True,True,4,84.099,0.3973,Tier1_核心
HMGB1,纯衰老 | 铁衰老候选,False,True,False,True,4,215.833,0.4898,Tier1_核心
IFNG,桥接基因 | 纯衰老 | 铁衰老候选,False,True,True,True,4,55.971,0.5955,Tier1_核心
IRF1,桥接基因 | 铁衰老候选,False,False,True,True,4,1982.381,0.3469,Tier1_核心
PTGS2,纯铁死亡 | 铁衰老候选,True,False,False,True,4,814.784,0.3225,Tier1_核心
SOD1,桥接基因 | 铁衰老候选,False,False,True,True,4,1357.313,0.324,Tier1_核心
ATF3,纯铁死亡 | 铁衰老候选,True,False,False,True,3,22.147,0.533,Tier1_核心
ATG3,纯铁死亡 | 铁衰老候选,True,False,False,True,3,90.813,0.5934,Tier1_核心
BAP1,纯铁死亡 | 铁衰老候选,True,False,False,True,3,54.681,0.4315,Tier1_核心
CD74,桥接基因 | 铁衰老候选,False,False,True,True,3,2263.279,0.3469,Tier1_核心
CDO1,纯铁死亡 | 铁衰老候选,True,False,False,True,3,14.956,0.4088,Tier1_核心
DPP4,纯铁死亡 | 铁衰老候选,True,False,False,True,3,78.73,0.3973,Tier1_核心
E2F1,纯衰老 | 铁衰老候选,False,True,False,True,3,19.713,0.3973,Tier1_核心
HIF1A,桥接基因 | 铁衰老候选,False,False,True,True,3,591.76,0.4088,Tier1_核心
HMOX1,纯铁死亡 | 铁衰老候选,True,False,False,True,3,149.65,0.418,Tier1_核心
IGFBP7,纯衰老 | 铁衰老候选,False,True,False,True,3,34.517,0.6593,Tier1_核心
IL1B,桥接基因 | 纯衰老 | 铁衰老候选,False,True,True,True,3,450.835,0.3973,Tier1_核心
KEAP1,桥接基因 | 铁衰老候选,False,False,True,True,3,73.35,0.3469,Tier1_核心
MAPK1,纯衰老 | 铁衰老候选,False,True,False,True,3,530.048,0.3225,Tier1_核心
MAPK14,纯衰老 | 铁衰老候选,False,True,False,True,3,87.414,0.473,Tier1_核心
S100A8,桥接基因 | 铁衰老候选,False,False,True,True,3,2843.834,0.3876,Tier1_核心
SAT1,纯铁死亡 | 铁衰老候选,True,False,False,True,3,2932.484,0.3225,Tier1_核心
TFRC,纯铁死亡 | 铁衰老候选,True,False,False,True,3,297.748,0.4315,Tier1_核心
TLR4,桥接基因 | 铁衰老候选,False,False,True,True,3,334.371,0.3469,Tier1_核心
ZEB1,纯铁死亡 | 铁衰老候选,True,False,False,True,3,12.749,0.4088,Tier1_核心
IL6,纯衰老 | 铁衰老候选,False,True,False,True,2,6.595,0.4499,Tier2_双验证
ABCC1,纯铁死亡 | 铁衰老候选,True,False,False,True,0,0.159,,Tier2_双验证
ACSL3,纯铁死亡 | 铁衰老候选,True,False,False,True,0,,,Tier2_双验证
CRYAB,纯铁死亡 | 铁衰老候选,True,False,False,True,0,,,Tier2_双验证
CXCL8,纯衰老 | 铁衰老候选,False,True,False,True,0,,,Tier2_双验证
E2F3,纯衰老 | 铁衰老候选,False,True,False,True,0,0.363,,Tier2_双验证
FABP5,纯铁死亡 | 铁衰老候选,True,False,False,True,0,,,Tier2_双验证
FBXL5,纯铁死亡 | 铁衰老候选,True,False,False,True,0,,,Tier2_双验证
GSS,纯铁死亡 | 铁衰老候选,True,False,False,True,0,,,Tier2_双验证
HERC2,纯铁死亡 | 铁衰老候选,True,False,False,True,0,,,Tier2_双验证
NLRP3,桥接基因 | 铁衰老候选,False,False,True,True,0,0.81,,Tier2_双验证
SLC39A8,纯铁死亡 | 铁衰老候选,True,False,False,True,0,,,Tier2_双验证
STAT1,纯衰老 | 铁衰老候选,False,True,False,True,0,,,Tier2_双验证
CCL2,纯衰老,False,True,False,False,4,29.099,0.489,Tier3_L1支持
CDK4,纯衰老,False,True,False,False,4,132.023,0.4315,Tier3_L1支持
CHEK1,纯衰老,False,True,False,False,4,16.792,0.6181,Tier3_L1支持
DDIT3,纯铁死亡,True,False,False,False,4,136.99,0.3469,Tier3_L1支持
EIF2A,纯铁死亡,True,False,False,False,4,246.451,0.4541,Tier3_L1支持
HMGA1,纯衰老,False,True,False,False,4,154.675,0.424,Tier3_L1支持
HSPB1,纯铁死亡,True,False,False,False,4,816.209,0.3469,Tier3_L1支持
JAK2,纯衰老,False,True,False,False,4,171.159,0.3469,Tier3_L1支持
MAX,纯衰老,False,True,False,False,4,180.148,0.5534,Tier3_L1支持
MMP13,纯衰老,False,True,False,False,4,10.886,0.5888,Tier3_L1支持
MNT,纯衰老,False,True,False,False,4,171.448,0.3225,Tier3_L1支持
NFKB1,纯铁死亡,True,False,False,False,4,1039.405,0.3469,Tier3_L1支持
PRKAA1,纯铁死亡,True,False,False,False,4,287.804,0.4088,Tier3_L1支持
PRNP,纯铁死亡,True,False,False,False,4,970.837,0.3973,Tier3_L1支持
PTEN,纯衰老,False,True,False,False,4,681.784,0.4088,Tier3_L1支持
RPS6KB1,纯衰老,False,True,False,False,4,136.205,0.5802,Tier3_L1支持
SERPINE1,纯衰老,False,True,False,False,4,15.239,0.6021,Tier3_L1支持
SLC40A1,纯铁死亡,True,False,False,False,4,638.557,0.4088,Tier3_L1支持
STEAP3,纯铁死亡,True,False,False,False,4,27.059,0.3973,Tier3_L1支持
TERF2,纯衰老,False,True,False,False,4,75.206,0.5668,Tier3_L1支持
TFAM,纯铁死亡,True,False,False,False,4,197.222,0.3973,Tier3_L1支持
XRCC1,纯衰老,False,True,False,False,4,54.554,0.3469,Tier3_L1支持
XRCC5,纯衰老,False,True,False,False,4,135.398,0.4088,Tier3_L1支持
ABCC2,纯铁死亡,True,False,False,False,3,16.624,0.6398,Tier3_L1支持
ACSL4,纯铁死亡,True,False,False,False,3,533.638,0.4088,Tier3_L1支持
AKT1,纯衰老,False,True,False,False,3,730.961,0.3973,Tier3_L1支持
ALOX12,纯铁死亡,True,False,False,False,3,57.596,0.418,Tier3_L1支持
ALOX5,纯铁死亡,True,False,False,False,3,4249.234,0.3469,Tier3_L1支持
ATF2,纯衰老,False,True,False,False,3,23.656,0.4715,Tier3_L1支持
ATF4,纯铁死亡,True,False,False,False,3,1166.475,0.3469,Tier3_L1支持
ATG5,纯铁死亡,True,False,False,False,3,55.082,0.6274,Tier3_L1支持
ATG7,纯铁死亡,True,False,False,False,3,254.047,0.4315,Tier3_L1支持
ATR,纯衰老,False,True,False,False,3,71.909,0.5188,Tier3_L1支持
BECN1,纯铁死亡,True,False,False,False,3,105.055,0.3469,Tier3_L1支持
BLM,纯衰老,False,True,False,False,3,22.477,0.4315,Tier3_L1支持
BNIP3,纯铁死亡,True,False,False,False,3,165.465,0.5188,Tier3_L1支持
BNIP3L,纯铁死亡,True,False,False,False,3,540.743,0.4088,Tier3_L1支持
BRCA1,纯衰老,False,True,False,False,3,21.753,0.4088,Tier3_L1支持
BRCA2,纯衰老,False,True,False,False,3,5.694,0.3973,Tier3_L1支持
CBS,纯铁死亡,True,False,False,False,3,164.385,0.4088,Tier3_L1支持
CCNA2,纯衰老,False,True,False,False,3,20.832,0.4983,Tier3_L1支持
CCNB1,纯衰老,False,True,False,False,3,10.31,0.5621,Tier3_L1支持
CCND1,纯衰老,False,True,False,False,3,12.777,0.4088,Tier3_L1支持
CCNE1,纯衰老,False,True,False,False,3,7.366,0.4088,Tier3_L1支持
CD38,纯衰老,False,True,False,False,3,31.735,0.4411,Tier3_L1支持
CDK2,纯衰老,False,True,False,False,3,48.487,0.4088,Tier3_L1支持
CDKN1A,桥接基因 | 纯衰老,False,True,True,False,3,473.234,0.3225,Tier3_L1支持
CDKN1B,纯衰老,False,True,False,False,3,703.714,0.4071,Tier3_L1支持
CDKN2A,纯衰老,False,True,False,False,3,12.782,0.3973,Tier3_L1支持
