dataset,cell_type,metric,rho,p_value,significant_bonf,n_samples
GSE16561,Monocyte,ferroptosis,0.6943414345934377,2.7735968413878954e-10,True,63
GSE16561,Monocyte,senescence,0.7397748549968387,4.3256724351565815e-12,True,63
GSE16561,Monocyte,idsp_index,0.7524032408116873,1.1640388907748132e-12,True,63
GSE16561,Macrophage_M1,ferroptosis,0.6574500768049155,4.8195412810417074e-09,True,63
GSE16561,Macrophage_M1,senescence,0.7654181718361739,2.764895326706781e-13,True,63
GSE16561,Macrophage_M1,idsp_index,0.7934427803379416,8.916859345708198e-15,True,63
GSE16561,Macrophage_M2,ferroptosis,-0.4879032258064517,4.9897487623191005e-05,True,63
GSE16561,Macrophage_M2,senescence,-0.09871950268931275,0.4414458299388275,False,63
GSE16561,Macrophage_M2,idsp_index,-0.2676171274961598,0.03396788862719536,False,63
GSE16561,Neutrophil,ferroptosis,0.5919817687088571,3.221436426203864e-07,True,63
GSE16561,Neutrophil,senescence,0.850760439756203,1.0782931918464867e-18,True,63
GSE16561,Neutrophil,idsp_index,0.8112591714983741,7.535990947442212e-16,True,63
GSE16561,Tcell_CD8,ferroptosis,0.6661386328725039,2.5505106236645863e-09,True,63
GSE16561,Tcell_CD8,senescence,0.7082458267338294,8.443296294825737e-11,True,63
GSE16561,Tcell_CD8,idsp_index,0.7126056067588327,5.732359386228796e-11,True,63
GSE16561,Tcell_CD4,ferroptosis,-0.7555294202903443,8.309236438759401e-13,True,63
GSE16561,Tcell_CD4,senescence,-0.7358927585627535,6.379261875522848e-12,True,63
GSE16561,Tcell_CD4,idsp_index,-0.7355118989572816,6.624668132357369e-12,True,63
GSE16561,Treg,ferroptosis,0.36746351766513063,0.0030500330326249728,False,63
GSE16561,Treg,senescence,0.7148463283724292,4.684780092130499e-11,True,63
GSE16561,Treg,idsp_index,0.6373847926267282,1.9419158174746475e-08,True,63
GSE16561,NK_cell,ferroptosis,0.8186542177794989,2.499888760881075e-16,True,63
GSE16561,NK_cell,senescence,0.5745385593932265,8.48298996936681e-07,True,63
GSE16561,NK_cell,idsp_index,0.6609862350014547,3.72916805893175e-09,True,63
GSE16561,B_cell,ferroptosis,-0.595461255098264,2.637441161278752e-07,True,63
GSE16561,B_cell,senescence,-0.7602909055996927,4.92402176857141e-13,True,63
GSE16561,B_cell,idsp_index,-0.6853000828556424,5.802881613098512e-10,True,63
GSE16561,Plasma_cell,ferroptosis,0.7255664362519201,1.7360781252973158e-11,True,63
GSE16561,Plasma_cell,senescence,0.8234785844317118,1.184184376674336e-16,True,63
GSE16561,Plasma_cell,idsp_index,0.84730222734255,2.0563308141731794e-18,True,63
GSE16561,Dendritic_cell,ferroptosis,0.7592645929339478,5.517500710406868e-13,True,63
GSE16561,Dendritic_cell,senescence,0.6432008833134457,1.3102390765165233e-08,True,63
GSE16561,Dendritic_cell,idsp_index,0.700412826420891,1.6638488103211194e-10,True,63
GSE37587,Monocyte,ferroptosis,0.4572132039487878,8.869307685731328e-05,True,68
GSE37587,Monocyte,senescence,0.09638508226132762,0.43427391800358406,False,68
GSE37587,Monocyte,idsp_index,0.22762148337595906,0.06192921918100732,False,68
