,ferroptosis,senescence,shared,dataset,sample,group,idsp_index
GSM416528,0.2919836956521739,0.10143045494980303,0.5402904787520172,GSE16561,GSM416528,case,-1.2441436538233464
GSM416529,0.32273463628762544,0.10317517050027535,0.5541996465073388,GSE16561,GSM416529,case,1.3895337488237112
GSM416530,0.3199754389632107,0.10507079467954421,0.5114577729962345,GSE16561,GSM416530,case,1.1532211192718937
GSM416531,0.3315086747491639,0.09648885923666708,0.5033581802812572,GSE16561,GSM416531,case,0.8582395174658868
GSM416532,0.34149508779264215,0.05990807811242428,0.40966725582110197,GSE16561,GSM416532,case,-3.2297873996463338
GSM416533,0.34668164715719063,0.0740511289024442,0.5531852762621994,GSE16561,GSM416533,case,-1.6492532901280959
GSM416534,0.3337871028428094,0.08416200703181259,0.4897871359409821,GSE16561,GSM416534,case,-0.5193282125822067
GSM416535,0.3337322324414716,0.0748599462023976,0.3980788442326904,GSE16561,GSM416535,case,-1.558865201311582
GSM416536,0.30777853260869564,0.08092144279239209,0.529839391377853,GSE16561,GSM416536,case,-0.8814723065639205
GSM416537,0.3331051421404682,0.09244477273690008,0.5158687466379774,GSE16561,GSM416537,case,0.4062990733833143
GSM416538,0.3367866847826087,0.07744524929046469,0.466871589948513,GSE16561,GSM416538,case,-1.2699487733923465
GSM416539,0.3296561454849498,0.12234983267674843,0.44755244755244755,GSE16561,GSM416539,case,1.9823293507960118
GSM416540,0.33687552257525083,0.06893479688228069,0.44730653961423195,GSE16561,GSM416540,case,-2.22102082413109
GSM416541,0.3456704640468227,0.09022747490151227,0.5526319834012142,GSE16561,GSM416541,case,0.15850848620219793
GSM416542,0.3275083612040134,0.1140975134494006,0.36694075155613615,GSE16561,GSM416542,case,1.7983814516562506
GSM416543,0.3274430392976589,0.0829189964840937,0.48056558825789597,GSE16561,GSM416543,case,-0.6582388760825448
GSM416544,0.332971885451505,0.0792773329944508,0.560070698532237,GSE16561,GSM416544,case,-1.0652071777752319
GSM416545,0.30174540133779265,0.0988213241835049,0.5383539537385691,GSE16561,GSM416545,case,-0.40809821442412736
GSM416546,0.3043765677257525,0.09539278603803956,0.5372166295243218,GSE16561,GSM416546,case,-0.18275084893295834
GSM416547,0.2776442307692308,0.09165845935527597,0.4792438330899869,GSE16561,GSM416547,case,-2.4722532286153447
GSM416548,0.2932822951505017,0.0980456008810946,0.5241527703066164,GSE16561,GSM416548,case,-1.1329245469225384
GSM416549,0.23847721571906355,0.127513820053374,0.5941135787289633,GSE16561,GSM416549,case,-5.826728907575269
GSM416550,0.30641722408026756,0.09109983267674843,0.49055559824790596,GSE16561,GSM416550,case,-0.007977966660262459
GSM416551,0.29185305183946486,0.08135298852035414,0.4770460308921847,GSE16561,GSM416551,case,-1.2553326987831879
GSM416552,0.24326923076923077,0.08571742491633838,0.4735879505110274,GSE16561,GSM416552,case,-5.416314738448353
GSM416553,0.3145484949832776,0.10353655695344602,0.49215399984630753,GSE16561,GSM416553,case,0.688428191640156
GSM416554,0.2841320025083612,0.09943687253780659,0.5126873126873127,GSE16561,GSM416554,case,-1.9166052559097109
GSM416555,0.3239914297658863,0.11416502520438852,0.5642050257434873,GSE16561,GSM416555,case,1.4971723613373673
GSM416556,0.32333821070234114,0.09386781463125345,0.5066933066933067,GSE16561,GSM416556,case,0.5653288532159709
GSM416557,0.3102529264214047,0.10063090396916169,0.5335587489433643,GSE16561,GSM416557,case,0.3205323933606288
GSM416558,0.31806020066889634,0.10158268733850129,0.5082609697994314,GSE16561,GSM416558,case,0.9891897201606483
GSM416559,0.30349602842809364,0.08315992078620749,0.5180358103435027,GSE16561,GSM416559,case,-0.6313147645201784
GSM416560,0.3014736622073579,0.09558473122378955,0.5312687312687313,GSE16561,GSM416560,case,-0.43137142794059247
GSM416561,0.31920464046822744,0.1048616406150718,0.5590255897948205,GSE16561,GSM416561,case,1.0872057540088433
GSM416562,0.2994852633779264,0.12262385097640531,0.5782986244524706,GSE16561,GSM416562,case,-0.6016686922293548
GSM416563,0.33061507107023413,0.09026983521836743,0.5281487743026204,GSE16561,GSM416563,case,0.16324239592744794
GSM416564,0.33252247073578595,0.10607420468505105,0.5544916621839698,GSE16561,GSM416564,case,1.929434527482881
GSM416565,0.2941288670568562,0.1003237916719617,0.5551679090140629,GSE16561,GSM416565,case,-1.0604195355827781
GSM416566,0.272308737458194,0.10582269030372347,0.5340505648197956,GSE16561,GSM416566,case,-2.9292138247751947
GSM416567,0.2987301421404682,0.11713157114415215,0.5448551448551449,GSE16561,GSM416567,control,-0.6663413720972273
GSM416568,0.2956391095317726,0.0928088067098742,0.5385844924306463,GSE16561,GSM416568,control,-0.9310741758470326
GSM416569,0.26959134615384617,0.07943221290295252,0.5336048566817797,GSE16561,GSM416569,control,-3.1619459599398603
GSM416570,0.31782242892976587,0.09916814927775659,0.5262429877814493,GSE16561,GSM416570,control,0.9688256583337367
GSM416571,0.3090510033444816,0.059123088490701914,0.4582801813571044,GSE16561,GSM416571,control,-3.3175126642423947
GSM416572,0.2962661998327759,0.0683086584487652,0.5041881195727349,GSE16561,GSM416572,control,-2.290993927257459
GSM416573,0.31003083193979936,0.04250857796416317,0.43222930915238605,GSE16561,GSM416573,control,-5.174240819293256
GSM416574,0.3107075668896321,0.07862471936290083,0.5292553600245908,GSE16561,GSM416574,control,-1.138138974479884
GSM416575,0.26191210284280936,0.06959402931333926,0.5167447936678706,GSE16561,GSM416575,control,-3.8196380226792366
GSM416576,0.30834552675585286,0.04792407972211632,0.401321755167909,GSE16561,GSM416576,control,-4.569040047855676
GSM416577,0.2886052466555184,0.05321382428940569,0.4695304695304695,GSE16561,GSM416577,control,-3.9778930709149343
GSM416578,0.32043791806020067,0.08659507773118143,0.5090601705986322,GSE16561,GSM416578,control,-0.24742427273809153
GSM416579,0.31436559364548494,0.10027481255559792,0.4961038961038961,GSE16561,GSM416579,control,0.6727635286963807
GSM416580,0.2948160535117057,0.0906696107086881,0.5261507723046185,GSE16561,GSM416580,control,-1.0015651590940216
GSM416581,0.29897836538461536,0.10615627779895793,0.49186198416967647,GSE16561,GSM416581,control,-0.6450821866735337
GSM416582,0.2966555183946488,0.07264397212691151,0.47566279873972184,GSE16561,GSM416582,control,-1.8065078538137842
GSM416583,0.28903375836120404,0.08923200745541576,0.5197110581725967,GSE16561,GSM416583,control,-1.496792289016523
GSM416584,0.30655048076923075,0.08193279535730927,0.46313686313686314,GSE16561,GSM416584,control,-0.7684502118735497
GSM416585,0.30204849498327757,0.08948484559664506,0.5119649581188043,GSE16561,GSM416585,control,-0.38213963011730195
GSM416586,0.26399195234113715,0.08886135468293303,0.5766233766233766,GSE16561,GSM416586,control,-3.6415084269185862
GSM416587,0.2809364548494983,0.07167233235904605,0.5350034580803812,GSE16561,GSM416587,control,-2.1902892956273883
GSM416588,0.29899926839464885,0.06735555131952387,0.5239529701068163,GSE16561,GSM416588,control,-2.397506896075612
GSM416589,0.30792485367892974,0.07937396746727665,0.44221931914239604,GSE16561,GSM416589,control,-1.0544079462145037
GSM416590,0.2843959030100334,0.06357621680010167,0.4174133558748943,GSE16561,GSM416590,control,-2.819860404375364
GSM922887,0.2551839464882943,0.10513301139492523,0.5291785137938985,GSE37587,GSM922887,control,-1.645069774901529
GSM922888,0.3237040133779264,0.0675170500275342,0.4913086913086913,GSE37587,GSM922888,control,-1.0414587377174414
GSM922889,0.304441889632107,0.0917259711102639,0.33906093906093904,GSE37587,GSM922889,control,0.9295632257786874
GSM922890,0.33251201923076923,0.07677013174058542,0.37705371551525396,GSE37587,GSM922890,control,-0.21020008181371175
GSM922891,0.3428459448160535,0.05707390816283306,0.45920233612541306,GSE37587,GSM922891,case,-1.979627483987044
GSM922892,0.30474759615384617,0.08302224975642818,0.5727656958426189,GSE37587,GSM922892,control,0.35146438625972376
GSM922893,0.3030988712374582,0.08384165713559537,0.5422423730116038,GSE37587,GSM922893,control,0.42507656193989624
GSM922894,0.32461590719063543,0.0361293789977549,0.3525397679243833,GSE37587,GSM922894,control,-3.8611975059768593
GSM922895,0.3334186872909699,0.07413320201635108,0.48583723968339354,GSE37587,GSM922895,control,-0.44709096057769315
GSM922896,0.35307796822742477,0.026108516541703732,0.47109813263659417,GSE37587,GSM922896,control,-4.761430413729539
GSM922897,0.3101196697324415,0.06364240479518787,0.45706601091216476,GSE37587,GSM922897,control,-1.3895408673068852
GSM922898,0.350347512541806,0.07903243741263184,0.5543687082148621,GSE37587,GSM922898,control,-0.006963881107063585
GSM922899,0.3458167851170569,0.11470644300419366,0.29741028202566666,GSE37587,GSM922899,control,3.0921620781960053
GSM922900,0.33804347826086956,0.07392404795187868,0.44249596557288867,GSE37587,GSM922900,control,-0.46588049815033816
GSM922901,0.26789558946488295,0.07724139026559919,0.46598017367248135,GSE37587,GSM922901,control,-0.9806527608813036
GSM922902,0.25439485785953175,0.06717154869318423,0.4199646507338815,GSE37587,GSM922902,control,-1.6863141609722598
GSM922903,0.24687238712374582,0.054659370102088364,0.3866748635979405,GSE37587,GSM922903,control,-2.1965396139396045
GSM922904,0.27148829431438126,0.07404186258313213,0.40736186890033044,GSE37587,GSM922904,control,-0.7928678905261541
GSM922905,0.22751358695652174,0.11644189223535392,0.4811342503650196,GSE37587,GSM922905,control,-3.091354703673196
GSM922906,0.2907608695652174,0.05381216376498496,0.3583493429647276,GSE37587,GSM922906,control,-2.272649133221206
GSM922907,0.2636156981605351,0.03952217562587368,0.33881503112272343,GSE37587,GSM922907,control,-3.556402665478826
