dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE16561,IRF1,3487.306468940561,6258.02747585209,-0.8434117142148134,2.9191935850063096e-176,5.137780709611105e-174
GSE16561,STAT1,6016.307824600577,1459.45432394612,2.042700923686139,5.681398319877029e-167,4.999630521491785e-165
GSE16561,ALOX5,11240.612231189565,4015.660788691908,1.484751783982014,1.3236218467059188e-166,7.765248167341391e-165
GSE16561,TIMP1,1766.9591565147728,5453.404004200612,-1.6253366178079824,8.183093535918604e-165,3.600561155804186e-163
GSE16561,IL18,12265.560439368226,22080.909146220423,-0.8480709852650539,5.086589782490631e-162,1.790479603436702e-160
GSE16561,SAT1,10576.790450033173,5501.723760171465,0.9428132336065215,6.659614260218245e-156,1.9534868496640187e-154
GSE16561,GPX4,5805.796339831632,2209.9062953291095,1.3931045548648857,1.4723127187791947e-154,3.7018148357876893e-153
GSE16561,NFKB1,2126.0872187857235,3463.4461105400587,-0.7037455247146994,4.2360397867487157e-153,9.319287530847175e-152
GSE16561,PRNP,2029.8645014642923,763.8012044331607,1.4089372863253518,3.751172073372867e-151,7.051096130594097e-150
GSE16561,HSP90AA1,5621.146006201224,2599.8351327767837,1.112145971173071,4.006304619655737e-151,7.051096130594097e-150
GSE16561,PRKAA1,771.0519675506146,421.89775514774345,0.8683890577508931,1.463168179910394e-148,2.3410690878566304e-147
GSE16561,NCOA4,14738.05186778503,22344.75782911404,-0.6003161209049289,1.6491114210356483e-147,2.418696750852284e-146
GSE16561,MAPK1,1266.1500535058713,2074.6319677317642,-0.7119632849436726,6.775594896396611e-145,9.173113090506181e-144
GSE16561,SOD1,1863.2939067883055,3788.7505399466004,-1.023473566769532,1.7040823554751288e-143,2.1422749611687332e-142
GSE16561,SLC40A1,1319.4853349205482,500.0802539538966,1.3979546874905124,5.251867468513188e-143,6.162191163055474e-142
GSE16561,PTEN,1738.3045988255155,783.2479077744746,1.149128928968755,5.634169525359685e-141,6.197586477895653e-140
GSE16561,HSPB1,710.7944436816649,1812.5241988984599,-1.3492634199243185,7.659403908901815e-140,7.929735811568938e-139
GSE16561,CREBBP,1280.5174004627256,526.9441728358536,1.2793957819238708,7.485340381052408e-139,7.318999483695688e-138
GSE16561,MMP9,5577.61031792367,-1421.3410539384138,11.445690063143617,2.284055965814068e-137,2.115757105175137e-136
GSE16561,FOXO3,5530.164584225428,1684.563564288519,1.7143522374157016,1.1093351507270687e-135,9.762149326398205e-135
GSE16561,PTGS2,1397.9598036648808,315.4655252634654,2.144234259349643,3.634350289845801e-135,3.045931671489814e-134
GSE16561,GABARAPL1,1087.6950021436498,314.5438362457697,1.786687492171764,1.554791866349902e-134,1.2438334930799215e-133
GSE16561,MAX,431.6588371756439,223.51494362326068,0.9464183970506067,2.097254647952359e-130,1.6048557306070228e-129
GSE16561,S100A8,25347.73965287536,19456.81437167744,0.3815379077730872,8.219816993089459e-129,6.02786579493227e-128
GSE16561,TNFRSF1A,1723.7916175834364,3327.227783462969,-0.9483321029316716,1.194266593862506e-127,8.40763682079204e-127
GSE16561,AKT1,2442.70640844698,1226.331447803902,0.9935460578521011,1.8187765910928664e-127,1.231171846278248e-126
GSE16561,MAP1LC3A,1090.7078013499492,137.21773974555614,2.9815720691588803,2.5031772183898542e-127,1.631700705320794e-126
