dataset,gene,mean_case,mean_control,log2FC,pvalue,padj
GSE16561,RPS11,20663.705280606187,11290.977194285499,0.8718088780665719,1.167768494881117e-217,1.3827546747887306e-213
GSE16561,RPL27,16420.895969838562,3784.6288588071397,2.1168275488222963,3.832506829599489e-217,2.269035668464377e-213
GSE16561,PFN1,14577.106758295955,22298.642227352302,-0.6131750520857087,8.101904454154352e-215,3.1978216880547224e-211
GSE16561,RAC2,8432.582563746137,13239.235921825313,-0.6506911937031328,4.13350209285325e-214,1.2236199570368834e-210
GSE16561,LCP1,13499.887767075958,24520.916662230466,-0.8609477367550312,2.0334577393350904e-205,4.815634618293361e-202
GSE16561,MSH3,19180.95548870491,24818.98764338388,-0.37172727892967994,1.1138900980393382e-204,2.1982621084806338e-201
GSE16561,SERPINA1,5516.613319305993,10574.647207224345,-0.9386225101687691,2.3745046147006024e-204,4.016644163238548e-201
GSE16561,EEF1B2,8166.005577410212,1443.6124274017977,2.499124726497222,3.183469099507389e-203,4.711932200908374e-200
GSE16561,RPL30,14734.3315072838,6021.716826386056,1.2907261331806448,1.7033884051143062e-202,2.241091344995389e-199
GSE16561,RPL11,17616.113102826548,8221.994388086287,1.0991705338340418,7.036404454221165e-202,8.331806514243282e-199
GSE16561,LILRB3,19331.942202392092,24826.765058785004,-0.36086870138588334,1.6437589657086418e-201,1.7694318102687298e-198
GSE16561,ITGB2,14194.27579334003,24094.377731887285,-0.7632866886821671,4.98752848301457e-201,4.921443730614627e-198
GSE16561,RPL3,15641.6627124064,23873.52950873352,-0.6099420770810625,3.4487038026820633e-199,3.141238594427562e-196
GSE16561,CCNI,9519.606085309495,16203.287996276988,-0.7672115371378505,7.973111189729836e-199,6.74354354268507e-196
GSE16561,GLTSCR2,6789.703487433707,14861.876574068248,-1.1300243234990155,1.091238273923986e-198,8.614234934355946e-196
GSE16561,RPL27A,15376.770794284688,7317.997271891902,1.0710729295320833,2.097533379478129e-198,1.5523057966500327e-195
GSE16561,FAU,9569.600834882263,2473.914109120018,1.9512310409070188,8.289028032678252e-198,5.77355181970254e-195
GSE16561,RPS15A,18671.870678923267,7013.954640420299,1.412326721456456,1.376315686207594e-197,9.053863355768958e-195
GSE16561,S100A10,5419.7617253042945,13140.606657662482,-1.2775250629962205,2.412112629948573e-196,1.5032539816432132e-193
GSE16561,B2M,13802.09400787815,22460.172205202816,-0.7023913359794686,6.079433336814996e-196,3.5993285070613186e-193
GSE16561,PFDN5,8710.573864789443,3083.984660493718,1.4976700690701417,1.0953396202809603e-195,6.1761506874985e-193
GSE16561,YBX3,8534.530816043734,22573.50530932196,-1.4030094404713973,6.147967114733443e-194,3.3090035729799413e-191
GSE16561,CDC14B,4319.278836753454,14159.444979848535,-1.7125737522045044,1.851658779153169e-192,9.532822436501163e-190
GSE16561,CST3,5760.491727152746,13709.636506630311,-1.2507273971193158,7.0794276640737e-192,3.4928126237623616e-189
GSE16561,KLF2,9810.092408633862,15483.230126822096,-0.6582844281708329,7.454135621088937e-191,3.5305767955725644e-188
GSE16561,LYN,7060.767643943934,13219.847535637762,-0.9046827643172992,7.772320382172771e-191,3.539694063281068e-188
GSE16561,CD52,8606.656752347842,1556.469021645112,2.4664170806146153,1.140335971012799e-190,5.00100675287502e-188
GSE16561,RPS15,12262.284827166108,24100.57461484052,-0.9747004627807314,5.85140823480606e-190,2.4745187467263767e-187
GSE16561,PSAP,9503.68665763391,16469.163327552098,-0.7931023650247301,8.713480172551745e-190,3.557804093902938e-187
GSE16561,SH3BGRL3,3788.7480627576538,7375.863340490202,-0.9609055661668319,2.372857089591794e-189,9.36566693261881e-187
GSE16561,WBP2,5983.447312846811,11923.327300670446,-0.9945948643821217,3.220376089794989e-189,1.2300797832020151e-186
GSE16561,RPL18A,21514.37926434039,10271.935409068059,1.0664353043837766,3.327588535082714e-189,1.2313117451223255e-186
GSE16561,RHOG,3923.6375949497674,7758.320174865982,-0.9833708174366973,6.59310624509726e-189,2.365726395399899e-186
GSE16561,RPL35,10257.290428127693,3438.4905549092528,1.576516349368183,9.712127868751818e-189,3.382391355702655e-186
GSE16561,CFL1,3933.5945999554315,7131.261453544419,-0.8581445944255337,2.2381899874528028e-187,7.57211646897961e-185
GSE16561,RPS16,24493.427113679423,15323.412140615806,0.6765707401641199,3.428620661223945e-187,1.1277304791542425e-184
GSE16561,VIM,4423.168263968601,7843.012681071217,-0.8261856113750997,1.0334833463611113e-186,3.307426028178897e-184
GSE16561,PCBP1,4522.268927322599,6612.253551078899,-0.5479944425363034,3.700387908132563e-186,1.1530603478999389e-183
GSE16561,COMMD6,3227.12016878519,435.20133784404817,2.887628184945488,3.966796370351409e-186,1.2043804056751547e-183
GSE16561,RPL18,19638.19990627282,9419.94832704066,1.0597151714148518,8.937842125164392e-186,2.645824715101789e-183
GSE16561,RNASET2,9081.04047497262,18803.940055398634,-1.0499510323544454,1.2193409655111651e-185,3.5215161884433427e-183
GSE16561,RPS3,18763.971265232456,6050.382117834834,1.6325639419539788,3.010538115486808e-185,8.487567101304594e-183
GSE16561,S100A6,5109.202698239481,9068.997046122662,-0.8277215635279579,3.7187849973734903e-185,1.0240496082302209e-182
GSE16561,ORC6,21244.333334658124,27101.987884514412,-0.35128082872344324,1.2319934330390789e-183,3.3154623274126665e-181
GSE16561,RPS3A,12894.204092375016,1395.8067416168005,3.2063637565031904,1.7179256265942125e-183,4.5204349654449047e-181
GSE16561,HCLS1,4798.782090140473,13715.58939746012,-1.514808391273555,3.067611012441171e-183,7.89643086919911e-181
GSE16561,ATP5I,4852.599587360089,2325.220755510307,1.06106708052318,4.9913510893278215e-183,1.257501877632569e-180
GSE16561,RPL19,19042.269114974093,8550.304847260035,1.1549806377309804,1.9472493938181093e-182,4.803620848375048e-180
GSE16561,COX7C,5829.460563601098,1670.7064836727016,1.8022882873531727,5.810853070577061e-182,1.4042104328306731e-179
GSE16561,RPL12,15006.280102993356,5119.723395936471,1.55115007968589,1.3960907049464624e-181,3.306222007454212e-179
GSE16561,IFIT2,5933.13066406987,-287.0096035866888,11.534820978640735,6.132530468412942e-181,1.423829279930934e-178
GSE16561,GNAS,6509.14320159067,12109.398542442781,-0.8954635439654169,2.3758162688038175e-180,5.410007776712692e-178
GSE16561,FLOT2,6234.250988470184,13726.139665298266,-1.138464450615217,1.0603578133655764e-179,2.3689994090682623e-177
GSE16561,RPL24,10792.283433608914,4011.85847684032,1.4274137393992308,1.5057512238671797e-179,3.3017778225576435e-177
GSE16561,TNFRSF14,5988.187403785889,3012.9305707503554,0.9907140922287466,6.77589414680206e-179,1.4587884107687852e-176
GSE16561,YWHAB,4994.170107636554,8540.792114426049,-0.7740049778643481,1.1616665572572196e-178,2.45630244722906e-176
GSE16561,SLC25A39,12609.304249060388,27997.63856157355,-1.1506404384423017,4.7933441596549034e-178,9.95754178850416e-176
GSE16561,SLC2A3,4536.353190850895,10664.37786288101,-1.2330000726901742,5.06277056702192e-178,1.0335907980018372e-175
GSE16561,SLC44A4,11367.691786518864,21923.68593580129,-0.947417080096616,6.458180407363562e-178,1.2961239695524055e-175
GSE16561,ACTB,18415.088197915287,27180.37740063583,-0.5616085196811477,1.070722705768233e-177,2.1130712598336078e-175
GSE16561,GBP2,6300.193945645849,2720.484380195063,1.2112314595004086,1.4996197942652251e-177,2.910983276048284e-175
GSE16561,CAP1,7012.3985682016355,13586.541700473099,-0.9540631451100704,2.078697620764744e-177,3.9699771818508607e-175
GSE16561,LITAF,8343.946049805449,16613.68480613177,-0.9934273891774499,2.2791252134007107e-177,4.283670103472669e-175
GSE16561,GAPDH,4852.388395892585,8575.772871590032,-0.8214425986012089,2.409447853921305e-177,4.4578550059815893e-175
GSE16561,SULT1A1,5775.411739511821,12399.148169013732,-1.1020798675401915,2.8320115802370716e-177,5.15905371101341e-175
GSE16561,IFITM1,6554.077111757105,14168.575802448611,-1.112062611390155,3.7605486966257035e-177,6.746766229809842e-175
GSE16561,RPS24,6680.290331078936,1845.7937070309424,1.8551040300638453,1.936040440022462e-176,3.421590276165071e-174
GSE16561,TALDO1,8815.374677061345,17546.821177417176,-0.9929730232721817,2.28647967531487e-176,3.981500858147555e-174
GSE16561,LTB,4446.500932323707,10184.521173674548,-1.1954496171497704,2.8275597080809885e-176,4.852338333824201e-174
GSE16561,IRF1,3487.306468940561,6258.02747585209,-0.8434117142148134,2.9191935850063096e-176,4.9380244628656725e-174
GSE16561,GNAI2,2543.8951762122942,4684.188521713459,-0.8805008667695471,4.4574689942045075e-176,7.4339282197712075e-174
GSE16561,FKTN,11677.478897940497,21979.535734168265,-0.912304816493138,7.831298539732824e-176,1.2879223056802273e-173
GSE16561,MYL6,22731.168221302945,13653.400882579977,0.7353155701064276,1.0429541536099874e-175,1.6917287853282002e-173
GSE16561,ALPL,2864.334372630099,12611.967921936928,-2.138030751029818,1.094937843469142e-175,1.752048514124069e-173
