gene,n_datasets,mean_normalized_rank,rank_cv,ks_statistic,rra_pvalue,rra_padj,significant
BNIP3,5,0.10733944954128441,0.6490101027826589,0.8211009174311926,0.0003664971170857991,0.06742044310437685,False
TNFRSF1A,5,0.861467889908257,0.0624071792288247,0.7889908256880734,0.0008367521677404755,0.06742044310437685,False
HMOX1,5,0.8660550458715596,0.08343800282835796,0.7844036697247706,0.0009320798585858552,0.06742044310437685,False
PRNP,5,0.13027522935779817,0.6506371528091519,0.7522935779816513,0.0019041278032034912,0.10046669747026439,False
MTOR,5,0.14036697247706423,0.49973293734585883,0.7431192660550459,0.0023149008633701475,0.10046669747026439,False
GABARAPL1,5,0.22293577981651377,1.4969245399953062,0.726605504587156,0.0032656119982627965,0.10098909911092367,False
GOT1,5,0.18256880733944955,1.4751461487507385,0.7220183486238533,0.0035867943851132043,0.10098909911092367,False
PLIN2,5,0.8302752293577982,0.08756513925363572,0.7201834862385321,0.003723100428052486,0.10098909911092367,False
TIMP1,5,0.8568807339449542,0.18009443717145868,0.7128440366972477,0.0043163063727729555,0.10407094254352571,False
CSE1L,5,0.255045871559633,0.14944300775366579,0.6926605504587156,0.006403817340111795,0.13896283628042594,False
NFE2L2,5,0.761467889908257,0.11127469772533648,0.6697247706422018,0.009788824288634507,0.1770145725528073,False
STAT3,5,0.8238532110091743,0.10845890699818414,0.6697247706422018,0.009788824288634507,0.1770145725528073,False
HSPB1,5,0.7495412844036697,0.46681388325353645,0.6440366972477065,0.015240921585586556,0.25440615262094485,False
IL1B,5,0.7761467889908257,0.18210216368018564,0.6256880733944954,0.020472492287163996,0.3136634401409712,False
LPIN1,5,0.24862385321100916,1.0994452405036532,0.6211009174311927,0.021980817671614947,0.3136634401409712,False
ATG5,5,0.2706422018348624,0.2608187669369529,0.6146788990825688,0.0242382300551299,0.3136634401409712,False
RPS6KB1,5,0.17155963302752295,0.7635270072494792,0.6119266055045872,0.025259633896680057,0.3136634401409712,False
LIG4,5,0.22935779816513763,1.1929124024787363,0.6073394495412845,0.02703643181445176,0.3136634401409712,False
NFKB1,5,0.7110091743119267,0.18082939913631185,0.6055045871559633,0.027773807343573667,0.3136634401409712,False
BNIP3L,5,0.30366972477064225,1.1216314703887127,0.6027522935779817,0.028909072824052646,0.3136634401409712,False
CD74,5,0.7311926605504587,0.3487674077962868,0.5935779816513762,0.03295790411425887,0.340565009180675,False
CCL4,3,0.8348623853211009,0.11767310186219612,0.7247706422018348,0.04169790792329748,0.41129300087979787,False
GPX4,5,0.21651376146788995,0.8292969371300726,0.5706422018348625,0.04525438931114351,0.4144992939688794,False
XRCC1,5,0.255045871559633,0.9937176502301781,0.5660550458715596,0.04815874972082563,0.4144992939688794,False
KEAP1,5,0.2651376146788991,0.9515508021146507,0.5614678899082569,0.051230982868467737,0.4144992939688794,False
MCM3,5,0.655045871559633,0.46017302559870976,0.5614678899082568,0.05123098286846781,0.4144992939688794,False
LIG3,5,0.38623853211009174,0.1373570764348079,0.5596330275229358,0.05250862999572296,0.4144992939688794,False
NLRP3,3,0.7874617737003057,0.09053625807269874,0.6972477064220184,0.05549991544590891,0.4144992939688794,False
MYC,5,0.6935779816513762,0.4329743136137344,0.5522935779816514,0.05790983715724549,0.4144992939688794,False
CXCL1,5,0.7522935779816514,0.29998512753101025,0.5522935779816514,0.05790983715724549,0.4144992939688794,False
HDAC3,5,0.29724770642201837,0.7361871353423474,0.5477064220183487,0.06153111055303241,0.4144992939688794,False
IRF1,5,0.7412844036697248,0.19055387257929257,0.5458715596330275,0.06303445484319364,0.4144992939688794,False
IFNG,5,0.2743119266055046,0.4398215846942349,0.5458715596330275,0.06303445484319364,0.4144992939688794,False
CCNE1,5,0.2862385321100917,0.5843186943939573,0.5431192660550459,0.06534956704546493,0.4170840014372321,False
EIF2AK3,3,0.2568807339449541,0.2723824092524528,0.6651376146788991,0.07510745576611283,0.4562363607648758,False
TIMP2,5,0.6678899082568807,0.4662566268910995,0.5293577981651376,0.07805269193426881,0.4562363607648758,False
AKT1,5,0.26788990825688075,0.6082600566272099,0.5293577981651376,0.07805269193426881,0.4562363607648758,False
RFC1,5,0.328440366972477,0.37252559525692924,0.5275229357798166,0.0798939249265681,0.4562363607648758,False
CD4,5,0.32201834862385326,0.8225875952503932,0.5247706422018349,0.08272313671781373,0.46028001712219435,False
TSC1,5,0.2669724770642202,1.0348950014609446,0.5201834862385322,0.08762100185958563,0.475343935088252,False
CCL2,5,0.7559633027522936,0.3397928222195568,0.5174311926605505,0.0906710667774954,0.4798932070906464,False
RAD51,3,0.28134556574923547,0.219688944905825,0.6422018348623852,0.09391655836793367,0.4852355515676573,False
ATM,3,0.1941896024464832,0.645573259611467,0.6330275229357798,0.10313745869783614,0.5169653765732716,False
TSC2,5,0.23486238532110093,0.8461698517216579,0.5036697247706422,0.10721440581868065,0.5169653765732716,False
ACSL4,5,0.3201834862385321,0.9733436210351449,0.5036697247706422,0.10721440581868065,0.5169653765732716,False
MAPK3,5,0.31009174311926613,0.9494045500623384,0.5018348623853212,0.10958713051783638,0.5169653765732716,False
BECN1,5,0.3018348623853211,0.7777473483147873,0.4972477064220184,0.11569513239658968,0.5341668878736162,False
MAP1LC3A,5,0.2844036697247706,0.9930036210710855,0.49449541284403664,0.11948199749451316,0.5401581970064449,False
FANCD2,5,0.31100917431192665,0.6894960792666611,0.49266055045871565,0.12205793357619033,0.5405422772659857,False
SIRT6,5,0.35779816513761464,0.3646078112370002,0.49082568807339455,0.1246752251363894,0.54109047709193,False
VDAC3,5,0.3192660550458715,0.8694891385924775,0.48807339449541287,0.12867918809829515,0.5475173297515695,False
TFRC,5,0.30733944954128445,0.5379763737806404,0.4862385321100917,0.1314008254163309,0.5483457522181502,False
IL18,5,0.6587155963302752,0.49431321960968394,0.47889908256880737,0.1427103542982281,0.5734842015317685,False
DPP4,5,0.2880733944954129,0.8449639372967188,0.47889908256880737,0.1427103542982281,0.5734842015317685,False
PRKDC,5,0.326605504587156,1.0193339921962339,0.47614678899082563,0.14712757670815857,0.5804851662849165,False
RAD50,5,0.3247706422018349,0.5248766971916727,0.47247706422018354,0.15316817004185834,0.5889662001639978,False
SERPINE1,5,0.7027522935779815,0.36486791004723357,0.4715596330275229,0.15470540741634964,0.5889662001639978,False
GADD45A,5,0.6834862385321101,0.3679664472980602,0.4697247706422018,0.157812518938522,0.5904364932699875,False
CSF2,4,0.319954128440367,0.4311069630624453,0.5137614678899083,0.16598438824943315,0.6013101160493857,False
HMGA2,5,0.35045871559633024,0.3636388555839957,0.463302752293578,0.1690318759401499,0.6013101160493857,False
MMP12,5,0.7366972477064221,0.27981431979052446,0.463302752293578,0.1690318759401499,0.6013101160493857,False
CREBBP,5,0.3513761467889909,0.8517353870932326,0.46055045871559636,0.1740051306699697,0.609017957344894,False
MAPK1,5,0.4045871559633027,0.9163467034328131,0.4532110091743119,0.18775448181380705,0.6366050398999396,False
MNT,5,0.37431192660550455,0.8170482007785774,0.4532110091743119,0.18775448181380705,0.6366050398999396,False
LMNB1,5,0.6220183486238532,0.384262874000009,0.4513761467889908,0.19130304286848954,0.6386578508071112,False
MAPK8,5,0.29541284403669726,0.7514372890013907,0.4495412844036697,0.19489623572973047,0.6407951992932047,False
SAT1,5,0.6321100917431193,0.5053300016011445,0.44678899082568807,0.20036983341583114,0.6415624215183369,False
WRN,3,0.3287461773700306,0.2737477017584633,0.5642201834862386,0.20104260213477837,0.6415624215183369,False
VDAC2,5,0.34036697247706427,0.5432052674335538,0.44220183486238535,0.20971635765159502,0.643158759712239,False
BUB1B,5,0.6137614678899083,0.27628559283810344,0.44036697247706424,0.21353341419187333,0.643158759712239,False
PRKAA2,5,0.3321100917431193,0.625957341945563,0.44036697247706424,0.21353341419187333,0.643158759712239,False
RPA3,5,0.29724770642201837,0.6598300576058206,0.44036697247706424,0.21353341419187333,0.643158759712239,False
MAD2L1,5,0.3357798165137615,0.6583168767491179,0.4376146788990826,0.21934311036529697,0.643158759712239,False
BUB3,5,0.3623853211009174,0.4971961119325005,0.4357798165137615,0.22327232611644066,0.643158759712239,False
ADIPOQ,5,0.2944954128440367,0.7023108675844988,0.4357798165137615,0.22327232611644066,0.643158759712239,False
PTGS2,5,0.544954128440367,0.7922731349017266,0.4348623853211009,0.22525375916189017,0.643158759712239,False
RFC5,5,0.3752293577981652,0.40363778825875235,0.4311926605504587,0.23329162649370605,0.6574582201186261,False
RB1,5,0.3761467889908257,0.3597044196027662,0.4284403669724771,0.23943769325212627,0.6621579965781049,False
EIF2A,5,0.30825688073394497,0.640358349043786,0.42660550458715596,0.2435910424402299,0.6621579965781049,False
