,S1,S2,S3,I1_3hr,I2_3hr,I3_3hr,I1_6hr,I2_6hr,I3_6hr,I1_12hr,I2_12hr,I3_12hr,I1_24hr,I2_24hr,I3_24hr,S1,S2,S3
MARCH1,0.06468171286244247,0.24994498097402087,0.159457782405914,0.23622964865893328,0.31700999822349674,0.36287898377542926,0.21956495832058123,0.21183934883142577,0.3664222384544765,0.11566662019724434,0.07264912858301324,0.21515990172663688,0.14162631577357399,0.23929671331668462,0.06315696976092773,0.06468171286244247,0.24994498097402087,0.159457782405914
MARC1,5.090043060928948,5.020064021613701,5.192070879685835,5.006042054854521,5.174774162589583,5.185833175800223,5.3153391966950245,4.934357812675655,4.801734193320925,4.977752488563326,5.0809494358646825,4.591795352049955,4.776413540524398,4.801269721479,4.741644748945669,5.090043060928948,5.020064021613701,5.192070879685835
MARCH2,5.669291741218183,5.7514292553091515,5.727286931175596,5.344982540829916,5.548780588613667,5.4758046547796,5.311931757733074,5.412682895845893,5.516458223252255,5.512840892124017,5.6795234631440215,5.394317162895185,5.392362665946692,5.614443243262577,5.464695186191839,5.669291741218183,5.7514292553091515,5.727286931175596
MARCH3,5.409324103503632,5.603521727453483,5.54970607722479,5.338653647973754,5.699089263721522,5.491174751652747,5.153430715932852,5.2200295720479355,5.4534095890357195,5.228003733184264,5.4093076484388485,5.099814519238016,5.15926903670453,5.285693205775764,5.148001016084661,5.409324103503632,5.603521727453483,5.54970607722479
MARCH4,1.5823906496948594,2.0180050630240136,1.6474656644202579,1.827838235596447,2.433747342264283,1.8754798318570831,2.092263306383731,2.3761074068977415,2.2165362325973788,1.6261536885251868,1.9413050468188333,2.1451674836298,2.3284834256788254,2.2686824288724208,2.1596552512063516,1.5823906496948594,2.0180050630240136,1.6474656644202579
MARCH5,3.6633319052625626,3.8175672012805153,4.0094455766102,3.63066844901166,3.700506160407332,3.8897491105860142,3.7641546640653396,3.806921517280415,3.8865813836505456,3.5695752550939828,3.5536510101700527,3.422082581334567,3.0749598329305923,3.198322541535401,3.349932448613089,3.6633319052625626,3.8175672012805153,4.0094455766102
MARCH6,5.407766635824835,5.307027715122408,5.14995315416087,5.305504604355631,5.3253180709050865,5.370035606854341,5.429796099368464,5.499308614274104,5.385177574492885,5.914809876742498,5.789357577813173,5.496974479649919,5.044466556960814,5.637284291395995,5.843708279024048,5.407766635824835,5.307027715122408,5.14995315416087
MARCH7,5.660817226102922,5.3402476132836645,5.623381460724054,5.922655647892108,5.731146337100994,5.769338279671366,6.167364043725112,6.322929613348539,5.760917839037766,6.321725296820108,5.979075769852328,5.960100021973206,5.849994462984533,6.0147383077183925,6.28482904759113,5.660817226102922,5.3402476132836645,5.623381460724054
MARCH8,5.612958211238858,5.718119418071486,5.716906216233878,5.3966707135965715,5.831059033368319,5.538300620396386,5.6723047671963425,5.7310469660466685,5.772704825858502,5.639035507311673,5.735835072587448,5.454517818111085,5.450519956594269,5.5658162483775815,5.761004512225813,5.612958211238858,5.718119418071486,5.716906216233878
MARCH9,3.7371214609822654,3.620869689794162,3.851972805560432,3.485451183903912,3.973042282019862,3.691113538347156,3.692590874961386,3.8836455809505606,3.8580972369921,3.641302144815257,3.7464050729041567,3.61568463574133,3.1854091641602316,3.5114746419433294,3.217388787385709,3.7371214609822654,3.620869689794162,3.851972805560432
