,GSM922891,GSM922921,GSM922922,GSM922923,GSM922924,GSM922925,GSM922926,GSM922927,GSM922928,GSM922929,GSM922930,GSM922931,GSM922932,GSM922933,GSM922934,GSM922935,GSM922936,GSM922937,GSM922938,GSM922939,GSM922940,GSM922941,GSM922942,GSM922943,GSM922944,GSM922945,GSM922946,GSM922947,GSM922948,GSM922949,GSM922950,GSM922952,GSM922953,GSM922954,GSM922887,GSM922888,GSM922889,GSM922890,GSM922892,GSM922893,GSM922894,GSM922895,GSM922896,GSM922897,GSM922898,GSM922899,GSM922900,GSM922901,GSM922902,GSM922903,GSM922904,GSM922905,GSM922906,GSM922907,GSM922908,GSM922909,GSM922910,GSM922911,GSM922912,GSM922913,GSM922914,GSM922915,GSM922916,GSM922917,GSM922918,GSM922919,GSM922920,GSM922951
A1BG,238.4,217.9,223.6,249.2,286.9,231.9,234.3,214.6,206.6,225.6,244.4,234.9,286.8,225.0,189.6,267.2,237.1,228.6,221.1,250.1,233.8,232.9,231.0,222.3,202.4,266.9,242.2,228.9,267.4,306.9,234.7,232.0,252.2,258.3,233.4,274.4,222.9,316.7,232.8,225.4,243.1,210.5,238.5,244.4,230.1,264.7,220.0,265.2,224.5,234.3,271.5,232.1,326.7,235.3,213.2,222.7,284.3,264.2,238.3,289.3,211.3,291.4,250.4,254.5,268.8,228.5,241.9,237.7
A1CF,221.7,187.7,206.3,202.9,253.3,217.4,236.8,218.3,212.5,205.4,209.1,200.9,213.5,235.4,213.7,209.3,241.5,208.3,196.5,200.2,200.4,217.6,223.4,199.2,208.4,210.3,201.1,206.9,213.1,230.6,188.5,194.7,244.1,198.3,201.7,210.5,237.9,304.6,200.8,218.7,210.0,224.0,196.7,200.9,216.2,190.5,196.1,230.8,221.9,227.7,233.0,213.0,240.4,217.2,209.7,232.8,245.6,220.7,207.9,229.2,200.8,230.8,226.7,215.8,223.4,215.6,230.9,206.6
A2M,179.3,198.9,220.6,211.1,175.1,182.9,185.0,160.3,181.7,165.8,199.2,193.7,191.9,187.6,197.3,172.9,200.4,184.9,195.7,174.2,188.9,163.2,184.1,199.0,193.5,221.2,201.8,185.6,175.5,189.0,181.1,193.1,192.9,192.5,186.7,183.8,193.7,176.5,200.2,194.2,196.1,180.4,188.6,206.7,199.6,206.3,194.7,187.0,189.4,185.4,175.6,168.9,178.5,172.5,192.6,195.1,161.8,156.7,198.9,187.9,168.3,194.4,234.4,170.8,173.8,216.1,182.6,193.0
A2ML1,184.3,172.3,208.6,179.6,194.1,188.7,202.8,198.5,189.0,190.6,199.5,203.7,190.8,203.4,209.8,197.8,210.6,200.5,195.5,208.0,205.6,216.7,211.3,167.5,191.2,253.9,185.9,199.6,195.7,210.6,194.0,188.2,227.4,228.3,171.8,212.4,208.1,213.5,186.4,181.4,205.0,187.2,180.0,188.6,200.5,186.7,174.4,198.8,172.2,191.4,206.1,179.1,176.7,195.4,187.6,235.4,184.8,210.5,205.1,192.7,186.9,173.5,190.0,195.6,229.4,190.9,191.0,191.7
A3GALT2,201.1,183.4,198.6,175.3,198.7,193.2,169.5,169.4,192.4,198.2,208.8,174.2,188.3,209.0,196.2,207.5,208.3,196.5,187.3,178.3,207.8,203.1,223.4,186.8,201.2,185.8,208.8,201.6,205.7,211.9,176.1,207.1,230.3,234.7,209.3,191.0,198.0,195.5,195.7,178.6,201.5,174.4,196.0,183.8,174.1,173.1,196.4,192.9,205.7,226.3,197.5,189.1,209.7,218.8,193.0,200.0,204.4,244.4,191.0,198.6,204.1,200.1,209.8,217.3,190.0,189.4,189.1,188.4
A4GALT,177.5,178.8,192.4,172.0,184.4,191.4,210.8,186.6,189.1,177.2,188.9,203.6,190.5,182.8,203.9,203.4,203.7,192.9,190.2,203.3,185.2,197.0,212.7,185.0,187.0,208.6,211.5,189.0,193.4,239.8,173.8,210.9,211.9,181.2,173.5,191.3,235.1,215.8,179.1,184.8,199.5,181.8,214.1,195.1,186.2,180.8,201.2,195.4,182.5,196.6,184.2,187.6,200.8,225.8,174.7,203.4,177.0,226.7,179.4,185.2,187.2,187.5,206.3,188.0,209.1,192.9,177.7,193.2
A4GNT,240.3,229.8,224.0,247.5,246.0,236.6,205.5,210.3,230.4,230.0,246.1,207.7,238.3,321.5,217.9,196.1,215.0,231.3,229.8,254.4,213.9,235.2,221.4,242.6,218.9,189.4,214.9,226.5,228.6,282.7,225.4,206.0,273.0,280.1,248.9,201.6,215.6,224.8,262.4,225.5,246.7,219.9,238.6,222.5,253.8,230.1,219.2,215.6,242.6,224.0,227.1,236.8,230.4,246.5,228.0,203.5,247.4,215.2,215.0,220.1,222.0,251.6,221.0,239.4,234.8,215.2,239.6,207.2
AAAS,295.0,292.3,298.8,335.3,228.9,218.1,253.7,255.6,260.2,252.7,268.8,225.7,259.1,230.2,267.4,258.9,260.1,296.7,249.7,279.8,265.9,268.0,267.4,260.9,238.3,215.2,268.4,255.7,229.2,219.3,261.1,236.8,291.6,212.0,257.0,227.6,237.7,241.7,279.7,270.4,224.4,230.7,317.4,314.1,262.8,281.0,317.6,207.5,193.7,225.7,225.9,243.4,241.0,221.3,263.1,257.9,224.2,232.0,246.5,276.4,247.9,294.0,263.0,216.3,219.3,272.1,274.7,275.8
AACS,309.1,282.6,287.1,262.5,506.5,355.4,335.0,328.5,328.8,289.7,261.5,315.1,324.1,247.9,291.5,310.9,288.6,320.4,293.9,283.6,264.9,282.5,307.9,270.9,298.0,354.7,383.3,264.3,355.9,412.5,269.4,289.6,327.5,245.2,300.0,488.7,357.0,333.1,275.0,318.2,280.6,248.4,301.8,239.9,282.4,227.3,280.8,335.3,327.8,365.9,328.3,324.6,327.7,362.6,280.6,331.5,384.5,328.0,309.3,272.0,286.8,353.9,256.3,335.0,307.6,276.2,263.3,298.2
AADAC,213.4,203.2,207.1,195.2,211.0,210.4,184.4,192.3,211.3,215.0,204.1,188.9,212.2,234.1,207.1,211.6,230.7,197.2,211.3,203.0,195.9,186.8,198.0,201.5,209.4,249.8,231.1,212.3,213.5,218.7,243.2,224.4,206.5,215.6,196.3,231.2,238.9,216.2,209.6,194.8,195.5,198.4,199.9,194.0,194.7,202.2,189.4,198.3,192.5,194.3,192.5,201.9,195.6,191.4,206.3,205.6,185.1,208.2,180.2,208.4,221.7,214.2,198.7,237.7,192.4,221.4,224.0,207.6
AADACL2,178.6,183.6,205.1,200.0,165.5,193.6,182.2,187.4,201.1,179.8,188.4,189.3,195.5,176.8,183.9,179.9,201.4,174.5,183.9,197.4,173.1,196.4,208.8,221.9,192.2,179.7,196.8,185.3,190.3,185.2,179.5,181.2,187.0,215.8,160.6,211.3,201.9,174.1,196.8,197.1,191.6,175.6,191.1,198.8,188.3,180.9,202.8,210.5,204.7,186.4,189.3,199.1,181.9,208.5,176.6,201.5,176.2,189.5,202.5,192.2,190.4,181.2,171.4,186.5,208.1,206.8,184.7,173.9
AADACL4,206.3,177.4,222.4,175.2,221.8,217.2,203.8,202.8,186.1,180.3,216.0,223.9,184.1,211.1,192.1,183.7,212.1,177.0,200.7,214.0,189.0,209.6,184.3,206.7,190.8,203.2,197.0,215.4,223.3,199.4,204.6,211.8,224.3,173.3,229.1,267.4,222.1,221.5,188.4,207.9,205.9,198.1,210.2,196.1,215.0,224.5,192.4,218.6,221.5,238.4,206.3,204.5,206.4,239.6,210.6,222.3,220.1,180.2,178.1,219.0,200.1,205.7,205.7,185.3,161.9,209.2,208.1,187.7
AADAT,197.8,208.2,214.3,212.0,193.4,222.1,218.1,211.4,225.0,203.0,219.4,211.2,242.1,203.8,216.8,223.9,196.3,220.5,199.6,207.7,221.0,216.6,205.9,195.7,203.2,224.0,228.9,206.3,258.2,200.9,224.6,197.2,224.0,209.2,212.5,233.8,197.5,222.2,197.2,203.4,214.2,197.8,199.1,209.1,198.3,228.1,223.2,229.5,214.4,222.7,195.7,224.5,234.5,224.1,223.1,203.1,205.4,202.4,221.5,211.0,181.8,240.4,219.9,221.2,228.8,205.5,196.4,221.8
AAED1,234.1,268.6,247.4,251.7,292.9,275.2,249.0,313.9,254.6,308.2,249.5,268.7,256.3,273.6,276.5,314.9,219.4,236.5,300.2,226.4,279.4,325.6,218.1,384.9,222.8,223.9,257.5,254.0,300.9,225.6,262.0,237.9,316.7,227.2,235.1,241.1,189.2,230.4,281.2,295.1,315.0,271.9,218.9,273.7,278.2,311.2,328.0,318.6,266.1,225.6,413.5,312.5,223.8,236.0,345.3,260.1,271.3,272.2,331.3,234.9,275.6,283.6,373.6,231.4,249.5,333.9,336.9,353.5
AAK1,203.3,211.3,202.8,219.5,228.3,198.1,228.0,200.1,224.0,206.5,212.5,186.3,210.0,214.2,197.3,222.3,205.1,206.3,209.1,193.5,196.0,231.3,202.6,182.3,217.4,203.5,200.9,209.0,189.3,197.2,208.3,192.8,192.0,201.4,216.3,181.6,209.6,202.1,188.0,208.1,213.2,193.3,187.8,196.2,200.3,195.1,190.3,245.2,233.3,188.7,194.6,234.3,242.4,215.1,209.3,221.5,208.8,203.3,211.5,228.3,202.0,206.8,189.5,191.6,184.0,214.1,218.5,195.6
AAMDC,353.1,401.5,382.3,333.9,404.8,486.3,371.8,481.7,337.5,399.5,453.3,399.9,461.9,469.9,398.5,456.7,425.5,469.8,426.2,424.0,427.6,447.2,436.8,628.5,446.1,537.7,415.0,456.4,398.1,471.8,459.4,409.2,591.9,458.6,409.6,390.7,521.6,394.1,408.7,344.8,433.0,440.4,430.5,490.6,318.9,422.3,309.6,506.0,470.8,368.2,596.1,452.1,411.4,451.8,449.4,515.5,300.5,491.7,618.6,517.5,469.4,437.5,534.5,434.1,390.3,450.5,649.3,500.2
AAMP,400.2,425.8,516.3,466.5,531.7,423.9,342.9,384.8,457.4,434.2,386.0,378.9,459.9,442.9,428.6,427.9,475.5,450.4,427.1,417.0,419.2,434.6,425.5,446.6,474.5,521.9,488.8,438.6,549.6,546.0,399.0,379.6,548.7,514.4,398.7,334.7,532.3,361.3,396.0,459.3,448.8,441.8,502.7,442.0,563.1,411.4,391.1,345.7,398.5,407.7,500.6,379.3,440.3,361.0,438.3,433.5,383.8,358.4,391.5,420.6,342.5,502.4,378.1,418.6,366.7,387.4,474.3,388.8
AANAT,178.9,186.8,185.4,191.0,158.6,193.3,168.3,176.1,183.4,171.8,189.2,171.2,179.9,172.1,191.9,177.0,196.4,202.9,168.3,196.2,194.6,182.2,180.7,181.4,210.1,188.5,187.9,184.3,173.8,192.6,200.4,191.4,186.4,180.6,165.2,166.4,227.3,168.5,186.1,172.3,190.7,179.4,199.8,162.0,182.8,184.1,183.5,172.6,168.7,190.0,184.3,188.0,182.1,177.5,174.7,171.6,176.2,192.4,190.9,190.8,171.7,175.0,183.4,214.9,196.6,196.6,193.9,189.0
AAR2,541.9,661.2,533.4,501.2,897.6,652.5,1072.4,1010.0,899.6,717.0,773.6,639.4,961.0,643.5,933.1,856.1,758.4,700.8,770.6,739.4,634.1,857.7,633.4,597.1,713.2,665.0,788.1,707.4,782.7,586.6,707.8,545.0,710.2,562.5,851.3,646.1,694.0,583.3,506.1,578.7,387.3,557.3,563.7,451.8,634.4,403.0,426.6,648.5,609.0,895.0,940.1,998.9,707.6,737.1,1196.8,698.9,672.9,516.7,581.9,674.0,676.4,571.1,621.1,533.8,487.1,637.4,622.5,644.7
AARD,192.9,195.1,182.4,187.3,188.5,168.3,176.1,205.7,173.5,174.6,179.1,179.6,188.0,219.3,205.9,205.6,190.8,190.6,220.1,183.0,192.0,190.2,203.8,170.3,211.3,159.5,190.9,205.3,184.6,214.7,196.0,185.5,209.1,207.9,205.5,208.1,228.7,183.2,186.7,178.4,168.1,164.9,175.4,168.6,179.1,202.8,194.3,173.8,179.2,197.0,207.0,195.3,197.0,186.4,192.5,203.9,193.1,203.2,184.1,189.5,185.8,194.2,181.0,192.7,200.5,190.1,186.3,221.4
