,GSM1509427,GSM1509428,GSM1509429,GSM1509430,GSM1509431,GSM1509422,GSM1509423,GSM1509424,GSM1509425,GSM1509426
4930542C12RIK,3.9292,5.8646,6.2698,5.411,6.0181,6.1768,6.5707,5.7784,4.7306,5.9401
A1BG,5.4887,5.6413,3.0998,6.113,3.7621,4.7367,3.5075,5.3128,6.4105,6.1106
A1CF,6.9797,7.2811,7.2567,7.7796,7.0545,7.2723,6.4229,7.5102,7.2608,7.072
A1I3,3.7279,3.4635,4.9296,2.2922,2.5119,1.9828,3.3042,3.0942,3.5998,4.0023
A2M,14.3266,14.0085,13.8862,13.2438,13.7945,9.3357,8.4381,9.3702,9.1956,9.7423
A3GALT2,8.7706,8.2475,7.742,7.8583,7.8819,6.8486,6.5118,7.213,7.2747,6.9298
A4GALT,6.6879,5.6865,3.8902,3.6313,4.4201,6.8049,6.5753,5.7899,4.6089,7.0963
AAAS,7.6012,7.6994,6.9453,7.7892,7.7325,8.0332,7.0319,8.2109,7.568,8.2812
AACS,9.1731,9.7494,9.6589,9.4352,9.572,10.2169,10.3379,10.5089,10.374,10.3699
AADAC,0.9635,5.4842,6.1068,0.5952,2.8318,5.6721,2.543,4.0042,3.7601,4.6339
AADAT,9.3129,9.2633,9.4289,9.8158,9.3647,9.0217,8.8628,8.8584,9.0707,8.6998
AAED1,11.4678,10.6231,10.9098,10.7255,10.5871,10.524,10.4941,10.4186,10.3576,10.7234
AAGAB,11.0842,11.3359,11.6132,11.5633,11.408,11.7439,11.8053,11.7372,11.8062,11.7894
AAK1,12.657,13.2514,13.3385,13.4942,13.175,14.092,14.0345,13.9136,14.0536,13.9703
AAMDC,10.7487,10.529,10.6866,10.7425,10.3934,10.2389,10.086,10.3067,10.5587,10.6769
AAMP,12.0177,11.8535,11.8085,11.9139,11.9739,11.9301,11.8508,11.7834,11.9677,12.1449
AANAT,5.5786,4.5573,5.8615,5.2536,2.5381,5.2138,6.3148,6.0408,5.9254,4.5057
AAR2,10.1899,10.2092,9.9172,10.2771,9.8432,10.2943,9.8925,10.0105,10.2861,10.4532
AARD,10.2976,9.3316,8.9715,9.8171,9.2708,9.5732,8.4125,8.331,7.7225,8.8088
AARS,12.5073,12.5988,12.7401,12.6636,12.8021,12.9788,12.8988,12.757,12.9688,12.9672
AARS2,8.0945,7.3453,7.6627,7.6943,7.738,7.9809,8.4856,8.1751,7.5586,7.9926
AARSD1,11.1092,11.3578,11.58,11.231,11.179,11.8347,11.5545,11.6214,11.509,11.6442
AASDH,9.1775,9.5308,9.4824,9.4124,9.5388,9.6722,9.9977,9.8423,9.9991,9.7389
AASDHPPT,12.3572,12.073,12.285,12.2787,12.2632,12.0611,11.7844,12.1324,11.8972,12.2302
AASS,9.299,9.3895,8.625,10.0878,9.5988,10.1237,9.5336,10.1547,10.2818,9.7331
AATF,9.3285,9.2831,9.5838,9.6529,9.5146,9.373,9.3552,9.3788,9.4265,9.3828
AATK,11.4547,12.0812,11.8954,11.642,11.8601,12.0869,12.2858,12.271,12.1883,12.5224
ABAT,8.3314,8.5812,9.076,9.0859,8.5433,9.4519,9.2703,9.1755,9.1546,9.1748
ABCA1,14.5903,13.9344,13.6473,13.8032,14.0818,10.6367,11.3567,10.3624,11.7454,11.7222
ABCA2,9.8802,9.7975,9.9823,9.5904,9.5365,9.8448,10.0331,10.2376,10.265,10.163
ABCA3,11.3771,10.7812,10.713,10.713,11.0771,11.1571,11.0708,11.1098,11.0985,11.2995
ABCA4,6.3135,6.3418,4.6949,4.0606,6.0988,6.3508,5.9179,6.835,6.7376,7.3737
ABCA5,9.7011,10.4456,10.2899,10.5466,10.1562,11.0587,11.0187,10.847,11.1287,11.1118
ABCA7,10.1428,9.6263,9.6757,9.6029,9.7316,10.3023,10.0571,9.9842,9.9239,9.7692
ABCA8,9.2618,8.8384,9.267,9.317,9.31,9.88,9.5034,9.1999,9.4238,9.67
ABCA8A,12.0467,12.0003,12.1723,11.7143,12.2452,11.5232,11.3602,12.1774,12.1275,11.7986
ABCB10,10.9821,11.0014,11.1383,11.2014,11.1409,11.5302,11.3791,11.3384,11.2557,11.5745
ABCB11,5.4274,1.895,4.9325,5.5754,5.128,5.7024,6.4222,5.1077,4.7405,5.2485
ABCB1A,10.5111,10.2114,10.3602,10.4418,9.9796,9.9581,9.9533,10.1263,10.478,10.2711
ABCB4,10.1919,9.5882,9.665,9.3933,9.5838,8.1114,8.1476,8.4474,8.1156,8.7311
ABCB6,9.3131,9.2775,9.18,9.2585,9.51,10.1262,9.3482,9.6615,9.7483,10.0885
ABCB8,9.3992,9.3506,9.5346,9.4857,9.741,9.7006,9.4937,9.6522,9.8029,10.0116
ABCB9,7.0492,7.8858,7.724,8.073,7.5614,8.578,9.089,8.9275,9.1434,8.6967
ABCC1,10.2061,9.7514,9.7544,9.8646,9.8066,10.0374,9.7428,9.7579,9.7062,9.7292
ABCC10,7.3978,7.359,7.3075,7.6582,7.6471,7.9501,8.0574,8.1284,8.0464,7.953
ABCC2,5.8851,6.9587,7.0883,6.9264,7.4048,7.6646,7.4924,7.531,7.0703,7.467
ABCC3,9.6637,9.3542,8.8775,8.985,9.2144,7.2629,6.0331,6.4105,7.1894,7.1634
ABCC4,9.9887,9.2358,9.2706,9.1349,9.4541,8.7757,8.6552,8.3552,8.3552,8.8047
ABCC5,10.1693,11.0314,10.4283,10.5068,10.5706,11.1372,11.1609,10.9489,10.9878,10.6689
ABCC6,7.3398,6.9878,5.0685,7.3758,6.6853,7.4304,7.3109,6.9947,6.7937,7.5335
ABCC8,7.1678,7.9974,8.0683,8.062,7.785,8.8952,9.0597,9.0783,9.0613,8.6942
ABCC9,8.6121,8.9347,8.8026,8.9391,8.8091,8.7882,9.1343,8.9324,8.981,9.0155
ABCD1,8.8223,8.3473,8.2985,8.3353,8.6601,7.8963,8.0144,8.0824,7.5186,7.3396
ABCD2,9.012,9.3651,9.8515,9.6597,9.6982,10.6779,10.8445,10.889,10.9652,10.4711
ABCD3,12.4932,12.3451,12.4633,12.3845,12.4408,12.7205,12.3908,12.4613,12.5457,12.4749
ABCD4,9.0006,8.9401,8.992,8.827,8.8411,9.1324,8.6057,8.6219,8.4406,9.0284
ABCE1,11.9934,11.6613,11.8641,11.876,11.9589,12.0168,11.926,11.8751,11.9036,12.0866
ABCF1,11.9402,11.8121,11.5431,11.7086,11.909,11.8258,11.8357,11.9456,11.8656,11.818
ABCF2,10.8379,10.9725,10.8181,10.7943,10.9396,10.9795,10.965,10.9287,11.175,11.1599
ABCF3,10.9601,10.6793,10.779,10.591,10.628,10.9811,10.963,10.8777,11.0258,11.0059
ABCG1,13.3851,13.1109,13.0102,12.7431,12.9252,12.2646,11.9002,12.063,12.1992,12.3864
ABCG2,11.5162,10.4259,10.0141,11.321,9.6684,10.3001,10.5308,10.5739,10.1797,10.018
ABCG3L1,10.5032,10.1615,9.9902,10.1601,9.9694,8.4707,8.1341,8.2893,7.9289,8.6139
ABCG3L2,11.5482,11.0113,10.6306,10.7766,11.0345,8.0693,8.6797,8.9907,8.7566,8.7466
ABCG4,9.8031,9.9048,9.5804,9.7353,9.8844,10.19,10.0235,10.0507,10.0634,10.0409
ABCG5,4.7028,6.189,5.9961,5.1642,6.2547,6.1887,5.0992,5.4743,5.8341,5.1855
ABCG8,6.0816,3.8039,6.7271,3.1888,5.6097,4.0652,5.8631,5.4184,6.1126,5.4978
ABHD1,8.7243,8.8104,8.8011,8.9452,9.1206,9.2826,9.7742,9.6189,9.7189,9.4711
ABHD10,9.4132,9.2345,9.4788,9.4052,9.4391,9.7329,9.6084,9.4828,9.9947,9.7731
ABHD11,9.858,9.3542,9.9112,9.8954,9.6939,9.9559,9.5935,10.0636,9.8691,9.8567
ABHD12,11.6731,11.1701,11.3252,11.0492,11.0391,10.6568,10.6724,10.7284,10.592,10.3993
ABHD13,10.8683,10.7769,10.8734,10.7664,10.6944,11.04,10.8659,11.0612,11.0349,11.0742
ABHD14A,8.1902,8.3278,7.4465,8.9335,8.3699,9.074,9.4255,8.6695,9.2118,8.9116
ABHD14B,10.986,10.4517,10.1093,10.7795,10.5311,9.9977,9.8207,9.8467,10.1966,10.229
ABHD15,8.6581,7.513,8.2579,7.4482,7.4559,6.4731,6.5811,6.6463,6.3636,3.3017
ABHD16A,11.2231,11.0291,11.0373,10.9327,10.9637,11.33,11.5121,11.2731,11.5684,11.2099
ABHD17A,12.3588,12.3582,12.3898,12.1616,12.2794,12.4406,12.474,12.6774,12.4821,12.6626
ABHD17B,6.6422,6.4349,6.3627,6.6508,6.9346,5.4855,7.2008,6.7927,6.4089,6.4904
ABHD17C,12.0093,11.786,11.8148,11.6507,11.8668,12.0641,11.7292,12.0753,11.9057,12.1984
ABHD2,8.8892,9.0604,8.7412,8.9661,9.1315,8.6007,8.5019,8.7256,8.7735,8.4163
ABHD3,13.6532,13.8446,13.9488,13.8724,13.7683,14.0291,14.0361,14.06,13.9658,14.1559
ABHD4,11.9428,11.6206,11.5227,11.3437,11.6294,11.0682,10.8349,10.8788,10.9588,10.9684
ABHD5,11.1791,10.3876,10.5007,10.538,10.7013,10.3817,10.1,10.4489,10.3785,10.5246
ABHD6,11.1028,10.8896,11.0149,11.3597,11.4761,11.6493,12.0495,12.0475,11.9146,12.335
ABHD8,10.3179,11.1663,10.9591,11.1983,10.8029,11.7563,11.9006,11.6989,11.696,11.5842
ABI1,13.0992,12.7555,13.014,12.7971,13.0467,13.1101,12.6929,13.1627,12.7121,13.1283
ABI2,13.6515,13.7729,13.9286,13.8295,13.7278,14.4674,14.4094,14.4254,14.3519,14.6041
ABI3,10.9709,10.387,10.5723,10.3131,10.4064,8.0509,8.0589,8.2962,7.0513,7.859
ABI3BP,11.1402,9.7617,8.9167,10.3048,10.1108,8.3925,8.2234,7.429,8.6207,9.1052
ABL1,9.7649,9.6829,9.0206,9.5097,9.6584,9.2123,9.3904,9.1767,9.3662,9.2061
ABL2,10.8638,10.6354,10.8117,10.7925,10.8524,11.3127,11.2591,11.2566,11.1981,11.383
ABLIM1,10.8098,11.2258,11.4111,11.2352,11.3403,11.7589,11.8717,11.83,11.8876,11.9037
ABLIM2,8.786,9.3695,9.1604,9.4637,9.0577,10.173,10.2856,9.9516,10.3635,10.0594
ABLIM3,8.3541,9.1223,8.7288,9.0997,8.8688,9.6791,9.7735,9.7134,9.6847,9.4775
ABO,8.9579,8.2266,8.4629,8.1871,8.429,8.1878,8.2253,8.6131,8.268,8.1469
ABR,11.6518,11.8247,12.2543,11.8965,11.9574,12.5035,12.2343,12.3139,12.516,12.4982
ABRA,6.4772,6.0633,6.1335,7.1333,6.6284,6.228,7.3775,7.0147,7.35,7.286
ABRACL,13.2147,12.2249,12.1302,12.2482,12.1686,11.1245,10.8252,11.2199,10.933,11.0266
ABT1,10.9567,10.6424,10.7999,10.7496,10.9563,11.1119,10.6115,11.0496,10.9473,11.0652
ABTB1,10.09,10.0193,9.8983,10.091,9.9916,9.8775,9.8177,10.1344,10.3909,9.9994
ABTB2,7.7344,8.3032,7.9006,7.8099,8.0138,7.8037,7.5735,7.8703,7.8397,7.7964
ACAA1A,11.1032,10.9395,10.807,10.9481,10.8881,10.7722,10.765,10.5373,10.784,10.8872
ACAA2,11.9979,11.1596,11.0383,11.5046,11.0754,10.2056,10.0316,10.3485,9.8263,10.3689
ACACA,11.6144,11.6602,11.5673,11.2581,11.5877,11.6822,11.749,11.6144,11.7394,11.824
ACACB,4.4874,4.0113,1.1413,5.9213,0.9566,4.8655,3.1438,4.6109,3.8969,3.1271
ACAD10,7.4627,8.2333,8.2066,7.9578,7.5269,8.1774,8.3315,8.3657,7.4468,7.598
ACAD11,9.3366,9.3165,9.3425,9.4049,9.174,9.0877,8.6981,8.6873,8.7433,9.0697
ACAD8,10.1978,10.0435,9.9524,9.9616,10.0176,10.4993,10.3629,10.4815,10.4222,10.4121
