,GSM2571735,GSM2571736,GSM2571737,GSM2571738,GSM2571739,GSM2571740,GSM2571741,GSM2571742,GSM2571743,GSM2571744,GSM2571745,GSM2571746
4930542C12RIK,6.510475581,6.509924757,6.510443985,6.510205229,6.510200519,6.510429968,6.510346796,6.510118826,6.510013683,6.510050355,6.510086579,6.510264454
A1BG,6.19670882,6.196685667,6.196752389,6.196633209,6.196833319,6.196706553,6.196576701,6.196584947,6.196504239,6.196546381,6.196653513,6.196678398
A1CF,6.615461337,6.615305179,6.614834852,6.615186002,6.615763491,6.615473589,6.615625724,6.615660206,6.615497919,6.615193245,6.615440871,6.615591672
A1I3,6.382312877,6.381650473,6.382340171,6.382049779,6.382167731,6.382322312,6.381957193,6.381917687,6.381450885,6.381138408,6.382070678,6.382612778
A2M,8.781327893,8.861145063,9.092767482,9.140044709,9.042828482,9.218141986,8.887621845,7.768573543,7.769960352,7.819391888,7.873114045,7.789103502
A3GALT2,7.6472987,6.922294301,7.765918783,6.682790487,7.91928687,7.736374446,7.113186569,6.060160417,5.998159241,5.849765483,6.053719011,6.113944966
A4GALT,6.537634355,6.537475771,6.537726348,6.537613977,6.537996759,6.537478485,6.537767755,6.537924806,6.537782228,6.537707892,6.537513546,6.537950643
AAAS,7.249066977,7.249143355,7.249439399,7.249706902,7.249435504,7.249562154,7.249600453,7.249540773,7.249728249,7.24986872,7.249668886,7.249429566
AACS,8.247124296,8.247394931,8.247106803,8.24706857,8.247330287,8.247299244,8.247028862,8.247086638,8.247289839,8.247415559,8.247319152,8.247177497
AADAC,6.046830862,6.046523338,6.0465417,6.046629848,6.04671986,6.046597328,6.046625043,6.046636145,6.046679901,6.046831346,6.046616359,6.046778072
AADAT,7.240181777,7.318898325,7.187326258,7.923504938,7.213079216,7.084018001,7.819196199,7.39195542,7.62425468,7.633225644,7.382504363,7.342890056
AAED1,7.955622917,7.70427251,8.301419741,8.123979732,7.981314928,8.084029305,7.855202309,8.296340217,8.101863682,8.051833009,8.221798106,8.157651835
AAGAB,8.861470494,8.788329,8.977409073,9.231551844,8.954197294,9.07243346,8.997634628,9.235847895,9.168315369,9.241517237,9.127334337,9.222578982
AAK1,10.75607867,11.16337698,10.54925316,10.90502481,10.67013712,10.60701565,10.92518002,11.13009748,11.22055632,11.184882,11.15901073,10.98515742
