"gene","module","kME"
"HSPA1B",4,NA
"HSPA1A",4,NA
"LARS2",1,NA
"GM24270",1,NA
"GM23935",1,NA
"TTR",9,NA
"GM15564",1,NA
"GM24187",1,NA
"A2M",2,NA
"ATF3",4,NA
"SPP1",2,NA
"GM25911",1,NA
"HMOX1",1,NA
"MSR1",2,NA
"MMP3",2,NA
"CCL9",2,NA
"HSPB1",4,NA
"CD14",2,NA
"IL1RN",2,NA
"CCL2",2,NA
"RNY1",5,NA
"SERPINA3N",2,NA
"CCL4",2,NA
"GM15124",4,NA
"TTLL13",4,NA
"FLNC",2,NA
"TNC",2,NA
"TGM1",2,NA
"LILRB4",2,NA
"DNAJB1",4,NA
"MMP12",2,NA
"CCL12",2,NA
"GPR84",2,NA
"STC2",1,NA
"EMP1",2,NA
"RNY3",5,NA
"ADAM8",2,NA
"GM10800",5,NA
"LGALS3",2,NA
"TLR2",2,NA
"CHAC1",1,NA
"SERPINE1",2,NA
"CCL3",2,NA
"PTX3",2,NA
"ADAMTS9",2,NA
"FOS",12,NA
"HSPH1",1,NA
"C3AR1",2,NA
"THBS1",2,NA
"SOCS3",2,NA
"AY036118",1,NA
"CD44",3,NA
"ADAMTS1",2,NA
"GP49A",2,NA
"ESR1",1,NA
"GM24245",1,NA
"OSMR",2,NA
"LRRC32",4,NA
"TIMP1",2,NA
"GFAP",2,NA
"TGFBI",2,NA
"CYBB",2,NA
"C5AR1",2,NA
"ADORA2A",11,NA
"CXCL1",2,NA
"NEAT1",2,NA
"4930562C15RIK",1,NA
"F5",9,NA
"SLC10A6",2,NA
"JUN",4,NA
"PDE6B",1,NA
"LIF",2,NA
"SESN2",1,NA
"NPAS4",4,NA
"TRH",8,NA
"GPR35",2,NA
"TNFRSF12A",2,NA
"LCN2",2,NA
"PRLR",9,NA
"CAPG",2,NA
"ICAM1",2,NA
"PLIN2",2,NA
"SERPINH1",1,NA
"SELE",2,NA
"SIX4",1,NA
"CDHR1",13,NA
"RRAD",4,NA
"VIM",2,NA
"MS4A6D",2,NA
"MAK",1,NA
"GM25541",5,NA
"CD72",2,NA
"DRD2",11,NA
"PLAUR",2,NA
"BAIAP3",8,NA
"PIEZO1",1,NA
"IL6",2,NA
"GADD45G",4,NA
"GADD45B",4,NA
"SLC15A3",2,NA
"PRG4",3,NA
"GEM",4,NA
"GPR101",8,NA
"PLEK",2,NA
"CD93",2,NA
"GM25835",5,NA
"ANXA2",2,NA
"CLIC6",9,NA
"KL",9,NA
"LRRC10B",11,NA
"RNU12",5,NA
"GM24525",5,NA
"BAG3",4,NA
"GM22270",5,NA
"NPTX2",1,NA
"GM25776",5,NA
"TMEM72",9,NA
"SMTNL2",1,NA
"IL11",2,NA
"TNFRSF1A",2,NA
"TRIB3",1,NA
"GM25107",5,NA
"GM22058",5,NA
"EGR2",12,NA
"CYP1B1",2,NA
"LPL",2,NA
"SLC4A5",9,NA
"MORC4",1,NA
"NTS",8,NA
"MSN",2,NA
"CSF2RB",2,NA
"DMBX1",1,NA
"GM25117",5,NA
"VAULTRC5",5,NA
"OXT",8,NA
"GM25394",5,NA
"SCARNA3A",5,NA
"IGF2BP2",2,NA
"CYR61",2,NA
"CCL6",2,NA
"HSPE1",1,NA
"COL5A3",1,NA
"GM25788",5,NA
"GDF15",2,NA
"PARP3",2,NA
"MAP3K14",1,NA
"DAB2",2,NA
"TMEM252",2,NA
"HSPD1",1,NA
"LOXHD1",1,NA
"SRGN",2,NA
"GM10801",5,NA
"CCL11",2,NA
"EDA2R",2,NA
"CTLA2A",2,NA
"GM23624",5,NA
"NES",2,NA
"C4B",2,NA
"KLK6",2,NA
"IGSF1",8,NA
"ITGA5",2,NA
"CXADR",1,NA
"C3",2,NA
"FOLR1",9,NA
"DUSP2",4,NA
"1600002K03RIK",1,NA
"S100A9",2,NA
"FOSB",12,NA
"GM23245",5,NA
"GM22422",5,NA
"USPL1",1,NA
"CTSC",2,NA
"GM24044",5,NA
"SPHK1",2,NA
"PLAU",2,NA
"SNORA21",5,NA
"GM24616",5,NA
"WISP1",1,NA
"MVP",2,NA
"CCL7",2,NA
"GM26493",5,NA
"SNORD15A",5,NA
"PENK",11,NA
"GM23238",5,NA
"PPP1R15A",4,NA
"SNORA34",5,NA
"RHOJ",2,NA
"GM25129",5,NA
"EIF4EBP1",1,NA
"1500015O10RIK",9,NA
"LRRN4CL",1,NA
"IFITM3",2,NA
"TLR1",2,NA
"TM4SF1",2,NA
"CEBPD",2,NA
"STRA6",2,NA
"PROCR",2,NA
"CD109",1,NA
"GM23502",5,NA
"P2RY12",1,NA
"RGS9",11,NA
"ZFP408",1,NA
"AW551984",8,NA
"SERPINA9",11,NA
"CXCL10",2,NA
"GM22767",5,NA
"GBP2",2,NA
"DEFB42",4,NA
"NFIL3",4,NA
"GM22154",5,NA
"CDH5",2,NA
"ADCY7",1,NA
"9430008C03RIK",1,NA
"GM26397",5,NA
"1810032O08RIK",1,NA
"STEAP4",2,NA
"SBNO2",2,NA
"AQP1",9,NA
"DNAH11",13,NA
"MFRP",9,NA
"HSPG2",2,NA
"RNU11",5,NA
"GM10634",4,NA
"EDN1",2,NA
"GM22748",5,NA
"FRMD7",13,NA
"TAGLN2",2,NA
"SLC5A7",11,NA
"GM24233",5,NA
"SCN5A",8,NA
"TAC1",11,NA
"GM26165",5,NA
"ANGPTL4",2,NA
"FAM186B",4,NA
"MICALCL",1,NA
"IRS4",8,NA
"AKAP12",2,NA
"ADAMTS4",2,NA
"SH3RF2",11,NA
"GM22486",5,NA
"SLC14A1",2,NA
"CALB2",8,NA
"CSF2RB2",2,NA
"SLC5A3",4,NA
"SNORA68",5,NA
"GM24727",5,NA
"MAFF",2,NA
"8430408G22RIK",12,NA
"PMAIP1",1,NA
"CAPN11",0,NA
"GJB2",2,NA
"GM22362",5,NA
"PAPPA",2,NA
"AVP",8,NA
"DLK1",8,NA
"UCN2",2,NA
"CCR5",2,NA
"ZFP516",4,NA
"MT2",1,NA
"A3GALT2",1,NA
"GLIPR2",2,NA
