"gene","module","kME"
"SERPINA13P",4,0.153252867185263
"SPRYD3",4,0.0889838689624615
"RPS26",4,-0.260675217275853
"DPYSL5",4,0.164653673207295
"PPBP",4,0.23737624393475
"EIF1AY",4,0.0739247226136053
"HBE1",4,0.144151507026326
"MS4A3",4,0.26886009085108
"VPREB3",4,-0.562463616702189
"TMEM176A",4,-0.0476940908548835
"MAP3K7CL",4,0.280211531869736
"CHPT1",4,0.163215160511253
"LY6E",4,-0.173030336764111
"DENND6B",4,0.128546530096277
"CAMK1G",4,0.110911154616685
"SPICE1",4,0.16230658181181
"NELL2",4,-0.616291990728697
"AKAP7",4,0.408460479777789
"IL7R",4,-0.579235406488767
"SLC2A11",4,0.467293181609695
"NOL10",4,0.0208747926982262
"MAK",4,0.27179006685096
"FCMR",4,-0.623653767966128
"NSG1",4,-0.45622057004595
"MEFV",4,0.373424782352555
"HIST1H1C",4,0.462000108014738
"CD3G",4,-0.3764668173524
"ANKRD33",4,0.514418575828951
"PIK3IP1",4,-0.4881046881392
"PCED1B",4,-0.582094488037796
"ECHDC2",4,-0.556055134353918
"LIMS1",4,0.217272216352905
"PRKDC",4,0.625878431086005
"PVRIG",4,-0.64427367144419
"MBNL3",4,0.250830774785485
"CD79A",4,-0.404363744782749
"CMTM8",4,-0.250649270153565
"TYW1",4,0.0709029013383792
"PARP12",4,0.141861754040388
"RTN3",4,0.680344961324743
"IRF2",4,0.171609081519727
"AXIN2",4,-0.608634476156753
"YPEL3",4,0.413018883589184
"PARK7",4,-0.0992215327205203
"GIMAP5",4,-0.639661000472273
"FLT3LG",4,-0.732218710728109
"BANF1",4,-0.525145575835175
"DNAJC30",4,-0.636454554896519
"CD7",4,-0.417858585324845
"ZBTB44",4,0.24844298727019
"CD96",4,-0.573474200049994
"C9ORF142",4,-0.456780738617399
"FAU",4,-0.0953656522887751
"SNRPF",4,-0.591366953716042
"MT1X",4,-0.580690653961487
"SHFM1",4,-0.287293311529132
"CCL5",4,-0.253463042059644
"CDC25B",4,-0.631272836738285
"PLEKHF1",4,-0.391077603909836
"TRIB2",4,-0.52380684365149
"DNLZ",4,-0.318707007411588
"GBP4",4,-0.217903195655228
"MZB1",4,-0.179252562565323
"RPL35A",4,-0.129800728877108
"MBOAT2",4,0.291383008663484
"GPR18",4,-0.624739293133583
"VAMP5",4,-0.0648037909876093
"TNFRSF17",4,-0.192329220759981
"CENPV",4,0.011570779221729
"PLSCR3",4,-0.408678696903748
"TNFRSF1B",4,0.522153926449498
"SALL3",4,0.0432142429742668
"ITGB7",4,-0.587009489566742
"HIST1H2BC",4,0.532405744421066
"PPP1R11",4,0.0282504262730931
"APRT",4,-0.668212837022063
"NDUFA12",4,-0.46146366270591
"YBX1",4,0.170640319283099
"NCR3",4,-0.58380630891406
"ROMO1",4,-0.163631859745024
"FAAP100",4,-0.310120855275601
"CXCR5",4,-0.352628961261437
"RPS5",4,-0.516142886628857
"ICOS",4,-0.577891041846251
"HLA-DPB1",4,-0.296080409473392
"PRIM2",4,0.0177371673686915
"ZNF337",4,-0.645571486908332
"ZHX2",4,0.308444894106725
"TSC22D1",4,0.182090704237562
"RPL4",4,-0.488898946093438
"ZNF581",4,-0.416457420271907
"ITM2C",4,-0.508816422560467
"RAB11FIP1",4,0.746134398442491
"KIAA1147",4,-0.604491302688241
"RARRES3",4,-0.489793052633363
"CDK5R1",4,0.351120205463426
"ARL2",4,-0.355220040808522
"LPAR5",4,-0.464771501377847
"ARRDC4",4,0.278952662059837
"MLF2",4,0.326939058461268
"HIST1H3D",4,0.571597945325604
"RILPL1",4,0.494340099170838
"LTA",4,-0.483334268705024
"CTSB",4,0.314351630439127
"HIST1H2BE",4,0.413874292802247
"RPL10A",4,-0.416394359500228
"MAP1S",4,0.34971963931339
"SLX1B",4,0.0962735116183802
"CD81",4,-0.483060681033706
"NDUFB2",4,-0.489561821889075
"THEM6",4,-0.36793723905521
"RGMA",4,0.345235321565064
"ZSCAN18",4,-0.330144710913537
"TMED3",4,-0.359308086292601
"HDAC1",4,-0.204226722455825
"NDUFB7",4,-0.386523243404059
"FRY",4,0.296414739648589
"DDX24",4,-0.433786224924553
"SUSD3",4,-0.641721303401807
"AQP12A",4,0.455292409796444
"RPL22",4,-0.557349264894006
"RALBP1",4,0.715189640782144
"SRPRB",4,-0.460324192281648
"ZCCHC10",4,-0.00107164540042036
"C16ORF58",4,-0.347647367484815
"NXT1",4,-0.532946205450382
"NRROS",4,-0.318854829828595
"SLC25A42",4,-0.619508335525691
"SRP14",4,-0.171993349130485
"TRAF3IP3",4,-0.430540221593766
"CHCHD10",4,-0.534836186703326
"SIGLEC10",4,0.477805359444987
"WDR54",4,-0.546763574370852
"ARHGAP21",4,0.253168933389524
"COPS2",4,0.0301632330942635
"LTN1",4,0.140126562141732
"LIG4",4,0.205829088839931
"CHST12",4,-0.35660763753553
"HNRNPR",4,-0.121675477548528
"ICAM2",4,-0.688957601956224
"GLTSCR2",4,-0.674716894859686
"MED13L",4,0.483215166252386
"GGH",4,0.240656862743009
"CLOCK",4,0.247251767320796
"KRT10",4,-0.546863257053873
"AARS",4,-0.341023289674379
"MRPL23",4,-0.430965598821147
"SNRNP25",4,-0.441205249409506
"GTPBP6",4,-0.465900425490551
"CNDP2",4,-0.0455579182567111
"SF3A3",4,-0.385258528202254
"CD5",4,-0.565522466337817
"SLC14A1",4,0.0708387368604614
"TECR",4,-0.510988777157645
"TMED4",4,-0.0901891181420232
"COBLL1",4,-0.300740237803193
"SMPDL3A",4,0.125828831967883
"ADSL",4,-0.34730780568987
"COX7C",4,-0.334053029001377
"DRAP1",4,-0.147798752557124
"AP1AR",4,-0.0292865794601581
"COX16",4,-0.321877037575984
"GNPTG",4,-0.220867608676195
"HIST1H2AD",4,0.279936245732409
"PABPC4",4,-0.45238741605911
"SNN",4,0.631275743253232
"ATIC",4,-0.450776760112137
"EIF3F",4,-0.651537550682605
"NDUFS8",4,-0.582405687885829
"EIF2A",4,-0.35940618019682
"BOK",4,0.337094884430724
"ADAM10",4,0.181621738343631
"ADCK2",4,-0.485975981787534
"POFUT1",4,0.0560967153399585
"CCDC117",4,0.0784940942157202
"CYB561A3",4,-0.530078617504094
"TIMM22",4,-0.503711332816286
"CCT2",4,-0.399059191616109
"CCDC167",4,-0.487591316553774
"THOC3",4,-0.5829999996146
"TRAT1",4,-0.133676581618802
"PCTP",4,0.432736920865562
"E2F5",4,-0.587713475197404
"SGSH",4,-0.235749778247802
"RSL1D1",4,-0.442556133154821
"STOML2",4,-0.275479501018297
"MRPL14",4,-0.521376529344892
"ARF3",4,0.44004310634762
"NUDC",4,-0.186311098842028
"MRPS24",4,-0.559950846230626
"SSR4",4,-0.394553972286225
"KIF1BP",4,-0.0854596034784332
"ARID5B",4,-0.379815769659219
"TSC22D4",4,0.327087732591973
"ZFYVE16",4,0.367130611325032
"CLDND2",4,-0.141043684406365
"SF3B5",4,-0.146704470920936
"SH3GL1",4,0.235877244909373
"SLC25A32",4,-0.0186232240619175
"MXD4",4,-0.394200739096437
"PLEKHO2",4,0.716174461320093
"WDR44",4,0.226959568543495
"XAB2",4,-0.11980085280195
"RTCB",4,-0.326583445871073
"SENP6",4,0.135909666357387
"SGSM2",4,-0.284598763788278
"TTC39C",4,-0.596085312104087
"IMPDH2",4,-0.57360519623122
"UCKL1",4,-0.490950301924286
"CAPN1",4,0.450962806170243
"EEF2",4,-0.40954770960718
"NIPAL3",4,-0.555941253491204
"EIF1B",4,0.396312444822702
"LAG3",4,-0.345091239382043
"TMEM160",4,-0.556231438008346
"TTC8",4,0.00869849794348303
"IFRD1",4,0.525536181092333
"PPP2R3A",4,0.22932124506879
"PRKAR2B",4,0.147594751420715
"FAM84B",4,-0.500511524915926
"JMJD8",4,-0.528479222165893
"ZC3H18",4,0.320628121485011
"RPUSD2",4,-0.578878932054479
"ZBTB1",4,-0.06591271629646
"TMCC3",4,0.641284717538087
"BRK1",4,-0.0266854196817164
"LSM4",4,-0.585074915707116
"RCC2",4,-0.407652230448962
"LRP5L",4,-0.342312369606172
"GEMIN4",4,-0.465745795047596
"MED10",4,-0.375691669420876
"IMP4",4,-0.393087345442781
"ZC3HC1",4,-0.469298117177356
"UTY",4,0.122768540384618
"CBWD1",4,-0.0166022969599508
"FAM49A",4,0.710530989014266
"SHCBP1",4,0.115635748635209
"HPS6",4,-0.212851163621344
"DDHD1",4,-0.0762747434625732
"DYNLT3",4,-0.068219683790154
"C11ORF1",4,-0.563915829490025
"NENF",4,-0.411326199396167
"RPL29P2",4,-0.0188867062773493
"FAM58A",4,-0.449079378260986
"ABCG1",4,0.253611171927381
"EBNA1BP2",4,-0.524353965318582
"KLRG1",4,-0.103386878013688
"SEMA3C",4,0.253229903543101
"GTF2H2",4,0.16138858440712
"TMUB1",4,-0.276369670506703
"CHORDC1",4,-0.0464028814174576
"TMEM258",4,-0.338651007150276
"URM1",4,-0.557098692761651
"CNIH1",4,-0.285368064597374
"TMC6",4,-0.403598493999688
"FBXL3",4,0.114248795343159
"ACSL4",4,0.589709666697069
"RPAIN",4,-0.44866983256426
"SUMO1P3",4,0.0934332410511784
"POLH",4,0.0173679134090944
"GABPB2",4,0.123536299266398
"CD72",4,-0.429660122183008
"ST6GALNAC3",4,0.481510183562984
"FUT6",4,0.137269830247539
"CD320",4,-0.474202005981634
"TMEM217",4,0.252950540940144
"NDUFB11",4,-0.610762290487941
"PDF",4,0.0471069465055934
"SLFN5",4,-0.357279994593537
"MAP4K1",4,-0.569736518568235
"NIPSNAP3A",4,0.0654411337382244
"RASSF7",4,-0.492044857624383
"COA3",4,-0.400761025370034
"MRPL54",4,-0.363176344570431
"DCTPP1",4,-0.656092668547152
"GRAP2",4,-0.0701723401913694
"PTPN1",4,-0.0247420986445004
"WDR6",4,-0.408652544903721
"MRPL36",4,-0.290776149153277
"B4GALT1",4,0.534272080319224
"TMEM109",4,-0.453518400899269
"SNRNP40",4,-0.384194919345548
"GSTK1",4,-0.33856962567245
"OSBPL10",4,-0.547538379663005
"NDUFB8",4,-0.414858246468467
"PFDN1",4,-0.586941251925229
"RPL30",4,-0.401190420974671
"OR1J1",4,0.0134215619724612
"NAA25",4,-0.14023256469414
"OR52K2",4,0.400086508154209
"GLO1",4,-0.440360203083213
"WBSCR22",4,-0.615540854884542
"RPP21",4,-0.348436897559362
"C21ORF2",4,-0.535877801730055
"GPN3",4,0.358533333595287
"ARHGAP18",4,0.156895058462889
"MRPL34",4,-0.554998128865878
"HACD3",4,-0.502639383137726
"KAT2A",4,-0.491206490516488
