dataset,species,group,ACSL4_expression
GSE16561,Human,High_ISP,0.18021011
GSE16561,Human,High_ISP,0.6522541
GSE16561,Human,High_ISP,0.8037605
GSE16561,Human,High_ISP,1.250268
GSE16561,Human,High_ISP,0.50510025
GSE16561,Human,High_ISP,0.20546484
GSE16561,Human,High_ISP,1.4292421
GSE16561,Human,High_ISP,0.15067339
GSE16561,Human,High_ISP,0.10489464
GSE16561,Human,High_ISP,0.054844856
GSE16561,Human,High_ISP,0.46574593
GSE16561,Human,High_ISP,1.3211069
GSE16561,Human,High_ISP,0.33017063
GSE16561,Human,High_ISP,1.1598549
GSE16561,Human,High_ISP,0.5761347
GSE16561,Human,High_ISP,0.2969656
GSE16561,Human,Low_ISP,0.54711056
GSE16561,Human,Low_ISP,0.29453373
GSE16561,Human,Low_ISP,0.52794456
GSE16561,Human,Low_ISP,0.13916922
GSE16561,Human,Low_ISP,0.27772617
GSE16561,Human,Low_ISP,0.00121212
GSE16561,Human,Low_ISP,0.13249302
GSE16561,Human,Low_ISP,0.07248974
GSE16561,Human,Low_ISP,-0.052835464
GSE16561,Human,Low_ISP,0.34608984
GSE16561,Human,Low_ISP,-0.035794735
GSE16561,Human,Low_ISP,-0.15155125
GSE16561,Human,Low_ISP,0.2070837
GSE16561,Human,Low_ISP,0.012442589
GSE16561,Human,Low_ISP,-0.025599957
GSE16561,Human,Low_ISP,-0.10463333
GSE37587,Human,High_ISP,2139.7
GSE37587,Human,High_ISP,1463.9
GSE37587,Human,High_ISP,3071.8
GSE37587,Human,High_ISP,2326.5
GSE37587,Human,High_ISP,1530.4
GSE37587,Human,High_ISP,2933.1
GSE37587,Human,High_ISP,2025.8
GSE37587,Human,High_ISP,1362.7
GSE37587,Human,High_ISP,1787.5
GSE37587,Human,High_ISP,1672.0
GSE37587,Human,High_ISP,2921.8
GSE37587,Human,High_ISP,2372.1
GSE37587,Human,High_ISP,2372.1
GSE37587,Human,High_ISP,1457.2
GSE37587,Human,High_ISP,1417.7
GSE37587,Human,High_ISP,1475.7
GSE37587,Human,High_ISP,1614.5
GSE37587,Human,Low_ISP,1306.9
GSE37587,Human,Low_ISP,925.6
GSE37587,Human,Low_ISP,1696.6
GSE37587,Human,Low_ISP,1378.2
GSE37587,Human,Low_ISP,3298.2
GSE37587,Human,Low_ISP,1873.1
GSE37587,Human,Low_ISP,1571.7
GSE37587,Human,Low_ISP,2095.1
GSE37587,Human,Low_ISP,1552.3
GSE37587,Human,Low_ISP,977.3
GSE37587,Human,Low_ISP,685.1
GSE37587,Human,Low_ISP,1588.6
GSE37587,Human,Low_ISP,1821.5
GSE37587,Human,Low_ISP,1630.1
GSE37587,Human,Low_ISP,1272.2
GSE37587,Human,Low_ISP,1327.3
GSE37587,Human,Low_ISP,2127.1
GSE61616,Rat,High_ISP,13.2474
GSE61616,Rat,High_ISP,13.1485
GSE61616,Rat,High_ISP,13.1354
GSE61616,Rat,High_ISP,13.1065
GSE61616,Rat,Low_ISP,13.4246
GSE61616,Rat,Low_ISP,13.647
GSE61616,Rat,Low_ISP,13.5233
GSE61616,Rat,Low_ISP,13.8207
GSE97537,Rat,High_ISP,11.0383411
GSE97537,Rat,High_ISP,11.01097307
GSE97537,Rat,High_ISP,10.8354126
GSE97537,Rat,Low_ISP,10.69788598
GSE97537,Rat,Low_ISP,10.71808385
GSE97537,Rat,Low_ISP,10.81113802
GSE104036,Mouse,High_ISP,6.974887914408443
GSE104036,Mouse,High_ISP,6.7134068359126875
GSE104036,Mouse,High_ISP,7.043872641012154
GSE104036,Mouse,High_ISP,6.691512416763935
GSE104036,Mouse,High_ISP,6.695328915767482
GSE104036,Mouse,High_ISP,6.74261595139665
GSE104036,Mouse,High_ISP,6.989102280314252
GSE104036,Mouse,Low_ISP,7.005596956831656
GSE104036,Mouse,Low_ISP,7.554855670974242
GSE104036,Mouse,Low_ISP,7.014285398820355
GSE104036,Mouse,Low_ISP,6.8768108058012825
GSE104036,Mouse,Low_ISP,7.008633027612057
GSE104036,Mouse,Low_ISP,6.613597906181424
GSE104036,Mouse,Low_ISP,6.956899028379843
