cell_type,gene
Endothelial,CLDN5
Endothelial,PECAM1
Endothelial,CDH5
Endothelial,FLT1
Endothelial,TEK
Microglia,CX3CR1
Microglia,AIF1
Microglia,TMEM119
Microglia,CSF1R
Microglia,P2RY12
GABAergic,GAD1
GABAergic,GAD2
GABAergic,SLC32A1
GABAergic,PVALB
GABAergic,SST
GABAergic,VIP
Pericyte,PDGFRB
Pericyte,RGS5
Pericyte,VTN
Pericyte,ANPEP
Astrocyte,GFAP
Astrocyte,AQP4
Astrocyte,ALDH1L1
Astrocyte,SLC1A3
Astrocyte,S100B
Oligodendrocyte,MBP
Oligodendrocyte,PLP1
Oligodendrocyte,MOG
Oligodendrocyte,OLIG2
Oligodendrocyte,CNP
