protein_A,protein_B,score
ATM,CCL2,0
NOX4,SERPINE1,0
MAPK3,NOX4,0
PPARGC1A,NOX4,0
NOX4,PPARGC1A,0
PTGS2,NOX4,0
NOX4,PTGS2,0
NOX4,IL18,0
IL18,NOX4,0
SERPINE1,NOX4,0
STAT3,NOX4,0
JUN,NOX4,0
NOX4,STAT3,0
NOX4,MTOR,0
MTOR,NOX4,0
TIMP1,NOX4,0
NOX4,TIMP1,0
TNFRSF1A,TLR4,0
TLR4,TNFRSF1A,0
TNFRSF1A,STAT3,0
NOX4,MAPK3,0
NOX4,JUN,0
SIRT1,WRN,0
MTOR,WRN,0
LIG4,WRN,0
WRN,LIG3,0
LIG3,WRN,0
XRCC1,WRN,0
WRN,XRCC1,0
WRN,TERF2,0
TERF2,WRN,0
WRN,MTOR,0
WRN,PPARGC1A,0
KEAP1,NOX4,0
PPARGC1A,WRN,0
TLR4,NOX4,0
NOX4,TLR4,0
NOX4,NFE2L2,0
NFE2L2,NOX4,0
SIRT1,NOX4,0
NOX4,SIRT1,0
NOX4,KEAP1,0
STAT3,TNFRSF1A,0
TNFRSF1A,JUN,0
JUN,TNFRSF1A,0
TSC2,SESN2,0
VEGFA,TNFRSF1A,0
TNFRSF1A,VEGFA,0
SQSTM1,SESN2,0
SESN2,SQSTM1,0
SESN2,KEAP1,0
KEAP1,SESN2,0
SESN2,MTOR,0
MTOR,SESN2,0
SESN2,TSC2,0
TNFRSF1A,IL18,0
SESN2,PRKAA1,0
PRKAA1,SESN2,0
SESN2,MAP1LC3B,0
MAP1LC3B,SESN2,0
TSC1,SESN2,0
SESN2,TSC1,0
SESN2,RPS6KB1,0
RPS6KB1,SESN2,0
SERPINE1,TNFRSF1A,0
TNFRSF1A,SERPINE1,0
TNFRSF1A,TSC2,0
TSC2,TNFRSF1A,0
IL18,TNFRSF1A,0
TNFRSF1A,NFE2L2,0
NFE2L2,TNFRSF1A,0
TNFRSF1A,STAT1,0
STAT1,TNFRSF1A,0
TNFRSF1A,MAPK3,0
MAPK3,TNFRSF1A,0
TNFRSF1A,JAK2,0
JAK2,TNFRSF1A,0
TNFRSF1A,IRF1,0
IRF1,TNFRSF1A,0
TNFRSF1A,PTGS2,0
PTGS2,TNFRSF1A,0
TNFRSF1A,TIMP1,0
TIMP1,TNFRSF1A,0
TNFRSF1A,MAPK1,0
MAPK1,TNFRSF1A,0
WRN,LIG4,0
WRN,SIRT1,0
SESN2,TRIB3,0
PPARGC1A,MAP1LC3B,0
RPS6KB1,MAP1LC3B,0
MAP1LC3B,RPS6KB1,0
STAT1,MAP1LC3B,0
MAP1LC3B,STAT1,0
PNPLA2,MAP1LC3B,0
MAP1LC3B,PNPLA2,0
TSC2,MAP1LC3B,0
MAP1LC3B,TSC2,0
MAP1LC3B,PPARGC1A,0
MTOR,MAP1LC3B,0
MAPK3,MAP1LC3B,0
MAP1LC3B,MAPK3,0
PRKAA1,MAP1LC3B,0
MAP1LC3B,PRKAA1,0
MAP1LC3B,JUN,0
JUN,MAP1LC3B,0
NFE2L2,MAP1LC3B,0
MAP1LC3B,NFE2L2,0
MAP1LC3B,MTOR,0
MAP1LC3B,NCOA4,0
SIRT6,WRN,0
STAT3,MMP10,0
MMP3,MMP10,0
MMP10,MMP3,0
TIMP1,MMP10,0
MMP10,TIMP1,0
SERPINE1,MMP10,0
MMP10,SERPINE1,0
MMP10,JUN,0
JUN,MMP10,0
MMP10,STAT3,0
NCOA4,MAP1LC3B,0
PTGS2,MMP10,0
MMP10,PTGS2,0
SQSTM1,MAP1LC3B,0
MAP1LC3B,SQSTM1,0
SIRT1,MAP1LC3B,0
MAP1LC3B,SIRT1,0
MAP1LC3B,KEAP1,0
KEAP1,MAP1LC3B,0
STAT3,MAP1LC3B,0
MAP1LC3B,STAT3,0
TFAM,MAP1LC3B,0
MMP2,SQSTM1,0
JUN,MMP2,0
MMP2,MAPK3,0
MAPK3,MMP2,0
MMP3,MMP2,0
MMP2,MMP3,0
MMP2,MMP10,0
MMP10,MMP2,0
SQSTM1,MMP2,0
MTOR,MMP2,0
MAP1LC3B,TFAM,0
MMP2,MTOR,0
MMP2,JAK2,0
JAK2,MMP2,0
TLR4,MMP2,0
MMP2,TLR4,0
WRN,TERF1,0
TERF1,WRN,0
WRN,SIRT6,0
MMP2,JUN,0
MMP2,SERPINE1,0
SERPINE1,MMP2,0
MMP2,SNAI1,0
TSC1,MAP1LC3B,0
MAP1LC3B,TSC1,0
MAP1LC3B,IL18,0
IL18,MAP1LC3B,0
PRNP,MAP1LC3B,0
MAP1LC3B,PRNP,0
TLR4,MAP1LC3B,0
MAP1LC3B,TLR4,0
TIMP1,MMP2,0
MMP2,TIMP1,0
VEGFA,MMP2,0
MMP2,VEGFA,0
PTGS2,MMP2,0
MMP2,PTGS2,0
STAT3,MMP2,0
MMP2,STAT3,0
SNAI1,MMP2,0
TRIB3,SESN2,0
SESN2,NFE2L2,0
MMP3,JAK2,0
SIRT1,SLC7A11,0
SLC3A2,SLC7A11,0
SLC7A11,NFE2L2,0
NFE2L2,SLC7A11,0
SLC7A11,KEAP1,0
KEAP1,SLC7A11,0
SLC7A11,NCOA4,0
NCOA4,SLC7A11,0
SLC7A11,SIRT1,0
SLC7A11,PTGS2,0
NLRP3,VCAM1,0
PTGS2,SLC7A11,0
STEAP3,SLC7A11,0
SLC7A11,STEAP3,0
SQSTM1,SLC7A11,0
SLC7A11,SQSTM1,0
SQSTM1,MAP1LC3A,0
MAP1LC3A,SQSTM1,0
MAP1LC3B,MAP1LC3A,0
SLC7A11,SLC3A2,0
VCAM1,NLRP3,0
TIMP1,VCAM1,0
MMP2,VCAM1,0
JUN,VCAM1,0
VCAM1,NOX4,0
NOX4,VCAM1,0
VCAM1,MMP3,0
MMP3,VCAM1,0
VCAM1,NFKB1,0
NFKB1,VCAM1,0
VCAM1,MMP2,0
VCAM1,STAT1,0
MIF,VCAM1,0
STAT1,VCAM1,0
VCAM1,SIRT1,0
SIRT1,VCAM1,0
VCAM1,JAK2,0
JAK2,VCAM1,0
VCAM1,NFE2L2,0
NFE2L2,VCAM1,0
VCAM1,MIF,0
MAP1LC3A,MAP1LC3B,0
MTOR,MAP1LC3A,0
MAP1LC3A,MTOR,0
STAT3,IL1A,0
PTGS2,IL1A,0
IL1A,PTGS2,0
NLRP3,IL1A,0
IL1A,NLRP3,0
NFKB1,IL1A,0
IL1A,NFKB1,0
TNFRSF1A,IL1A,0
IL1A,TNFRSF1A,0
IL1A,STAT3,0
RPS6KB1,MAP1LC3A,0
VEGFA,IL1A,0
IL1A,VEGFA,0
VCAM1,IL1A,0
IL1A,VCAM1,0
TIMP1,IL1A,0
IL1A,TIMP1,0
JUN,IL1A,0
IL1A,JUN,0
IL1A,TLR4,0
TLR4,IL1A,0
IL18,IL1A,0
