tf,target
ATF3,IFNG
BCL6,BCL6
BRD7,E2F3
E2F1,E2F1
E2F1,IL1B
E2F1,NOX4
EGR1,ATF3
EGR1,CXCL8
EGR1,HIF1A
EGR1,IFNG
EGR1,IL6
EGR1,PTGS2
EGR1,SOD1
HIF1A,E2F3
HIF1A,EDN1
HIF1A,HIF1A
HIF1A,LOX
HIF1A,SOCS1
HIF1A,TFRC
IRF1,CXCL10
IRF1,E2F1
IRF1,IFNG
IRF1,SOCS1
IRF1,SOCS2
IRF7,CXCL10
KLF6,ATF3
KLF6,TXNIP
NR2F2,E2F1
SP1,ABCC1
SP1,BRD7
SP1,CTSB
SP1,E2F1
SP1,EGR1
SP1,IL6
SP1,MPO
SP1,PPP2R2B
SP1,PTGS2
SP1,SLC39A8
SP1,SOCS1
SP1,SOD1
STAT1,CTSB
STAT1,CXCL10
STAT1,EDN1
STAT1,HMOX1
STAT1,IFNG
STAT1,IL1B
STAT1,IL6
STAT1,IRF1
STAT1,IRF7
STAT1,LCN2
STAT1,NOX4
STAT1,PTGS2
TNFAIP3,IRF7
ZEB1,BCL6
