disease,gene
AD,ACSL4
AD,AKT1
AD,ALOX12
AD,ALOX5
AD,ATF2
AD,ATF3
AD,ATF4
AD,ATG3
AD,ATG5
AD,ATG7
AD,ATM
AD,ATR
AD,AURKA
AD,AURKB
AD,BECN1
AD,BLM
AD,BNIP3
AD,BNIP3L
AD,BRCA1
AD,BRCA2
AD,BRD4
AD,BUB1
AD,BUB1B
AD,BUB3
AD,CBS
AD,CCL2
AD,CCL3
AD,CCL4
AD,CCNA2
AD,CCNB1
AD,CCND1
AD,CCNE1
AD,CD38
AD,CD4
AD,CD74
AD,CD8A
AD,CDC20
AD,CDK2
AD,CDK4
AD,CDK6
AD,CDKN1A
AD,CDKN1B
AD,CDKN2A
AD,CDKN2B
AD,CDO1
AD,CHAC1
AD,CHEK1
AD,CHEK2
AD,COL1A1
AD,COL1A2
AD,COL3A1
AD,CREB1
AD,CREBBP
AD,CSF2
AD,CSF3
AD,CXCL1
AD,CXCL10
AD,CXCL2
AD,DDIT3
AD,E2F1
AD,E2F2
AD,E2F3
AD,EIF2A
AD,EIF2AK3
AD,EP300
AD,FANCD2
AD,FN1
AD,FOS
AD,FOXO1
AD,FOXO3
AD,FOXO4
AD,FTH1
AD,GABARAP
AD,GABARAPL1
AD,GCLC
AD,GCLM
AD,GOT1
AD,GPX4
AD,HDAC1
AD,HDAC2
AD,HDAC3
AD,HIF1A
AD,HMGA1
AD,HMGA2
AD,HMGB1
AD,HMOX1
AD,HSP90AA1
AD,HSPA5
AD,HSPB1
AD,HSPD1
AD,ICAM1
AD,IFNG
AD,IL10
AD,IL18
AD,IL1A
AD,IL1B
AD,IL6
AD,JAK2
AD,JUN
AD,KEAP1
AD,LIG1
AD,LIG3
AD,LIG4
AD,LMNB1
AD,LPIN1
AD,LPIN2
AD,MAD2L1
AD,MAP1LC3A
AD,MAP1LC3B
AD,MAPK1
AD,MAPK14
AD,MAPK3
AD,MAPK8
AD,MAX
AD,MCM2
AD,MCM3
AD,MCM4
AD,MCM5
AD,MCM6
AD,MCM7
AD,MDM2
AD,MDM4
AD,MKI67
AD,MMP10
AD,MMP12
AD,MMP13
AD,MMP2
AD,MMP3
AD,MMP9
AD,MNT
AD,MTOR
AD,MYC
AD,NBN
AD,NCOA4
AD,NFE2L2
AD,NFKB1
AD,NLRP3
AD,PARP1
AD,PCNA
AD,PLIN2
AD,PLK1
AD,PNPLA2
AD,PPARGC1A
AD,PRKAA1
AD,PRKAA2
AD,PRKDC
AD,PRNP
AD,PTEN
AD,PTGS2
AD,RAD50
AD,RAD51
AD,RB1
AD,RELA
AD,RPA1
AD,RPA2
AD,RPA3
AD,RPS6KB1
AD,S100A8
AD,SAT1
AD,SELE
AD,SERPINE1
AD,SESN2
AD,SIRT1
AD,SIRT6
AD,SLC3A2
AD,SLC40A1
AD,SLC7A11
AD,SOD1
AD,SQSTM1
AD,STAT3
AD,STEAP3
AD,TFAM
AD,TFRC
AD,TGFB1
AD,TIMP1
AD,TIMP2
AD,TLR4
AD,TNF
AD,TNFRSF1A
AD,TOP2A
AD,TP53
AD,TRIB3
AD,TSC1
AD,TSC2
AD,VCAM1
AD,VDAC2
AD,VDAC3
AD,VEGFA
AD,WRN
AD,XRCC1
AD,XRCC5
AD,XRCC6
Aging,ACSL4
Aging,AKT1
Aging,ALOX12
Aging,ALOX5
Aging,ATF2
Aging,ATF3
Aging,ATF4
Aging,ATG3
Aging,ATG5
Aging,ATG7
Aging,ATM
Aging,ATR
Aging,AURKA
Aging,AURKB
Aging,BECN1
Aging,BLM
Aging,BNIP3
Aging,BNIP3L
Aging,BRCA1
Aging,BRCA2
Aging,BRD4
Aging,BUB1
Aging,BUB1B
Aging,BUB3
Aging,CBS
Aging,CCL2
Aging,CCL3
Aging,CCL4
Aging,CCNA2
Aging,CCNB1
Aging,CCND1
Aging,CCNE1
Aging,CD38
Aging,CD4
Aging,CD8A
Aging,CDC20
Aging,CDK2
Aging,CDK4
Aging,CDK6
Aging,CDKN1A
Aging,CDKN1B
Aging,CDKN2A
Aging,CDKN2B
Aging,CDO1
Aging,CHAC1
Aging,CHEK1
Aging,CHEK2
Aging,COL1A1
Aging,COL1A2
Aging,COL3A1
Aging,CREB1
Aging,CREBBP
Aging,CSF2
Aging,CSF3
Aging,CXCL1
Aging,CXCL10
Aging,CXCL2
Aging,DDIT3
Aging,DPP4
Aging,E2F1
Aging,E2F2
Aging,E2F3
Aging,EIF2A
Aging,EIF2AK3
Aging,EP300
Aging,FANCD2
Aging,FN1
Aging,FOS
Aging,FOXO1
Aging,FOXO3
Aging,FOXO4
Aging,FTH1
Aging,GABARAP
Aging,GABARAPL1
Aging,GADD45A
Aging,GADD45B
Aging,GCLC
Aging,GCLM
Aging,GOT1
Aging,GPX4
Aging,HDAC1
Aging,HDAC2
Aging,HDAC3
Aging,HMGA1
Aging,HMGA2
Aging,HMGB1
Aging,HMOX1
Aging,HSP90AA1
Aging,HSPA5
Aging,HSPB1
Aging,HSPD1
Aging,ICAM1
Aging,IFNG
Aging,IGFBP3
Aging,IGFBP5
Aging,IGFBP7
Aging,IL10
Aging,IL18
Aging,IL1A
Aging,IL1B
Aging,IL6
Aging,JAK2
Aging,JUN
Aging,KEAP1
Aging,LIG1
Aging,LIG3
Aging,LIG4
Aging,LMNB1
Aging,LPIN1
Aging,LPIN2
Aging,MAD2L1
Aging,MAP1LC3A
Aging,MAP1LC3B
Aging,MAPK1
Aging,MAPK14
Aging,MAPK3
Aging,MAPK8
Aging,MAX
Aging,MCM2
Aging,MCM3
Aging,MCM4
Aging,MCM5
Aging,MCM6
Aging,MCM7
Aging,MDM2
Aging,MDM4
Aging,MKI67
Aging,MMP10
Aging,MMP12
Aging,MMP13
Aging,MMP2
Aging,MMP3
Aging,MMP9
Aging,MNT
Aging,MTOR
Aging,MYC
Aging,NBN
Aging,NCOA4
Aging,NFE2L2
Aging,NFKB1
Aging,NLRP3
Aging,PARP1
Aging,PCNA
Aging,PLIN2
Aging,PLK1
Aging,PNPLA2
Aging,PPARGC1A
Aging,PRKAA1
Aging,PRKAA2
Aging,PRKDC
Aging,PTEN
Aging,PTGS2
Aging,RAD50
Aging,RAD51
Aging,RB1
Aging,RELA
Aging,RPA1
Aging,RPA2
Aging,RPA3
Aging,RPS6KB1
Aging,S100A8
Aging,SAT1
Aging,SELE
Aging,SERPINE1
Aging,SESN2
Aging,SIRT1
Aging,SIRT6
Aging,SLC3A2
Aging,SLC40A1
Aging,SLC7A11
Aging,SNAI1
Aging,SOD1
Aging,SQSTM1
Aging,STAT3
Aging,STEAP3
Aging,TERF1
Aging,TERF2
Aging,TERT
Aging,TFAM
Aging,TFRC
Aging,TGFB1
Aging,TIMP1
Aging,TIMP2
Aging,TLR4
Aging,TNF
Aging,TNFRSF1A
Aging,TOP2A
Aging,TP53
Aging,TRIB3
Aging,TSC1
Aging,TSC2
Aging,VCAM1
Aging,VDAC2
Aging,VDAC3
Aging,VEGFA
Aging,WRN
Aging,XRCC1
Aging,XRCC5
Aging,XRCC6
Aging,ZEB1
