source_celltype,target_celltype,lr_pair,flow
Neuron,Neuron,TNF-TNFRSF1A,0.29998562335968015
Neuron,Microglia,TNF-TNFRSF1A,0.29998562335968015
Neuron,Astrocyte,TNF-TNFRSF1A,0.29998562335968015
Neuron,Oligodendrocyte,TNF-TNFRSF1A,0.29998562335968015
Neuron,Endothelial,TNF-TNFRSF1A,0.29998562335968015
Neuron,Pericyte,TNF-TNFRSF1A,0.29998562335968015
Microglia,Neuron,TNF-TNFRSF1A,0.6499688506126404
Microglia,Microglia,TNF-TNFRSF1A,0.6499688506126404
Microglia,Astrocyte,TNF-TNFRSF1A,0.6499688506126404
Microglia,Oligodendrocyte,TNF-TNFRSF1A,0.6499688506126404
Microglia,Endothelial,TNF-TNFRSF1A,0.6499688506126404
Microglia,Pericyte,TNF-TNFRSF1A,0.6499688506126404
Astrocyte,Neuron,TNF-TNFRSF1A,0.29998562335968015
Astrocyte,Microglia,TNF-TNFRSF1A,0.29998562335968015
Astrocyte,Astrocyte,TNF-TNFRSF1A,0.29998562335968015
Astrocyte,Oligodendrocyte,TNF-TNFRSF1A,0.29998562335968015
Astrocyte,Endothelial,TNF-TNFRSF1A,0.29998562335968015
Astrocyte,Pericyte,TNF-TNFRSF1A,0.29998562335968015
Oligodendrocyte,Neuron,TNF-TNFRSF1A,0.29998562335968015
Oligodendrocyte,Microglia,TNF-TNFRSF1A,0.29998562335968015
Oligodendrocyte,Astrocyte,TNF-TNFRSF1A,0.29998562335968015
Oligodendrocyte,Oligodendrocyte,TNF-TNFRSF1A,0.29998562335968015
Oligodendrocyte,Endothelial,TNF-TNFRSF1A,0.29998562335968015
Oligodendrocyte,Pericyte,TNF-TNFRSF1A,0.29998562335968015
Endothelial,Neuron,TNF-TNFRSF1A,0.29998562335968015
Endothelial,Microglia,TNF-TNFRSF1A,0.29998562335968015
Endothelial,Astrocyte,TNF-TNFRSF1A,0.29998562335968015
Endothelial,Oligodendrocyte,TNF-TNFRSF1A,0.29998562335968015
Endothelial,Endothelial,TNF-TNFRSF1A,0.29998562335968015
Endothelial,Pericyte,TNF-TNFRSF1A,0.29998562335968015
Pericyte,Neuron,TNF-TNFRSF1A,0.29998562335968015
Pericyte,Microglia,TNF-TNFRSF1A,0.29998562335968015
Pericyte,Astrocyte,TNF-TNFRSF1A,0.29998562335968015
Pericyte,Oligodendrocyte,TNF-TNFRSF1A,0.29998562335968015
Pericyte,Endothelial,TNF-TNFRSF1A,0.29998562335968015
Pericyte,Pericyte,TNF-TNFRSF1A,0.29998562335968015
Neuron,Neuron,HMGB1-TLR4,0.2999945729970932
Neuron,Microglia,HMGB1-TLR4,0.6499882414937019
Neuron,Astrocyte,HMGB1-TLR4,0.2999945729970932
Neuron,Oligodendrocyte,HMGB1-TLR4,0.2999945729970932
Neuron,Endothelial,HMGB1-TLR4,0.2999945729970932
Neuron,Pericyte,HMGB1-TLR4,0.2999945729970932
Microglia,Neuron,HMGB1-TLR4,0.2999945729970932
