compound,gene,binding_probability
RSL3,ZEB1,0.49590346217155457
RSL3,IRF9,0.49581730365753174
RSL3,WNT5A,0.4958083927631378
RSL3,S100A8,0.49580323696136475
RSL3,SP1,0.495800256729126
RSL3,PADI4,0.49579960107803345
RSL3,LCN2,0.49577662348747253
RSL3,IRF7,0.4957747459411621
RSL3,HERPUD1,0.4957517981529236
RSL3,ERN1,0.495744526386261
RSL3,KDM6B,0.4957404136657715
RSL3,TNFAIP3,0.4957359731197357
RSL3,EGR1,0.49572670459747314
RSL3,MAPK1,0.4957177937030792
RSL3,MAP3K14,0.49570807814598083
RSL3,ALOX15,0.49570560455322266
RSL3,EDN1,0.49570515751838684
RSL3,SNCA,0.49569934606552124
RSL3,SETD7,0.4956932067871094
RSL3,SLC1A5,0.49567678570747375
RSL3,NLRP3,0.4956640303134918
RSL3,LIFR,0.49565383791923523
RSL3,ACVR1B,0.4956488013267517
RSL3,PRKD1,0.4956415295600891
RSL3,SMARCB1,0.49563854932785034
ML162,ZEB1,0.4956236183643341
RSL3,DYRK1A,0.4956222176551819
RSL3,TXNIP,0.49561524391174316
RSL3,EPHA2,0.4956124722957611
Lip-1,ZEB1,0.4956100285053253
RSL3,MPO,0.4956061542034149
Erastin,ZEB1,0.49560579657554626
RSL3,TLR4,0.4956049919128418
RSL3,MCU,0.4956018328666687
RSL3,NOX4,0.4956012964248657
RSL3,MAPK14,0.4955993592739105
RSL3,LGMN,0.4955943822860718
RSL3,FOSL1,0.4955923855304718
RSL3,NR1D1,0.4955904483795166
RSL3,HMGB1,0.4955804944038391
RSL3,CAVIN1,0.4955710768699646
RSL3,FBXO31,0.49556803703308105
RSL3,TNFAIP1,0.49556371569633484
RSL3,SOCS2,0.49556252360343933
RSL3,PDE4B,0.49555662274360657
RSL3,EPHA4,0.49555397033691406
RSL3,SMURF2,0.4955483078956604
ML162,PADI4,0.49553975462913513
RSL3,PPP2R2B,0.4955357611179352
RSL3,SOCS1,0.495526522397995
RSL3,CTSB,0.49551424384117126
Erastin,PADI4,0.49550655484199524
RSL3,IL1B,0.4954986572265625
RSL3,E2F3,0.49549829959869385
RSL3,BCL6,0.4954971969127655
ML162,S100A8,0.495496541261673
Erastin,SP1,0.49548742175102234
RSL3,RUNX3,0.4954868257045746
RSL3,PTBP1,0.4954836666584015
ML162,SP1,0.49548178911209106
RSL3,HIF1A,0.4954783022403717
Erastin,WNT5A,0.49547654390335083
RSL3,IL6,0.495473712682724
Lip-1,S100A8,0.49547237157821655
Erastin,IRF9,0.4954701066017151
ML162,WNT5A,0.49546945095062256
Erastin,LCN2,0.4954681098461151
Erastin,S100A8,0.49546676874160767
RSL3,WWTR1,0.49546071887016296
Lip-1,PADI4,0.49545347690582275
ML162,IRF9,0.4954526424407959
ML162,KDM6B,0.49545130133628845
ML162,LCN2,0.49544960260391235
RSL3,ABCC1,0.4954463243484497
ML162,HERPUD1,0.4954437017440796
Erastin,KDM6B,0.49543896317481995
Erastin,HERPUD1,0.49543678760528564
RSL3,CXCL10,0.49543333053588867
RSL3,IFNG,0.4954252541065216
Lip-1,SP1,0.49542462825775146
RSL3,BRD7,0.4954191744327545
Erastin,ERN1,0.4954189360141754
Lip-1,WNT5A,0.49541690945625305
RSL3,HMOX1,0.4954129159450531
Erastin,TNFAIP3,0.4954127371311188
RSL3,E2F1,0.4954124391078949
Erastin,IRF7,0.4954095780849457
RSL3,PTGS2,0.49540913105010986
ML162,ERN1,0.4954087734222412
ML162,IRF7,0.4954080581665039
ML162,TNFAIP3,0.495402455329895
Lip-1,IRF9,0.495399534702301
Lip-1,LCN2,0.49539414048194885
RSL3,IRF1,0.49538934230804443
ML162,MAP3K14,0.49538806080818176
ML162,SETD7,0.49538254737854004
ML162,MAPK1,0.49538126587867737
Erastin,MAP3K14,0.4953800439834595
Erastin,MAPK1,0.4953797459602356
ML162,SNCA,0.49537762999534607
RSL3,CD74,0.49537694454193115
Erastin,SETD7,0.4953750669956207
Erastin,EGR1,0.495373010635376
Erastin,EDN1,0.49537283182144165
Erastin,SNCA,0.4953714907169342
Lip-1,ERN1,0.4953681528568268
Lip-1,KDM6B,0.4953679144382477
Lip-1,MAPK1,0.49536487460136414
ML162,EDN1,0.49536001682281494
Lip-1,HERPUD1,0.4953584372997284
Lip-1,IRF7,0.4953521192073822
Erastin,ALOX15,0.4953485131263733
ML162,EGR1,0.495340496301651
Erastin,SLC1A5,0.49533599615097046
Lip-1,TNFAIP3,0.49533212184906006
ML162,SLC1A5,0.49533018469810486
ML162,ALOX15,0.4953298270702362
Lip-1,MAP3K14,0.49532240629196167
Erastin,LIFR,0.4953179657459259
Lip-1,SNCA,0.4953148066997528
ML162,LIFR,0.4953131675720215
Lip-1,ALOX15,0.49531298875808716
Lip-1,EGR1,0.4953097701072693
VC,ZEB1,0.4953058063983917
Lip-1,EDN1,0.4953050911426544
Lip-1,SETD7,0.4953025281429291
ML162,DYRK1A,0.4953020513057709
Erastin,PRKD1,0.4952983856201172
Erastin,ACVR1B,0.4952969551086426
Erastin,SMARCB1,0.49529117345809937
Erastin,NLRP3,0.4952898919582367
Erastin,DYRK1A,0.49528607726097107
ML162,PRKD1,0.49528229236602783
Lip-1,SLC1A5,0.49527475237846375
RSL3,YAP1,0.4952714145183563
RSL3,TFRC,0.4952661395072937
RSL3,MMP9,0.4952632188796997
RSL3,IGFBP7,0.49526265263557434
Erastin,EPHA2,0.4952622354030609
ML162,SMARCB1,0.49526169896125793
ML162,ACVR1B,0.49526146054267883
Lip-1,LIFR,0.49526089429855347
Lip-1,NLRP3,0.495259553194046
Erastin,FOSL1,0.49525487422943115
VC,IRF9,0.4952535033226013
Fer-1,IRF9,0.49525153636932373
Erastin,LGMN,0.4952505826950073
ML162,NLRP3,0.4952504634857178
ML162,MCU,0.495246022939682
Erastin,MCU,0.49524545669555664
VC,WNT5A,0.4952431619167328
ML162,FOSL1,0.49524110555648804
Fer-1,LCN2,0.4952409863471985
Erastin,TXNIP,0.4952408969402313
VC,SP1,0.495240718126297
VC,LCN2,0.4952399432659149
Fer-1,SP1,0.495238721370697
Erastin,MPO,0.495238721370697
Erastin,NR1D1,0.49523818492889404
VC,PADI4,0.49523690342903137
Fer-1,WNT5A,0.4952365458011627
Fer-1,ZEB1,0.495236337184906
ML162,EPHA2,0.49523574113845825
Lip-1,PRKD1,0.4952331781387329
ML162,LGMN,0.4952313005924225
ML162,FBXO31,0.49522942304611206
Lip-1,ACVR1B,0.4952290654182434
Lip-1,DYRK1A,0.49522724747657776
Erastin,FBXO31,0.4952262043952942
Lip-1,SMARCB1,0.49522578716278076
RSL3,LOX,0.49522438645362854
RSL3,SOD1,0.495221346616745
ML162,TXNIP,0.4952170252799988
Fer-1,PADI4,0.49521470069885254
Erastin,SOCS2,0.4952097237110138
RSL3,KEAP1,0.4952060282230377
ML162,NR1D1,0.4952053427696228
Lip-1,EPHA2,0.4952046275138855
Fer-1,HERPUD1,0.49520421028137207
Erastin,TNFAIP1,0.4952034056186676
VC,HERPUD1,0.4952031075954437
Erastin,MAPK14,0.49520182609558105
VC,S100A8,0.4951978623867035
Erastin,TLR4,0.4951963424682617
VC,IRF7,0.49519574642181396
Fer-1,TNFAIP3,0.4951956868171692
VC,TNFAIP3,0.49519458413124084
Erastin,CAVIN1,0.4951931834220886
Lip-1,LGMN,0.4951919913291931
RSL3,BNIP3L,0.49518880248069763
Lip-1,MAPK14,0.4951881468296051
VC,KDM6B,0.4951866865158081
Fer-1,KDM6B,0.4951860308647156
Lip-1,FOSL1,0.49518394470214844
Lip-1,TLR4,0.4951837658882141
ML162,MPO,0.49518266320228577
Erastin,PDE4B,0.49518248438835144
VC,ERN1,0.49518054723739624
Lip-1,TXNIP,0.49517786502838135
Fer-1,IRF7,0.49517592787742615
Erastin,SMURF2,0.4951745867729187
ML162,TNFAIP1,0.49517446756362915
Lip-1,NR1D1,0.4951738715171814
Erastin,HMGB1,0.49517253041267395
Erastin,PPP2R2B,0.4951697885990143
ML162,SOCS2,0.4951680302619934
Lip-1,MCU,0.49516791105270386
ML162,MAPK14,0.49516767263412476
Erastin,EPHA4,0.49516722559928894
Fer-1,ERN1,0.49516698718070984
RSL3,LPCAT3,0.49516627192497253
Fer-1,EGR1,0.495166152715683
VC,EGR1,0.49516505002975464
Lip-1,MPO,0.4951641857624054
Lip-1,FBXO31,0.4951600730419159
RSL3,ATF3,0.4951591491699219
Erastin,SOCS1,0.4951556324958801
Lip-1,HMGB1,0.49515318870544434
Fer-1,EDN1,0.4951518476009369
VC,EDN1,0.49515074491500854
Erastin,NOX4,0.4951494336128235
ML162,CAVIN1,0.4951479732990265
Erastin,CTSB,0.4951479136943817
ML162,TLR4,0.4951465129852295
VC,MAP3K14,0.49514156579971313
Fer-1,SETD7,0.49514079093933105
VC,SETD7,0.4951397478580475
ML162,PDE4B,0.4951390326023102
Lip-1,SOCS2,0.49513518810272217
VC,SNCA,0.49513378739356995
Lip-1,TNFAIP1,0.49513110518455505
Erastin,BCL6,0.49512979388237
VC,MAPK1,0.4951293468475342
Fer-1,MAP3K14,0.49512922763824463
