gene,embedding_norm,degree,bio_prior,hub_score,rank
IGFBP7,4.4291124,187,1.0,0.9471429393648707,1
KEAP1,4.1268077,193,1.0,0.9242778865751858,2
IL6,4.5190687,82,1.0,0.9238479054418666,3
IFNG,4.0412207,190,1.0,0.916892843758585,4
HMOX1,3.9760222,211,1.0,0.915593737489548,5
CD74,3.9133272,207,1.0,0.9098997745571027,6
HIF1A,3.8328936,213,1.0,0.9045638371745575,7
S100A8,3.8529034,204,1.0,0.9045547100567212,8
IL1B,3.832941,212,1.0,0.904393197754208,9
PTGS2,3.8146088,197,1.0,0.9002162641634931,10
IRF1,3.8092782,197,1.0,0.8997924453368178,11
HMGB1,3.8092754,195,1.0,0.8994141374452284,12
SOD1,3.809273,191,1.0,0.8986461062064479,13
NLRP3,4.000193,116,1.0,0.8953798485030001,14
TLR4,3.6729736,212,1.0,0.8916748778613247,15
BAP1,4.064892,193,0.8,0.8393551985678311,16
CXCL10,4.0502496,193,0.8,0.838191060250723,17
ZEB1,3.9760225,210,0.8,0.8354176935679524,18
ATG3,3.975992,203,0.8,0.834158887345161,19
CDKN1A,3.8362443,207,0.8,0.8237712249812971,20
E2F1,3.8194168,211,0.8,0.8231426848238376,21
CDO1,3.8289285,205,0.8,0.8228297979017004,22
SAT1,3.8194215,203,0.8,0.8217106062954326,23
MAPK14,3.8194175,203,0.8,0.8217102784698863,24
E2F3,4.0495696,116,0.8,0.8193055594195193,25
TFRC,3.8126278,192,0.8,0.8191062894956069,26
MAPK1,3.8091042,188,0.8,0.8180462040538454,27
ABCC1,3.984466,120,0.8,0.815381328823785,28
TP53,3.6988192,201,0.8,0.8117551122681218,29
ATF3,3.7028549,197,0.8,0.81133117858076,30
DPP4,3.6842828,189,0.8,0.8083186948008666,31
CDKN2A,4.471535,209,0.5,0.7546369203852803,32
VEGFA,4.9179864,66,0.5,0.7475894533906109,33
SIRT6,4.373986,206,0.5,0.7463453640867794,34
RB1,3.8194187,203,0.6,0.7417103678768534,35
RELA,4.041239,196,0.5,0.7180461337235995,36
TERF2,4.041231,191,0.5,0.7170881409278225,37
TERF1,4.0412307,189,0.5,0.7166981649108062,38
PARP1,3.9760802,204,0.5,0.7143479916118969,39
FOXO3,3.8289266,210,0.5,0.7037226960188954,40
