,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
CXCL10-CXCR3,-0.044524245,-0.018784586,-0.14753544,-0.22596744,-0.18526798,-0.09281449,0.30036455,-0.26981443,-0.039172456,-0.09003281,0.039724857,0.25104722,0.14843008,0.14671698,-0.10206223,-0.15589714,-0.13737719,-0.22771862,-0.25915968,-0.26229507,0.066790864,0.039398648,-0.17722914,-0.099114984,0.11448593,-0.08655209,0.23515946,0.20229445,-0.026770439,-0.2272021,-0.25857565,-0.027196694
CCL2-CCR2,-0.04337444,-0.01909152,-0.1472961,-0.22494745,-0.18587594,-0.09160425,0.2993156,-0.26866603,-0.039256737,-0.08817858,0.040178612,0.25149983,0.14723028,0.14666365,-0.102091834,-0.15694812,-0.13722596,-0.22795083,-0.25934634,-0.26172537,0.06736183,0.04169862,-0.1772879,-0.09854633,0.11571422,-0.08706926,0.23504612,0.20124057,-0.026710253,-0.22723636,-0.2584805,-0.026744159
IL1B-IL1R1,-0.04132107,-0.01781122,-0.15248793,-0.22263695,-0.1911557,-0.09499252,0.2985315,-0.2717837,-0.03257636,-0.09288196,0.046740644,0.25213397,0.13993505,0.14117244,-0.100271955,-0.15632534,-0.13774976,-0.22282259,-0.25702566,-0.25858843,0.068069234,0.04283181,-0.1724489,-0.09915486,0.114045605,-0.09071788,0.2376301,0.20102635,-0.021024998,-0.21904393,-0.25839686,-0.026474966
IL6-IL6R,-0.04313802,-0.016350571,-0.1534853,-0.22361909,-0.19366416,-0.09579606,0.29733813,-0.27373496,-0.02984403,-0.09680669,0.04637096,0.25164694,0.13786334,0.13773274,-0.10132128,-0.15551443,-0.1386454,-0.22012693,-0.2555512,-0.25810033,0.06671749,0.038816877,-0.17157057,-0.099625856,0.11066425,-0.09106366,0.24015304,0.20052356,-0.01738469,-0.21603939,-0.2581708,-0.026803765
TNF-TNFRSF1A,-0.049512334,-0.027026188,-0.14916708,-0.23262846,-0.17430544,-0.1091833,0.29897356,-0.27070275,-0.04503359,-0.09038125,0.051739596,0.24258898,0.13981844,0.12690215,-0.09138695,-0.16058348,-0.13505545,-0.22609286,-0.2685675,-0.26673615,0.06646119,0.05387968,-0.17802975,-0.09434564,0.10712348,-0.10619603,0.24109547,0.21250315,-0.036546256,-0.2199523,-0.25774312,-0.032564014
HMGB1-TLR4,-0.0472989,-0.027997497,-0.14838743,-0.23272441,-0.17654067,-0.10597856,0.29764116,-0.27204695,-0.04550977,-0.087708086,0.050205775,0.24402414,0.14055571,0.12897418,-0.09452912,-0.16160184,-0.13646644,-0.22636625,-0.26763818,-0.26750833,0.06788051,0.053728573,-0.17801896,-0.09472065,0.10634306,-0.10800246,0.24019071,0.21229492,-0.03578886,-0.22373483,-0.2576949,-0.028423466
S100A8-TLR4,-0.04963024,-0.027128968,-0.14850193,-0.23269908,-0.17480928,-0.1050037,0.29636633,-0.2709853,-0.04596655,-0.08907448,0.04817652,0.24336421,0.1411979,0.12767702,-0.09308568,-0.1618254,-0.13499585,-0.2269819,-0.2678921,-0.26667243,0.06587194,0.05206398,-0.18044896,-0.09504207,0.10778072,-0.10597728,0.24133493,0.211737,-0.036188405,-0.22247726,-0.25696906,-0.030171536
IFNG-IFNGR1,-0.04399441,-0.017190885,-0.14881936,-0.22593503,-0.18922219,-0.094839215,0.29705498,-0.27199635,-0.035456732,-0.09420375,0.042577222,0.25005335,0.14214453,0.1397355,-0.10054364,-0.15626025,-0.13785169,-0.22273192,-0.25769055,-0.26063848,0.06592165,0.03903576,-0.17451209,-0.09949204,0.11121068,-0.09128057,0.23870963,0.20196274,-0.021740433,-0.22139345,-0.25708154,-0.02649345
VEGFA-FLT1,-0.042988844,-0.01695918,-0.15309477,-0.22398302,-0.19271493,-0.09567006,0.2976608,-0.27374724,-0.030810133,-0.09677552,0.045877643,0.25213194,0.13859376,0.13805214,-0.10062438,-0.1552195,-0.13852635,-0.22007826,-0.2558252,-0.2583728,0.06661123,0.038511477,-0.17207545,-0.09972441,0.11103383,-0.09118736,0.2398555,0.20131999,-0.018248808,-0.2169048,-0.25867748,-0.026588878
TGFB1-TGFBR1,-0.043841816,-0.01739164,-0.15147004,-0.22426642,-0.18919809,-0.09404686,0.29824227,-0.27159965,-0.034307286,-0.09476201,0.043140292,0.25165755,0.14214152,0.14072913,-0.10062783,-0.15569526,-0.13736679,-0.22271955,-0.25688598,-0.25952196,0.06530003,0.03812582,-0.17453189,-0.099657625,0.11315191,-0.08830841,0.2383667,0.2015538,-0.02152529,-0.21984209,-0.2584407,-0.027730476
MMP9-CD44,-0.030648146,-0.025517616,-0.14672339,-0.22351699,-0.19576533,-0.101691246,0.30354315,-0.27652502,-0.030208081,-0.08111339,0.056357227,0.25308692,0.13710344,0.1490147,-0.10652748,-0.15891767,-0.14406657,-0.22309898,-0.25912526,-0.26499242,0.08181004,0.057811238,-0.16297424,-0.09922021,0.10987924,-0.10510506,0.23337583,0.20262493,-0.023796383,-0.22704265,-0.26442736,-0.018029356
CXCL12-CXCR4,-0.042203482,-0.02319296,-0.15263066,-0.22624134,-0.19005583,-0.095677644,0.29273894,-0.27844325,-0.035111137,-0.09584863,0.04475861,0.25522316,0.13512602,0.13308561,-0.10107299,-0.15893719,-0.14191525,-0.21686728,-0.25653803,-0.26338798,0.06576994,0.039147176,-0.17121473,-0.10084109,0.109091535,-0.096290626,0.2433647,0.20511378,-0.021120336,-0.21902364,-0.26445845,-0.024777878
CSF1-CSF1R,-0.042256333,-0.02309629,-0.15267138,-0.22620638,-0.19018734,-0.09576289,0.292774,-0.27848148,-0.03488612,-0.095952734,0.04484748,0.25519314,0.13503273,0.13301814,-0.10115169,-0.15889844,-0.14197305,-0.21687001,-0.25646514,-0.26337022,0.06582691,0.039142884,-0.17113543,-0.10090021,0.10902902,-0.0963024,0.24340862,0.20499423,-0.020955112,-0.21889861,-0.2644208,-0.02479997
BDNF-NTRK2,-0.042015053,-0.02335447,-0.15258518,-0.22645704,-0.18973053,-0.09563042,0.29292142,-0.2784404,-0.03547488,-0.096025266,0.04471334,0.2554426,0.13545778,0.13326445,-0.10045264,-0.15871854,-0.14166525,-0.21706057,-0.25668913,-0.26344547,0.065948695,0.039242208,-0.17125133,-0.100796044,0.10938021,-0.09642585,0.24322109,0.20564081,-0.021448176,-0.21945252,-0.2643574,-0.024573984
SPP1-CD44,-0.042334095,-0.023008458,-0.15269844,-0.22612026,-0.19035092,-0.09578034,0.292707,-0.27849105,-0.034697212,-0.0959135,0.044873856,0.25511363,0.13488951,0.13294116,-0.10140003,-0.15896833,-0.14207587,-0.21680331,-0.25638732,-0.26334012,0.065779135,0.039104298,-0.17110331,-0.100930646,0.108914785,-0.096250065,0.24347144,0.20476946,-0.020784345,-0.21872097,-0.2644424,-0.02486917
ANXA1-FPR1,-0.042457163,-0.022690736,-0.1527115,-0.22579624,-0.19100004,-0.09590423,0.29253837,-0.27867895,-0.03393405,-0.095888,0.045019917,0.2549816,0.13444781,0.1328559,-0.10209897,-0.15907197,-0.14252226,-0.21662802,-0.2560832,-0.26324394,0.06587298,0.039044805,-0.17085312,-0.10113744,0.10860599,-0.096162595,0.24362007,0.20402595,-0.020149034,-0.21825098,-0.2645466,-0.02493776
