source_celltype,target_celltype,lr_pair,flow
Neuron,Neuron,CXCL10-DPP4,0.2702073633670807
Neuron,Microglia,CXCL10-DPP4,0.2702073633670807
Neuron,Astrocyte,CXCL10-DPP4,0.2702073633670807
Neuron,Oligodendrocyte,CXCL10-DPP4,0.2702073633670807
Neuron,Endothelial,CXCL10-DPP4,0.5854492872953415
Neuron,Pericyte,CXCL10-DPP4,0.2702073633670807
Microglia,Neuron,CXCL10-DPP4,0.2702073633670807
Microglia,Microglia,CXCL10-DPP4,0.2702073633670807
Microglia,Astrocyte,CXCL10-DPP4,0.2702073633670807
Microglia,Oligodendrocyte,CXCL10-DPP4,0.2702073633670807
Microglia,Endothelial,CXCL10-DPP4,0.5854492872953415
Microglia,Pericyte,CXCL10-DPP4,0.2702073633670807
Astrocyte,Neuron,CXCL10-DPP4,0.2702073633670807
Astrocyte,Microglia,CXCL10-DPP4,0.2702073633670807
Astrocyte,Astrocyte,CXCL10-DPP4,0.2702073633670807
Astrocyte,Oligodendrocyte,CXCL10-DPP4,0.2702073633670807
Astrocyte,Endothelial,CXCL10-DPP4,0.5854492872953415
Astrocyte,Pericyte,CXCL10-DPP4,0.2702073633670807
Oligodendrocyte,Neuron,CXCL10-DPP4,0.2702073633670807
Oligodendrocyte,Microglia,CXCL10-DPP4,0.2702073633670807
Oligodendrocyte,Astrocyte,CXCL10-DPP4,0.2702073633670807
Oligodendrocyte,Oligodendrocyte,CXCL10-DPP4,0.2702073633670807
Oligodendrocyte,Endothelial,CXCL10-DPP4,0.5854492872953415
Oligodendrocyte,Pericyte,CXCL10-DPP4,0.2702073633670807
Endothelial,Neuron,CXCL10-DPP4,0.2702073633670807
Endothelial,Microglia,CXCL10-DPP4,0.2702073633670807
Endothelial,Astrocyte,CXCL10-DPP4,0.2702073633670807
Endothelial,Oligodendrocyte,CXCL10-DPP4,0.2702073633670807
Endothelial,Endothelial,CXCL10-DPP4,0.5854492872953415
Endothelial,Pericyte,CXCL10-DPP4,0.2702073633670807
Pericyte,Neuron,CXCL10-DPP4,0.2702073633670807
Pericyte,Microglia,CXCL10-DPP4,0.2702073633670807
Pericyte,Astrocyte,CXCL10-DPP4,0.2702073633670807
Pericyte,Oligodendrocyte,CXCL10-DPP4,0.2702073633670807
Pericyte,Endothelial,CXCL10-DPP4,0.5854492872953415
Pericyte,Pericyte,CXCL10-DPP4,0.2702073633670807
Neuron,Neuron,HMGB1-TLR4,0.29985398948192593
Neuron,Microglia,HMGB1-TLR4,0.29985398948192593
Neuron,Astrocyte,HMGB1-TLR4,0.29985398948192593
Neuron,Oligodendrocyte,HMGB1-TLR4,0.29985398948192593
Neuron,Endothelial,HMGB1-TLR4,0.29985398948192593
Neuron,Pericyte,HMGB1-TLR4,0.29985398948192593
Microglia,Neuron,HMGB1-TLR4,0.29985398948192593
Microglia,Microglia,HMGB1-TLR4,0.29985398948192593
Microglia,Astrocyte,HMGB1-TLR4,0.29985398948192593
Microglia,Oligodendrocyte,HMGB1-TLR4,0.29985398948192593
Microglia,Endothelial,HMGB1-TLR4,0.29985398948192593
Microglia,Pericyte,HMGB1-TLR4,0.29985398948192593
Astrocyte,Neuron,HMGB1-TLR4,0.29985398948192593
Astrocyte,Microglia,HMGB1-TLR4,0.29985398948192593
Astrocyte,Astrocyte,HMGB1-TLR4,0.29985398948192593
Astrocyte,Oligodendrocyte,HMGB1-TLR4,0.29985398948192593
Astrocyte,Endothelial,HMGB1-TLR4,0.29985398948192593
Astrocyte,Pericyte,HMGB1-TLR4,0.29985398948192593
Oligodendrocyte,Neuron,HMGB1-TLR4,0.29985398948192593
Oligodendrocyte,Microglia,HMGB1-TLR4,0.29985398948192593
Oligodendrocyte,Astrocyte,HMGB1-TLR4,0.29985398948192593
Oligodendrocyte,Oligodendrocyte,HMGB1-TLR4,0.29985398948192593
Oligodendrocyte,Endothelial,HMGB1-TLR4,0.29985398948192593
Oligodendrocyte,Pericyte,HMGB1-TLR4,0.29985398948192593
Endothelial,Neuron,HMGB1-TLR4,0.29985398948192593
Endothelial,Microglia,HMGB1-TLR4,0.29985398948192593
Endothelial,Astrocyte,HMGB1-TLR4,0.29985398948192593
Endothelial,Oligodendrocyte,HMGB1-TLR4,0.29985398948192593
Endothelial,Endothelial,HMGB1-TLR4,0.29985398948192593
Endothelial,Pericyte,HMGB1-TLR4,0.29985398948192593
Pericyte,Neuron,HMGB1-TLR4,0.29985398948192593
Pericyte,Microglia,HMGB1-TLR4,0.29985398948192593
Pericyte,Astrocyte,HMGB1-TLR4,0.29985398948192593
Pericyte,Oligodendrocyte,HMGB1-TLR4,0.29985398948192593
Pericyte,Endothelial,HMGB1-TLR4,0.29985398948192593
Pericyte,Pericyte,HMGB1-TLR4,0.29985398948192593
Neuron,Neuron,S100A8-TLR4,0.2996212005615234
Neuron,Microglia,S100A8-TLR4,0.2996212005615234
Neuron,Astrocyte,S100A8-TLR4,0.2996212005615234
Neuron,Oligodendrocyte,S100A8-TLR4,0.2996212005615234
Neuron,Endothelial,S100A8-TLR4,0.2996212005615234
Neuron,Pericyte,S100A8-TLR4,0.2996212005615234
Microglia,Neuron,S100A8-TLR4,0.6491792678833008
Microglia,Microglia,S100A8-TLR4,0.6491792678833008
Microglia,Astrocyte,S100A8-TLR4,0.6491792678833008
Microglia,Oligodendrocyte,S100A8-TLR4,0.6491792678833008
Microglia,Endothelial,S100A8-TLR4,0.6491792678833008
Microglia,Pericyte,S100A8-TLR4,0.6491792678833008
Astrocyte,Neuron,S100A8-TLR4,0.6491792678833008
Astrocyte,Microglia,S100A8-TLR4,0.6491792678833008
Astrocyte,Astrocyte,S100A8-TLR4,0.6491792678833008
Astrocyte,Oligodendrocyte,S100A8-TLR4,0.6491792678833008
Astrocyte,Endothelial,S100A8-TLR4,0.6491792678833008
Astrocyte,Pericyte,S100A8-TLR4,0.6491792678833008
Oligodendrocyte,Neuron,S100A8-TLR4,0.2996212005615234
Oligodendrocyte,Microglia,S100A8-TLR4,0.2996212005615234
Oligodendrocyte,Astrocyte,S100A8-TLR4,0.2996212005615234
Oligodendrocyte,Oligodendrocyte,S100A8-TLR4,0.2996212005615234
Oligodendrocyte,Endothelial,S100A8-TLR4,0.2996212005615234
Oligodendrocyte,Pericyte,S100A8-TLR4,0.2996212005615234
Endothelial,Neuron,S100A8-TLR4,0.2996212005615234
Endothelial,Microglia,S100A8-TLR4,0.2996212005615234
Endothelial,Astrocyte,S100A8-TLR4,0.2996212005615234
Endothelial,Oligodendrocyte,S100A8-TLR4,0.2996212005615234
Endothelial,Endothelial,S100A8-TLR4,0.2996212005615234
Endothelial,Pericyte,S100A8-TLR4,0.2996212005615234
Pericyte,Neuron,S100A8-TLR4,0.2996212005615234
Pericyte,Microglia,S100A8-TLR4,0.2996212005615234
Pericyte,Astrocyte,S100A8-TLR4,0.2996212005615234
Pericyte,Oligodendrocyte,S100A8-TLR4,0.2996212005615234
Pericyte,Endothelial,S100A8-TLR4,0.2996212005615234
Pericyte,Pericyte,S100A8-TLR4,0.2996212005615234
