,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
BCP,0.17562772,0.15216991,0.019720964,-0.056528226,0.5110154,-0.091749966,-0.0725795,0.1752572,0.056359656,0.037324607,0.24879451,-0.15792759,0.35054478,0.35993987,-0.09573385,0.2189451
VC,0.32559085,-0.008839667,-0.031621285,-0.10631114,0.38248855,-0.1439119,-0.019826114,0.1807953,0.027512114,0.08757503,0.394168,-0.10360868,0.3948729,0.26248947,-0.16356683,0.30695274
Fer-1,0.2500258,0.12196602,-0.045741647,-0.20120224,0.49450415,-0.008972436,-0.010659993,0.17391708,0.061995026,0.11011859,0.28887016,-0.20413943,0.373769,0.31462976,-0.07415813,0.250692
DFO,-0.18002519,0.4588815,0.28202453,0.10149476,0.77635324,0.049357906,-0.012509733,0.2167999,0.082975894,-0.12572981,-0.03974843,-0.21476015,0.2671145,0.60620606,0.18101555,0.10064311
Lip-1,0.45689154,0.016905263,-0.09064058,-0.35746562,0.4893375,0.091361135,0.25140822,0.1565592,0.040111486,0.22304942,0.44020587,-0.2577084,0.414788,0.25901324,0.010418475,0.4434518
Erastin,0.66410905,-0.20106308,-0.39156595,-0.542431,0.009219348,-0.15424143,-0.09502368,0.19111088,0.11794712,0.40475422,0.6653249,-0.17695704,0.5161217,-0.06751385,-0.382861,0.394675
RSL3,1.0013071,-0.49190867,-0.68498033,-0.769014,-0.30115268,-0.27415133,-0.1893287,0.15329693,0.120422766,0.6082304,0.9455483,-0.15697353,0.62927604,-0.33238477,-0.6415557,0.48041373
ML162,0.84576356,-0.37492424,-0.4924692,-0.673573,-0.012280196,-0.10412815,-0.0029202402,0.15243715,0.060677815,0.47764838,0.788797,-0.17875703,0.5571307,-0.13630706,-0.4229965,0.47073472
Cinnamaldehyde,0.11097464,0.18687502,0.0625994,-0.03419909,0.4863482,-0.06677352,-0.1399329,0.19402957,0.0012166975,0.02785024,0.20779094,-0.10018404,0.3356731,0.41253138,-0.06977868,0.1487643
Cinnamic_acid,0.12107164,0.1716848,0.053953134,-0.041182637,0.45454714,-0.07769122,-0.1597153,0.19849814,-0.005220388,0.039814696,0.22327518,-0.08434868,0.33859354,0.40114293,-0.09048176,0.14515041
