compound,gene,binding_probability
Apigenin,SLC1A5,0.45683833956718445
Genistein,SLC1A5,0.45677584409713745
Chrysin,SLC1A5,0.456575870513916
Apigenin,CD74,0.45648741722106934
Genistein,CD74,0.45642492175102234
Apigenin,LGMN,0.4563087224960327
Apigenin,CTSB,0.4562697112560272
Genistein,LGMN,0.4562462866306305
Genistein,CTSB,0.456207275390625
Chrysin,CD74,0.4562050998210907
Apigenin,LCN2,0.4561462104320526
Apigenin,NR1D1,0.45614054799079895
Daidzein,SLC1A5,0.4561176896095276
Apigenin,IRF1,0.4561072587966919
Apigenin,HIF1A,0.45610418915748596
Genistein,LCN2,0.456083744764328
Genistein,NR1D1,0.45607805252075195
Genistein,IRF1,0.4560448229312897
Genistein,HIF1A,0.45604169368743896
Chrysin,LGMN,0.456023246049881
Luteolin,SLC1A5,0.4559972882270813
Chrysin,CTSB,0.45598429441452026
Apigenin,ZEB1,0.4559514820575714
Apigenin,RUNX3,0.4559505879878998
Apigenin,ATG3,0.4559120237827301
Genistein,ZEB1,0.4558889865875244
Genistein,RUNX3,0.45588815212249756
Chrysin,NR1D1,0.45586276054382324
Chrysin,LCN2,0.4558607339859009
Genistein,ATG3,0.4558548033237457
Apigenin,SOCS1,0.4558424949645996
Apigenin,IRF9,0.45582759380340576
Chrysin,IRF1,0.45582184195518494
Chrysin,HIF1A,0.45581868290901184
Apigenin,BCL6,0.45580214262008667
Apigenin,SP1,0.45578885078430176
Genistein,SOCS1,0.455780029296875
Apigenin,CXCL10,0.4557691514492035
Daidzein,CD74,0.45576685667037964
Genistein,IRF9,0.45576509833335876
Genistein,BCL6,0.45574483275413513
Genistein,SP1,0.45572641491889954
Apigenin,PTGS2,0.4557134509086609
Kaempferol,SLC1A5,0.45570942759513855
Genistein,CXCL10,0.4557066559791565
Apigenin,MAP3K14,0.4556892216205597
Apigenin,HMOX1,0.45568159222602844
Apigenin,IL1B,0.4556795358657837
Chrysin,ZEB1,0.4556660056114197
Chrysin,RUNX3,0.4556651711463928
Apigenin,IFNG,0.4556596279144287
Genistein,PTGS2,0.4556509256362915
Luteolin,CD74,0.45564839243888855
Genistein,MAP3K14,0.4556267559528351
Chrysin,ATG3,0.45562419295310974
Genistein,HMOX1,0.45561909675598145
Genistein,IL1B,0.4556170701980591
Apigenin,MAPK1,0.4556148648262024
Apigenin,YAP1,0.4556071162223816
Apigenin,S100A8,0.4556023180484772
Apigenin,TXNIP,0.4555976986885071
Genistein,IFNG,0.4555971622467041
Daidzein,LGMN,0.4555932879447937
Apigenin,ALOX15,0.45558789372444153
Apigenin,TLR4,0.45557281374931335
Apigenin,HMGB1,0.4555701017379761
Apigenin,IL6,0.45556578040122986
Apigenin,TNFAIP1,0.45556241273880005
Chrysin,SOCS1,0.45555707812309265
Apigenin,KEAP1,0.4555552005767822
Apigenin,TFRC,0.45555415749549866
Genistein,MAPK1,0.4555523693561554
Daidzein,CTSB,0.4555523693561554
Apigenin,FBXO31,0.45555222034454346
Genistein,S100A8,0.45554500818252563
Genistein,YAP1,0.455544650554657
Chrysin,IRF9,0.4555421471595764
Apigenin,IGFBP7,0.4555405080318451
Apigenin,SOCS2,0.45553937554359436
Genistein,TXNIP,0.4555352032184601
Genistein,ALOX15,0.455525666475296
Apigenin,LIFR,0.45552244782447815
Apigenin,EPHA2,0.4555216431617737
Chrysin,BCL6,0.45551639795303345
Genistein,TLR4,0.45551037788391113
Apigenin,SOD1,0.4555085003376007
Genistein,HMGB1,0.4555076062679291
Genistein,FBXO31,0.45550665259361267
Genistein,TNFAIP1,0.4555051326751709
Chrysin,SP1,0.4555034637451172
Genistein,IL6,0.45550331473350525
Genistein,KEAP1,0.4554979205131531
Genistein,TFRC,0.4554968774318695
Luteolin,LGMN,0.4554954469203949
Chrysin,CXCL10,0.4554837644100189
Genistein,IGFBP7,0.4554780125617981
Genistein,SOCS2,0.45547688007354736
Apigenin,EDN1,0.45547184348106384
Apigenin,MPO,0.4554707109928131
Genistein,EPHA2,0.455463171005249
Apigenin,SMURF2,0.4554606080055237
Genistein,LIFR,0.45545992255210876
Luteolin,CTSB,0.4554545283317566
Genistein,SOD1,0.45544925332069397
Apigenin,EGR1,0.45543691515922546
Chrysin,PTGS2,0.45542797446250916
Daidzein,LCN2,0.4554257094860077
Daidzein,NR1D1,0.45542004704475403
Genistein,MPO,0.45541343092918396
Genistein,EDN1,0.45540937781333923
Scutellarein,SLC1A5,0.4554087817668915
Chrysin,MAP3K14,0.45540380477905273
Genistein,SMURF2,0.4554033577442169
Apigenin,PRKD1,0.4553978145122528
Chrysin,HMOX1,0.4553961157798767
Chrysin,IL1B,0.45539405941963196
Daidzein,IRF1,0.45538684725761414
Apigenin,TNFAIP3,0.4553855359554291
Daidzein,HIF1A,0.45538365840911865
Apigenin,E2F1,0.4553799033164978
Genistein,EGR1,0.45537447929382324
Chrysin,IFNG,0.45537418127059937
Apigenin,MAPK14,0.4553709030151367
Galangin,SLC1A5,0.4553673565387726
Kaempferol,CD74,0.455353707075119
Genistein,PRKD1,0.4553353190422058
Chrysin,MAPK1,0.45532944798469543
Genistein,TNFAIP3,0.45532330870628357
Chrysin,YAP1,0.45532166957855225
Luteolin,LCN2,0.45532047748565674
Genistein,E2F1,0.4553174376487732
Chrysin,S100A8,0.45531243085861206
Chrysin,TXNIP,0.4553122818470001
Genistein,MAPK14,0.4553084373474121
Chrysin,ALOX15,0.45530250668525696
Chrysin,TLR4,0.455287367105484
Chrysin,HMGB1,0.45528465509414673
Luteolin,NR1D1,0.4552817940711975
Luteolin,HIF1A,0.45528125762939453
Chrysin,IL6,0.4552803635597229
Apigenin,NLRP3,0.4552750289440155
Chrysin,TNFAIP1,0.4552723467350006
Chrysin,KEAP1,0.45526841282844543
Luteolin,IRF1,0.4552672207355499
Apigenin,KDM6B,0.4552650451660156
Chrysin,TFRC,0.4552640914916992
Chrysin,FBXO31,0.45526212453842163
Chrysin,IGFBP7,0.45525506138801575
Chrysin,SOCS2,0.4552539587020874
Apigenin,NOX4,0.45524829626083374
Apigenin,FOSL1,0.45523712038993835
Chrysin,LIFR,0.4552370309829712
Chrysin,EPHA2,0.4552362859249115
Daidzein,ZEB1,0.45523104071617126
Daidzein,RUNX3,0.45523014664649963
Chrysin,SOD1,0.45522305369377136
Genistein,NLRP3,0.4552125632762909
Daidzein,ATG3,0.4552047550678253
Genistein,KDM6B,0.4552035629749298
Kaempferol,LGMN,0.4552007019519806
Apigenin,IRF7,0.45519497990608215
Chrysin,EDN1,0.4551863968372345
Genistein,NOX4,0.45518580079078674
Chrysin,MPO,0.45518064498901367
Genistein,FOSL1,0.45517462491989136
Chrysin,SMURF2,0.45517057180404663
Kaempferol,CTSB,0.4551598131656647
Apigenin,MEN1,0.45515570044517517
Chrysin,EGR1,0.4551514983177185
Apigenin,PDE4B,0.4551348090171814
Apigenin,PPP2R2B,0.45513463020324707
Genistein,IRF7,0.45513248443603516
Luteolin,ZEB1,0.4551323354244232
Daidzein,SOCS1,0.45512208342552185
Genistein,PDE4B,0.45512035489082336
Chrysin,PRKD1,0.45511239767074585
Daidzein,IRF9,0.45510825514793396
Luteolin,ATG3,0.45510685443878174
Luteolin,RUNX3,0.45510178804397583
Chrysin,TNFAIP3,0.4551001489162445
Genistein,MEN1,0.45509660243988037
Daidzein,BCL6,0.4550948143005371
Chrysin,E2F1,0.45509445667266846
Chrysin,MAPK14,0.45508554577827454
