compound,ACSL4_probability,ACSL4_rank_in_compound,ferroaging_avg_probability,ferroaging_in_top50,ferroaging_top50_ratio,top10_targets
Apigenin,0.4498581886291504,152,0.4533319978337539,50,1.0,"CTSB(0.456), SOCS1(0.455), HIF1A(0.455), LCN2(0.455), IRF9(0.455), BCL6(0.455), SLC1A5(0.455), MAPK1(0.455), LGMN(0.455), PTGS2(0.455)"
Genistein,0.44989821314811707,152,0.4531103080824802,50,1.0,"CTSB(0.455), SOCS1(0.455), HIF1A(0.455), LCN2(0.455), IRF9(0.455), BCL6(0.455), SLC1A5(0.455), MAPK1(0.455), LGMN(0.455), PTGS2(0.455)"
Chrysin,0.4495718479156494,150,0.45307345954995404,50,1.0,"CTSB(0.455), SOCS1(0.455), HIF1A(0.455), LCN2(0.455), BCL6(0.455), IRF9(0.455), SLC1A5(0.455), MAPK1(0.455), LGMN(0.455), PTGS2(0.455)"
Daidzein,0.44927501678466797,152,0.4525036996916721,50,1.0,"CTSB(0.455), SOCS1(0.455), HIF1A(0.454), LCN2(0.454), IRF9(0.454), BCL6(0.454), SLC1A5(0.454), MAPK1(0.454), LGMN(0.454), PTGS2(0.454)"
Luteolin,0.44882819056510925,152,0.4523721331044247,50,1.0,"CTSB(0.455), SOCS1(0.454), HIF1A(0.454), LCN2(0.454), IRF9(0.454), SLC1A5(0.454), BCL6(0.454), MAPK1(0.454), LGMN(0.454), PTGS2(0.454)"
Kaempferol,0.44838857650756836,150,0.45199492510996364,50,1.0,"CTSB(0.454), SOCS1(0.454), HIF1A(0.454), LCN2(0.454), IRF9(0.454), SLC1A5(0.454), BCL6(0.454), MAPK1(0.454), LGMN(0.454), PTGS2(0.454)"
Scutellarein,0.44804897904396057,150,0.4517410695552826,50,1.0,"CTSB(0.454), SOCS1(0.454), HIF1A(0.454), LCN2(0.454), IRF9(0.454), SLC1A5(0.454), BCL6(0.454), MAPK1(0.454), LGMN(0.454), PTGS2(0.453)"
Galangin,0.44808584451675415,150,0.45167300010982314,50,1.0,"CTSB(0.454), SOCS1(0.454), HIF1A(0.454), LCN2(0.454), IRF9(0.454), SLC1A5(0.454), BCL6(0.454), MAPK1(0.453), LGMN(0.453), PTGS2(0.453)"
Baicalein,0.44779011607170105,150,0.45144471745741993,50,1.0,"CTSB(0.454), SOCS1(0.454), HIF1A(0.453), LCN2(0.453), IRF9(0.453), SLC1A5(0.453), BCL6(0.453), MAPK1(0.453), LGMN(0.453), PTGS2(0.453)"
Quercetin,0.4475172162055969,150,0.45126572565028544,50,1.0,"CTSB(0.453), SOCS1(0.453), HIF1A(0.453), LCN2(0.453), IRF9(0.453), SLC1A5(0.453), BCL6(0.453), MAPK1(0.453), LGMN(0.453), PTGS2(0.453)"
