compound,rank_in_compound,gene,binding_probability
BCP,1,CTSB,0.4424845576286316
BCP,2,SOCS1,0.4424107074737549
BCP,3,HIF1A,0.4423113763332367
BCP,4,LCN2,0.44230136275291443
BCP,5,SLC1A5,0.4421822130680084
BCP,6,IRF9,0.44216296076774597
BCP,7,BCL6,0.44210997223854065
BCP,8,MAPK1,0.442058265209198
BCP,9,LGMN,0.4420442283153534
BCP,10,PTGS2,0.44198837876319885
VC,1,CTSB,0.43902403116226196
VC,2,SOCS1,0.43895024061203003
VC,3,HIF1A,0.43885108828544617
VC,4,LCN2,0.4388411343097687
VC,5,SLC1A5,0.438722163438797
VC,6,IRF9,0.43870294094085693
VC,7,BCL6,0.4386500120162964
VC,8,MAPK1,0.4385984241962433
VC,9,LGMN,0.4385843873023987
VC,10,PTGS2,0.4385286867618561
Fer-1,1,CTSB,0.4415816366672516
Fer-1,2,SOCS1,0.441515177488327
Fer-1,3,LCN2,0.44142594933509827
Fer-1,4,HIF1A,0.4414192736148834
Fer-1,5,IRF9,0.44133204221725464
Fer-1,6,SLC1A5,0.44132566452026367
Fer-1,7,BCL6,0.44126689434051514
Fer-1,8,MAPK1,0.4412465989589691
Fer-1,9,LGMN,0.4412270188331604
Fer-1,10,TLR4,0.441173791885376
DFO,1,CTSB,0.4482061266899109
DFO,2,SOCS1,0.4481104910373688
DFO,3,LCN2,0.44806987047195435
DFO,4,HIF1A,0.44803884625434875
DFO,5,IRF9,0.44799289107322693
DFO,6,BCL6,0.44791799783706665
DFO,7,LGMN,0.44789713621139526
DFO,8,MAPK1,0.447885662317276
DFO,9,SLC1A5,0.44787833094596863
DFO,10,S100A8,0.4478306174278259
Lip-1,1,CTSB,0.4396054446697235
Lip-1,2,SOCS1,0.4395565390586853
Lip-1,3,LCN2,0.43949270248413086
Lip-1,4,HIF1A,0.4394707977771759
Lip-1,5,IRF9,0.43939828872680664
Lip-1,6,BCL6,0.4393402338027954
Lip-1,7,SLC1A5,0.43933427333831787
Lip-1,8,MAPK1,0.4393157660961151
Lip-1,9,LGMN,0.43929463624954224
Lip-1,10,TLR4,0.4392451047897339
Erastin,1,CTSB,0.4314424991607666
Erastin,2,SOCS1,0.43133845925331116
Erastin,3,LCN2,0.4312840402126312
Erastin,4,HIF1A,0.4312629997730255
Erastin,5,SLC1A5,0.43115708231925964
Erastin,6,IRF9,0.4311531186103821
Erastin,7,BCL6,0.4310559034347534
Erastin,8,LGMN,0.4310503900051117
Erastin,9,MAPK1,0.4310317933559418
Erastin,10,PTGS2,0.43095332384109497
RSL3,1,CTSB,0.4270167946815491
RSL3,2,SOCS1,0.42694854736328125
RSL3,3,HIF1A,0.4268759787082672
RSL3,4,LCN2,0.4268268048763275
RSL3,5,SLC1A5,0.42672571539878845
RSL3,6,IRF9,0.4266411364078522
RSL3,7,BCL6,0.42660990357398987
RSL3,8,MAPK1,0.42656537890434265
RSL3,9,PTGS2,0.42650172114372253
RSL3,10,LGMN,0.4265008568763733
ML162,1,CTSB,0.4299606382846832
ML162,2,LCN2,0.4298185110092163
ML162,3,SOCS1,0.4298022985458374
ML162,4,HIF1A,0.42978671193122864
ML162,5,SLC1A5,0.42970022559165955
ML162,6,IRF9,0.4296656847000122
ML162,7,LGMN,0.42957621812820435
ML162,8,MAPK1,0.42953425645828247
ML162,9,BCL6,0.4295095205307007
ML162,10,PTGS2,0.42945078015327454
Cinnamaldehyde,1,CTSB,0.4442526698112488
Cinnamaldehyde,2,SOCS1,0.4441787004470825
Cinnamaldehyde,3,HIF1A,0.44407927989959717
Cinnamaldehyde,4,LCN2,0.4440693259239197
