,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
ABCC1,-0.056175858,-0.121552356,-0.26007253,0.07410581,0.13080662,-0.21325803,0.12706491,0.22503588,-0.25086784,0.26492435,-0.0031974912,0.18546787,0.10372865,0.2875224,-0.0024589896,-0.30774415
ABCC2,0.16065034,0.170553,-0.1772686,0.21907066,0.35396272,-0.17649685,0.12434559,-0.27399957,-0.44927824,0.2582386,0.3292637,0.33979857,-0.21296449,0.5879836,0.05029683,-0.3018469
ACSL3,0.13498124,0.13797739,-0.192038,0.21936505,0.34583133,-0.17432049,0.11611941,-0.2226632,-0.45472682,0.24781324,0.32761467,0.35663986,-0.1568514,0.55959576,0.044489875,-0.27205625
ACSL4,0.13328163,0.12531243,-0.18766324,0.22790012,0.34745353,-0.18313186,0.11817412,-0.20431194,-0.45085895,0.25615543,0.32329953,0.36245567,-0.14412956,0.54818356,0.038397714,-0.26347834
ACVR1B,-0.06619449,-0.1290228,-0.2549048,0.07252463,0.11937483,-0.22182304,0.12660879,0.24090591,-0.23795228,0.26729992,-0.008398607,0.18238315,0.10876858,0.27267835,0.0010704696,-0.30690217
ADIPOQ,-0.014930296,0.009131245,-0.22863978,0.1571541,0.22339866,-0.18546155,0.07257323,0.0067538023,-0.3722083,0.28808036,0.2367371,0.35606813,0.050871123,0.39001003,0.0776093,-0.27827927
AKT1,0.13345556,0.13442473,-0.18281835,0.23204426,0.3461663,-0.18715778,0.11819447,-0.21162194,-0.44603652,0.26155335,0.33194387,0.36580056,-0.1546828,0.54940933,0.043359876,-0.26883328
ALOX12,0.100978725,0.076979324,-0.21092011,0.21086976,0.33191654,-0.17339426,0.10786329,-0.13755417,-0.45139468,0.25512356,0.2840904,0.358729,-0.06842588,0.51073563,0.030022725,-0.24880484
ALOX15,-0.047399767,-0.13333616,-0.26927888,0.033296067,0.112530895,-0.19907308,0.13123225,0.22079876,-0.24332383,0.24762402,-0.040333718,0.14892603,0.09354612,0.29831415,-0.0034546703,-0.33355686
ALOX5,0.14646572,0.13895866,-0.18528073,0.22472714,0.35396793,-0.17755519,0.12256249,-0.22731143,-0.45347553,0.2585316,0.32179505,0.35387498,-0.16382705,0.56214637,0.038321972,-0.27359438
ATF2,0.15036567,0.15738136,-0.1789846,0.225104,0.3505637,-0.18103386,0.121577956,-0.25113395,-0.44982392,0.25402805,0.3387074,0.35473087,-0.19181457,0.57441366,0.04865244,-0.28434783
ATF3,-0.045550134,-0.13363585,-0.26576877,0.052520514,0.123843655,-0.20673247,0.13237655,0.22521833,-0.24958585,0.24929865,-0.02531492,0.16507503,0.097109854,0.29728642,-0.009498186,-0.3172145
ATF4,0.14420322,0.14422625,-0.1833064,0.22693951,0.35177884,-0.17945668,0.121075585,-0.23081502,-0.451838,0.25791967,0.33167267,0.35891014,-0.16823915,0.5622202,0.042912424,-0.27368635
ATG3,-0.050978407,-0.13948953,-0.26974007,0.028373424,0.105520174,-0.20162006,0.13205718,0.2306911,-0.23524487,0.25023863,-0.051380888,0.14211866,0.09614016,0.29254314,-0.0040698424,-0.33966166
ATG5,0.12876025,0.12339556,-0.18792246,0.23057874,0.34685615,-0.18500979,0.11714182,-0.1978018,-0.44854695,0.26154703,0.32017887,0.36308825,-0.1382973,0.54269385,0.038308322,-0.26367906
ATG7,0.14658839,0.14174393,-0.18465944,0.22476432,0.35302636,-0.17877221,0.12220481,-0.23099416,-0.45266426,0.25637856,0.3235085,0.3527394,-0.16940948,0.5646987,0.039752916,-0.27585408
ATM,0.12534799,0.13709523,-0.18152003,0.23914616,0.34441683,-0.19231932,0.115184836,-0.20683897,-0.44208604,0.26774955,0.33643895,0.37088215,-0.1521179,0.5432898,0.046882287,-0.26940843
ATR,0.15281224,0.15006441,-0.18414532,0.2223487,0.35703486,-0.1741818,0.12411748,-0.24463713,-0.45574415,0.25504702,0.32265574,0.34674466,-0.17961855,0.5723778,0.04003819,-0.27926794
BAP1,0.09792944,0.09854687,-0.21410252,0.19805285,0.32285345,-0.16488717,0.10202378,-0.16443223,-0.4489746,0.2510293,0.2913937,0.35098118,-0.089902356,0.52339303,0.04606224,-0.27113006
BCL6,-0.04815046,-0.13745755,-0.2696457,0.029116143,0.10849525,-0.19951677,0.13256326,0.22660133,-0.23861948,0.24930379,-0.047665596,0.14435364,0.09532803,0.29509723,-0.004463747,-0.3371477
BECN1,0.13343997,0.13092084,-0.18568678,0.23034674,0.3475638,-0.18540725,0.11823182,-0.20900565,-0.4477827,0.2610976,0.32370472,0.3611819,-0.15101269,0.5497205,0.04031968,-0.26961586
BLM,0.1375727,0.1419133,-0.18254082,0.22822648,0.34538013,-0.18619299,0.11791789,-0.22571689,-0.44673294,0.25534877,0.33327985,0.36003733,-0.16984971,0.5597089,0.0462889,-0.27668875
BNIP3,0.1332707,0.13331461,-0.18298925,0.23280023,0.3468653,-0.18782805,0.11805862,-0.21096241,-0.4470266,0.25953424,0.33127588,0.36526543,-0.15441151,0.5496884,0.042438656,-0.26707762
BNIP3L,0.1580115,0.12228618,-0.19542216,0.20927748,0.36188483,-0.16075072,0.12625675,-0.22466412,-0.47083163,0.24189806,0.3042032,0.34378254,-0.14716451,0.5687892,0.025529519,-0.2603277
BRCA1,0.13003683,0.13782056,-0.18057404,0.23606001,0.3443262,-0.19154537,0.11668735,-0.2124184,-0.44346094,0.26127535,0.33803338,0.36872426,-0.15879269,0.5484183,0.046479084,-0.26895425
BRCA2,0.14870237,0.17162436,-0.1746806,0.22269912,0.3448308,-0.18342043,0.11600131,-0.2711608,-0.44535446,0.25809634,0.3472258,0.35457152,-0.20999493,0.582499,0.062255498,-0.30241242
BRD4,0.14873224,0.16257918,-0.17578559,0.22853355,0.35115322,-0.18394382,0.122031696,-0.25302294,-0.4443998,0.26518044,0.33314675,0.35037994,-0.19573063,0.5715679,0.050238412,-0.29164135
BRD7,-0.056681145,-0.13197431,-0.2621782,0.057150118,0.1171397,-0.21253231,0.12966216,0.23489147,-0.23969358,0.2611783,-0.021504126,0.17057255,0.10311884,0.2842061,-0.0030082911,-0.3195493
CAVIN1,-0.108818874,-0.11950175,-0.21808034,0.11023762,0.106575415,-0.24472858,0.11432365,0.2758474,-0.21164963,0.32952213,0.053368337,0.2466338,0.15888324,0.19879106,0.03786844,-0.2699088
CBS,0.16992924,0.15535983,-0.18899396,0.20609161,0.36295184,-0.16100492,0.12588555,-0.27252823,-0.46709925,0.24388796,0.309226,0.3287475,-0.19711605,0.596305,0.037960425,-0.2930287
CCL2,0.12301247,0.12258229,-0.18563068,0.23453112,0.34190708,-0.19100893,0.11505556,-0.19190437,-0.44411376,0.2612379,0.32945585,0.37085292,-0.13732323,0.5378201,0.04197508,-0.26150325
CCNA2,0.1334683,0.1450807,-0.17308713,0.24379794,0.34475857,-0.19957383,0.11827463,-0.21885219,-0.43774778,0.26843685,0.34774822,0.3744006,-0.17174037,0.5506294,0.04920634,-0.2737745
CCNB1,0.14893712,0.16111368,-0.1722969,0.23320164,0.3504448,-0.1890831,0.1218561,-0.25058207,-0.44271365,0.26657218,0.34148818,0.35853797,-0.19607459,0.57007486,0.051189803,-0.28892598
CCND1,0.14449404,0.15241659,-0.176154,0.23404664,0.35034093,-0.1884989,0.121109985,-0.2378428,-0.4452487,0.26247835,0.33975273,0.36150533,-0.1829642,0.5642443,0.047348082,-0.27974868
CCNE1,0.13070056,0.13901363,-0.18068366,0.23444082,0.34350383,-0.1915224,0.11645757,-0.21529621,-0.4428971,0.26045477,0.33641374,0.3661532,-0.16234516,0.5507132,0.047240175,-0.27242118
CD38,0.14948948,0.1445668,-0.18318923,0.22340891,0.35381496,-0.17655352,0.12200363,-0.23771316,-0.4557998,0.25277436,0.33118105,0.35625294,-0.17221394,0.5678443,0.04212202,-0.27293214
CD74,-0.053308424,-0.13224584,-0.2780028,0.0036086617,0.092400074,-0.18928282,0.12692547,0.21327671,-0.23390035,0.23767562,-0.061788723,0.12335247,0.083491206,0.30427802,0.006828949,-0.36203453
CD82,0.13752669,0.071949445,-0.21476352,0.20686558,0.32362902,-0.18959692,0.12903246,-0.13515118,-0.4263602,0.26085442,0.2767482,0.3555767,-0.11791848,0.54434514,0.007693425,-0.29721075
CDK2,0.119559504,0.1088187,-0.19320874,0.22735876,0.3412478,-0.18454945,0.113829836,-0.17775016,-0.4481191,0.26014817,0.31505227,0.3671267,-0.11719005,0.5318739,0.03690672,-0.25778863
CDK4,0.14976959,0.13911852,-0.18993251,0.21778774,0.3554307,-0.17204967,0.12272293,-0.23357922,-0.45729953,0.25331214,0.31081864,0.34309277,-0.16743515,0.5694429,0.03603956,-0.27937514
CDK6,0.122810885,0.12832631,-0.18472128,0.2365524,0.34260246,-0.19145514,0.11476599,-0.19674537,-0.44303584,0.2642304,0.33171093,0.3707829,-0.14226086,0.53936195,0.043944903,-0.26502863
CDKN1A,0.164944,0.14002153,-0.1871116,0.21626091,0.36524278,-0.16550413,0.12854888,-0.24498287,-0.46727067,0.24739462,0.31609094,0.34479773,-0.1713899,0.57780075,0.030483425,-0.2685097
CDKN1B,0.16871788,0.14821789,-0.18300949,0.21827218,0.36562586,-0.16815992,0.12967537,-0.25522447,-0.4645205,0.24980849,0.32086068,0.3442688,-0.18456858,0.58292466,0.03325346,-0.27464262
CDKN2A,0.15739933,0.17128369,-0.17353785,0.22538924,0.35313883,-0.18212292,0.12374323,-0.27014232,-0.4455785,0.26331007,0.33485246,0.34561202,-0.21225666,0.58307546,0.052086066,-0.3000241
CDKN2B,0.12488744,0.123720475,-0.18673883,0.23193227,0.34287137,-0.1882209,0.11542666,-0.19560444,-0.44621915,0.2585882,0.32771003,0.3678475,-0.1390565,0.5405988,0.04159189,-0.2618838
CDO1,0.10773996,0.07705991,-0.2180819,0.2027068,0.3212783,-0.1743728,0.11651401,-0.129917,-0.43866295,0.24758825,0.283144,0.353875,-0.08481757,0.5187348,0.022832021,-0.26356292
CHAC1,0.11581155,0.10997538,-0.2024367,0.21268214,0.33475226,-0.17508034,0.11050771,-0.1828407,-0.4505038,0.24777554,0.3059342,0.35463667,-0.11890368,0.53784275,0.040046737,-0.26615337
CHEK1,0.13202757,0.13448001,-0.18214215,0.23435467,0.34486726,-0.19059874,0.11744365,-0.21092439,-0.44514614,0.25814673,0.3357526,0.36774796,-0.15757208,0.55010533,0.043962285,-0.26785862
CHEK2,0.14159638,0.15397537,-0.1766914,0.23252138,0.3482375,-0.18699118,0.119221576,-0.23880857,-0.44571012,0.26061153,0.34373182,0.36338925,-0.18154965,0.56312215,0.050638825,-0.27873895
COL1A1,0.1487239,0.17168753,-0.17467892,0.22264454,0.34482425,-0.18338175,0.115996726,-0.27127537,-0.44536662,0.2580611,0.34721452,0.35450697,-0.21007909,0.5825546,0.062290296,-0.30246118
COL1A2,0.14948699,0.17547491,-0.17293346,0.22300293,0.34601897,-0.18299682,0.11613071,-0.2761692,-0.44533277,0.25976878,0.34690833,0.35236594,-0.21357693,0.58340466,0.063709185,-0.30373
COL3A1,0.10966007,0.11421887,-0.18830432,0.23493983,0.33316046,-0.19478993,0.11073044,-0.17364532,-0.43910295,0.26009044,0.33139467,0.37682047,-0.122842535,0.5254768,0.044839777,-0.25709555
COX7A1,-0.06366202,-0.11742269,-0.25862753,0.07807819,0.12885416,-0.21467423,0.1255152,0.22885287,-0.24725497,0.27004242,0.00100182,0.18836518,0.10742675,0.27961895,0.0013712719,-0.30535164
CREB1,0.13944276,0.141251,-0.18008338,0.23218568,0.348732,-0.18659791,0.119932055,-0.22289112,-0.44679147,0.26172763,0.33509183,0.3642402,-0.1655474,0.555936,0.044351667,-0.27226722
CREBBP,0.1348296,0.13558757,-0.18382376,0.2307838,0.34823343,-0.18443364,0.11871135,-0.21419296,-0.4480775,0.2613921,0.32884896,0.36271745,-0.15472344,0.5508021,0.04237929,-0.26886278
CRYAB,-0.014333556,0.010140173,-0.22829826,0.15663818,0.22383529,-0.18456697,0.07297765,0.005535908,-0.37215483,0.289275,0.23598734,0.35513595,0.050526652,0.3899277,0.07778566,-0.27874178
CSE1L,0.14685205,0.15767327,-0.17581266,0.23226723,0.35153228,-0.18613653,0.12175234,-0.24532267,-0.44562653,0.26335627,0.3382972,0.3574115,-0.18880402,0.5677559,0.048490796,-0.28371954
CTSB,-0.048441257,-0.13641474,-0.27478758,0.015757997,0.10348257,-0.19266692,0.13266253,0.22226232,-0.23606429,0.24667272,-0.06515466,0.12684691,0.091032505,0.29866803,-0.0036253184,-0.35009822
CXCL10,-0.04390715,-0.12892771,-0.27185518,0.025513362,0.11161513,-0.19297417,0.1317334,0.2117495,-0.24440122,0.24541345,-0.04469408,0.14172241,0.08736154,0.30458245,-0.0020581707,-0.3410947
CXCL8,-0.01050208,0.014316134,-0.22187892,0.15750422,0.2281129,-0.18242785,0.080140606,0.0054836497,-0.3683364,0.2973655,0.22826156,0.3463046,0.04985543,0.38188195,0.07446338,-0.27207792
DDIT3,0.14001629,0.13756338,-0.183161,0.2306277,0.35067886,-0.18418291,0.120505996,-0.21984982,-0.44935155,0.26016077,0.3282529,0.3606034,-0.16117261,0.55617666,0.040647037,-0.2709207
DPEP1,-0.044027444,-0.123239346,-0.26691073,0.05501906,0.12924474,-0.20038399,0.12843359,0.21076468,-0.2580278,0.25248906,-0.010597497,0.17561369,0.096486405,0.30365548,-0.0035083443,-0.31763646
DPP4,0.054308116,0.030425053,-0.27673516,0.10986099,0.26392716,-0.12105042,0.09426019,-0.07271078,-0.43139672,0.2166823,0.19294825,0.2920457,-0.00565394,0.48878723,0.03503903,-0.2989647
DUOX1,0.07149298,0.044243056,-0.2523939,0.15279272,0.2942161,-0.14161877,0.102947704,-0.08809287,-0.439748,0.23099576,0.22097214,0.31397176,-0.023350451,0.4916789,0.025827922,-0.27045166
DYRK1A,-0.037462678,-0.11139316,-0.267357,0.06846508,0.1439618,-0.19583586,0.12713084,0.19573915,-0.2735918,0.25155824,0.016077626,0.19603959,0.09528333,0.31345344,-0.0035527647,-0.30485177
E2F1,-0.046933096,-0.13135692,-0.26775295,0.0394426,0.1149243,-0.20162354,0.13087666,0.22025678,-0.24449882,0.2495223,-0.031298727,0.15709129,0.093122214,0.29875737,-0.0031540617,-0.33053327
E2F2,0.16070649,0.16178823,-0.18897061,0.20227014,0.3535878,-0.16023676,0.121220194,-0.2743985,-0.46233246,0.24231115,0.31971276,0.33267507,-0.19828938,0.592277,0.048615,-0.29649946
