gene,embedding_norm,degree,bio_prior,hub_score,rank
MAPK1,0.75054115,288,1.0,0.8441666045847191,1
IL6,0.7509423,187,1.0,0.8297389111562895,2
IL1B,0.7499709,166,1.0,0.8254008808258875,3
TLR4,0.7509535,144,1.0,0.8209470209799363,4
IFNG,0.7506163,125,1.0,0.8160769264696155,5
TP53,1.1259694,27,0.8,0.811294650146542,6
HMOX1,0.7501793,102,1.0,0.8091039319799719,7
S100A8,0.75630796,92,1.0,0.8077049057020175,8
RB1,1.120452,24,0.8,0.8056020979727938,9
HIF1A,0.7480259,92,1.0,0.804921309186362,10
NLRP3,0.7524166,86,1.0,0.8041383588820666,11
PTGS2,0.75004447,83,1.0,0.8021526309452863,12
IRF1,0.7519348,72,1.0,0.7980344301065221,13
KEAP1,0.7536514,58,1.0,0.7914002020511217,14
CXCL10,0.7508593,58,1.0,0.790461786523778,15
SOD1,0.75351536,39,1.0,0.7781916302708398,16
ABCC1,0.7590161,366,0.8,0.7751071938465818,17
BAP1,1.0505158,19,0.8,0.7745390006852826,18
CD74,0.7513298,25,1.0,0.7628674809428797,19
CDO1,1.0371429,15,0.8,0.7624870134651389,20
MAPK14,0.7523175,204,0.8,0.7531329599720172,21
DPP4,0.9360214,18,0.8,0.7343199921209645,22
RELA,1.1359086,88,0.5,0.7338007090670837,23
E2F1,0.75305665,103,0.8,0.7303982423665731,24
HMGB1,0.751961,104,0.8,0.7303540687059726,25
E2F3,0.75555456,85,0.8,0.724801496808487,26
CDKN1A,1.1404066,15,0.6,0.717194202071401,27
STAT3,1.1289225,49,0.5,0.7119242050211196,28
SLAMF8,1.1044004,56,0.5,0.708119856722123,29
IL18,1.1193888,45,0.5,0.7058959900612667,30
TFRC,0.75470215,43,0.8,0.7018184246065124,31
TNFRSF1A,1.1383271,30,0.5,0.6988952385209792,32
SAT1,0.7587302,37,0.8,0.6982071576390627,33
IGFBP7,0.7506457,40,0.8,0.6980633856236056,34
ZEB1,0.7509259,39,0.8,0.697321313050152,35
RBM3,1.0540534,64,0.5,0.6956461534202726,36
MAPK3,1.1348588,28,0.5,0.6954708785811401,37
JUN,1.1126674,33,0.5,0.6933994089410959,38
VEGFA,1.1056308,35,0.5,0.6929701703440276,39
SELE,1.1036054,35,0.5,0.6922894554983703,40
ATF3,0.75531816,32,0.8,0.692282381089794,41
ICAM1,1.1047621,34,0.5,0.6917241488679979,42
NUAK2,1.110095,30,0.5,0.6894063578866714,43
NFKB1,1.1268262,24,0.5,0.6877444379176332,44
MMP9,1.1322793,22,0.5,0.6867533220807813,45
IL1A,1.0774738,38,0.5,0.6862173808106231,46
ATG3,0.7543685,25,0.8,0.6838888065311061,47
IL10,1.1034172,26,0.5,0.6824831049175955,48
PRNP,1.0928434,28,0.5,0.6813493759432769,49
TBX2,1.1174804,21,0.5,0.680273902826207,50
TFAM,1.0858481,25,0.5,0.6752999011966334,51
PARP1,1.1000007,21,0.5,0.6743989412115983,52
PRKAA2,1.1066645,19,0.5,0.6734107550931652,53
GMFB,1.102984,19,0.5,0.6721736904931743,54
EGR1,0.7513521,60,0.7,0.6717564201305186,55
HBP1,1.1122197,17,0.5,0.6717095407184159,56
CCL2,1.101309,19,0.5,0.6716107246232708,57
KLF6,1.0343286,33,0.5,0.6670695041464029,58
MPO,0.7530559,49,0.7,0.6655944850008253,59
FOS,1.0923258,16,0.5,0.6630873669715054,60
TNF,1.0699759,20,0.5,0.6627319993548144,61
LOX,1.0242232,32,0.5,0.6626620364509694,62
EMP1,1.091062,15,0.5,0.6606093586742605,63
CD82,1.0677392,19,0.5,0.6603278633905132,64
EDN1,0.75219226,40,0.7,0.6585831977306917,65
WRN,1.0595127,19,0.5,0.6575629231286724,66
RGS4,1.1901132,53,0.3,0.655097029392603,67
TGFB1,1.0464729,20,0.5,0.6548325957827319,68
SIRT6,1.1534932,70,0.3,0.6520583690974915,69
EBF3,1.0456958,16,0.5,0.6474148918719418,70
NR2F2,0.9829424,21,0.5,0.6350553457068375,71
