,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
Ferroptosis,-0.6251431,-0.0038294941,0.4519864,-0.25503594,-0.24767934,-0.40366542,0.033676118,-0.13269904,0.20126636,0.40642715,-0.2638672,-0.17629862,0.010867715,0.40875524,-0.22961396,-0.13076681
Glutathione_metabolism,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Iron_homeostasis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Lipid_peroxidation,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Nrf2_pathway,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Autophagy,-0.6358032,-0.00028558075,0.48118272,-0.26472086,-0.23159489,-0.43012398,0.013622016,-0.12607136,0.19255178,0.44788864,-0.25959265,-0.2176472,-0.020228654,0.45309716,-0.2878453,-0.10362224
Mitochondrial_dysfunction,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
ROS_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Cellular_senescence,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
p53_pathway,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
p16_Rb_pathway,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
SASP,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
DNA_damage_response,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Telomere_maintenance,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
mTOR_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
AMPK_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Sirtuin_pathway,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
NF-kB_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
JAK_STAT_pathway,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
MAPK_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
TLR_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
NLRP3_inflammasome,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Complement_cascade,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Cytokine_storm,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Chemokine_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Apoptosis,-0.625531,-0.00093118846,0.45401043,-0.25329715,-0.23997149,-0.41088557,0.027965218,-0.12900406,0.19511159,0.40872526,-0.26718104,-0.18662146,0.009145081,0.41464084,-0.23883915,-0.11998229
Necroptosis,-0.62660456,-0.003795445,0.45802984,-0.25527173,-0.2424611,-0.40972188,0.028651625,-0.13049003,0.19454576,0.414765,-0.26556325,-0.19057712,0.003735423,0.419558,-0.24462473,-0.120972976
Pyroptosis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
ER_stress,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Oxidative_stress,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
BBB_disruption,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Neuroinflammation,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Excitotoxicity,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Calcium_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Synaptic_plasticity,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Neurotrophin_signaling,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Cuproptosis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Copper_homeostasis,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Mitochondrial_metabolism,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Cell_adhesion,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
ECM_receptor,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Gap_junction,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Tight_junction,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
Focal_adhesion,-0.43819463,-0.068371534,0.074176565,-0.14612664,-0.36912784,-0.11685422,0.26461682,-0.17896286,0.24013716,-0.08031292,-0.26666605,0.25514254,0.34594256,-0.13337925,0.40538502,-0.37332097
