compound,similarity_to_ACSL4
Galangin,0.44886189055683734
Kaempferol,0.44606237451606917
Fisetin,0.443587214898599
Baicalein,0.44355374885672544
Chrysin,0.4427896694006459
Quercetin,0.44259432883658434
Scutellarein,0.440048862194918
Luteolin,0.43982647786595747
Apigenin,0.439697432805983
Genistein,0.4017728270898954
Oroxylin A,0.4014208276311846
Daidzein,0.3999722479167003
Formononetin,0.3915399790584401
Magnolol,0.38009887365755013
Honokiol,0.3673170002045839
Wogonin,0.3576552110884497
Resveratrol,0.3546134403297208
Cinnamic_acid,0.3534398784566156
Cinnamaldehyde,0.34736607029104083
Tyrosol,0.3334933601980943
Tetramethylpyrazine,0.31999103125685974
N-acetylcysteine,0.31551204610115186
Dimethyl fumarate,0.3016007058086319
Sulforaphane,0.29828368344360373
Alpha-lipoic acid,0.29664155589146635
Hydroxytyrosol,0.2838076047513917
BCP,0.27739177458031833
Borneol,0.2768223842300037
Eucalyptol,0.2578343390456944
Edaravone,0.2514886216478329
