,sample,condition,leiden,cell_type,ferroptosis_score,senescence_score,consensus_senescence,isp_index,sene_senmayo,sene_cellage,sene_fridman,glutathione_metabolism,fatty_acid_elongation,iron_metabolism,isp_group,UMAP1,UMAP2
GSM5319987_sham1_1-0,GSM5319987_sham1,Sham,0,Endothelial,0.2390490865067136,0.11037220843672454,-0.1174785100286533,-1.5777223692485407,0.11037220843672454,-0.1646586345381526,-0.1174785100286533,0.3052208835341365,0.10618279569892472,0.18,Low,11.577285,9.042395
GSM5319987_sham1_1-1-0,GSM5319987_sham1,Sham,9,Astrocyte,0.7796610169491526,1.560198511166253,-0.13399185643191072,-0.4984955854530554,1.560198511166253,-0.25803212851405627,-0.13399185643191072,-0.5341365461847389,-0.10887096774193548,2.38,Mid,11.932307,0.63898236
GSM5319987_sham1_1-2-0,GSM5319987_sham1,Sham,16,Astrocyte,0.04787585296059871,-0.0078908188585608,-0.030462976926557084,-1.855714270783878,-0.0078908188585608,-0.14859437751004015,-0.030462976926557084,-0.09839357429718879,-0.056451612903225805,0.556,Low,1.2985625,7.8829746
GSM5319987_sham1_1-3-0,GSM5319987_sham1,Sham,0,Endothelial,1.2384987893462471,-0.00937965260545906,-0.00937965260545906,-1.8592139590113477,-0.00937965260545906,-0.04116465863453815,0.07193485145528578,0.12449799196787148,-0.03225806451612903,4.548,Low,10.604947,8.382878
GSM5319987_sham1_1-4-0,GSM5319987_sham1,Sham,2,Microglia,0.28989654413383226,0.8461538461538461,-0.1361031518624642,-1.0230581153632545,0.8461538461538461,-0.21686746987951808,-0.1361031518624642,0.07028112449799195,-0.04435483870967742,0.332,Mid,8.918742,-6.149047
GSM5319987_sham1_1-5-0,GSM5319987_sham1,Sham,12,Oligodendrocyte,5.033568126788466,0.00858560794044666,-0.2897752978434625,-1.816984387733214,0.00858560794044666,-0.4799196787148594,-0.2897752978434625,-0.8493975903614459,0.07392473118279569,24.736,Low,17.938717,3.3895707
GSM5319987_sham1_1-6-0,GSM5319987_sham1,Sham,5,Microglia,0.6267334360554699,1.5419851116625312,1.0130522088353413,-0.6622887619272626,1.5419851116625312,1.0130522088353413,0.00889760217161814,0.06827309236947787,-0.06451612903225806,1.1840000000000002,Mid,3.3275526,-0.848617
GSM5319987_sham1_1-7-0,GSM5319987_sham1,Sham,2,Microglia,0.22000880475456747,0.6157320099255583,0.05150052782385764,-1.097911420193137,0.6157320099255583,-0.10742971887550203,0.05150052782385764,-0.14658634538152612,-0.05241935483870968,0.396,Mid,9.506214,-5.429095
GSM5319987_sham1_1-8-0,GSM5319987_sham1,Sham,0,Endothelial,0.5496918335901386,0.29622828784119104,-0.09350022621022472,-1.1408446221860826,0.29622828784119104,-0.22088353413654618,-0.09350022621022472,-0.12851405622489964,-0.056451612903225805,1.576,Mid,11.347507,8.785942
GSM5319987_sham1_1-9-0,GSM5319987_sham1,Sham,0,Endothelial,0.6879264802993617,0.5450620347394541,0.03611823254411098,-0.5967479154935388,0.5450620347394541,-0.05823293172690763,0.03611823254411098,0.1506024096385542,-0.03225806451612903,1.7800000000000002,Mid,11.375017,7.021881
GSM5319987_sham1_1-10-0,GSM5319987_sham1,Sham,0,Endothelial,0.5078142196786265,0.4805955334987593,0.07050218669883877,-0.789657259358267,0.4805955334987593,-0.06325301204819277,0.07050218669883877,1.0120481927710843,-0.04435483870967742,-0.20400000000000001,Mid,9.223372,6.4656467
GSM5319987_sham1_1-11-0,GSM5319987_sham1,Sham,2,Microglia,0.648580233325996,0.6525558312655088,0.01033026692806513,-0.6388897367166616,0.6525558312655088,-0.21184738955823296,0.01033026692806513,-0.2630522088353414,-0.036290322580645164,2.516,Mid,8.851297,-5.799719
GSM5319987_sham1_1-12-0,GSM5319987_sham1,Sham,0,Endothelial,0.5569557561082985,0.8183126550868485,0.11521640778163172,-0.7370241875369403,0.8183126550868485,0.05120481927710846,0.11521640778163172,-0.2208835341365462,-0.07258064516129033,1.58,Mid,9.252195,6.7283716
GSM5319987_sham1_1-13-0,GSM5319987_sham1,Sham,10,Microglia,0.722375082544574,0.3484367245657568,0.3484367245657568,-1.0181222216761479,0.3484367245657568,0.1375502008032129,0.3490423767154275,0.2771084337349397,-0.056451612903225805,1.444,Mid,4.3778596,6.4284067
GSM5319987_sham1_1-14-0,GSM5319987_sham1,Sham,2,Microglia,0.35516178736517723,0.25627791563275437,-0.15329512893982808,-1.2347529229565175,0.25627791563275437,-0.23293172690763053,-0.15329512893982808,-0.23493975903614459,-0.04838709677419355,1.588,Low,8.020601,-5.51493
GSM5319987_sham1_1-15-0,GSM5319987_sham1,Sham,0,Endothelial,0.3089368258859784,0.31315136476426797,-0.11604584527220631,-1.101064832667178,0.31315136476426797,-0.16666666666666666,-0.11604584527220631,0.032128514056224855,-0.028225806451612902,0.772,Mid,10.337935,5.9608684
GSM5319987_sham1_1-16-0,GSM5319987_sham1,Sham,0,Endothelial,0.4327536869909751,0.09970223325062035,-0.09598853868194843,-1.602803468212073,0.09970223325062035,-0.14457831325301204,-0.09598853868194843,0.06827309236947787,-0.04838709677419355,1.1079999999999999,Low,11.948635,7.335297
GSM5319987_sham1_1-17-0,GSM5319987_sham1,Sham,2,Microglia,0.14731454985692277,0.6617866004962779,-0.12349397590361445,-1.1757706451382348,0.6617866004962779,-0.12349397590361445,-0.1278841803649525,0.004016064257028107,-0.05241935483870968,0.04800000000000004,Low,7.7166686,-5.5865707
GSM5319987_sham1_1-18-0,GSM5319987_sham1,Sham,0,Endothelial,0.9536099493726613,0.3422332506203474,0.021791584979641065,-1.0327042559572712,0.3422332506203474,-0.17771084337349402,0.021791584979641065,-0.29919678714859443,-0.06451612903225806,2.924,Mid,9.813025,7.4127994
