source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Microglia,GABAergic,CCL4,CCR5,0.0022140084000918533,1.0,-0.9977859915999081
Pericyte,Oligodendrocyte,TIMP1,CD63,0.004638917603554624,1.0,-0.9953610823964454
Astrocyte,Microglia,APOE,LSR,0.004891009932619385,1.0,-0.9951089900673806
Microglia,Endothelial,CCL2,ACKR1,0.005414862785489524,1.0,-0.9945851372145105
Pericyte,Microglia,TIMP1,CD63,0.006249682581611303,1.0,-0.9937503174183887
GABAergic,GABAergic,CCL4,CCR5,0.007453960889635477,1.0,-0.9925460391103645
Astrocyte,Oligodendrocyte,TIMP1,CD63,0.008095026848548684,1.0,-0.9919049731514513
Pericyte,GABAergic,TIMP1,CD63,0.008259335897424594,1.0,-0.9917406641025754
Astrocyte,Microglia,TIMP1,CD63,0.009279076997346852,1.0,-0.9907209230026531
Pericyte,Astrocyte,TIMP1,CD63,0.010541957743724961,1.0,-0.9894580422562751
GABAergic,Endothelial,CXCL2,ACKR1,0.010728782587220063,1.0,-0.9892712174127799
Microglia,Oligodendrocyte,FN1,MAG,0.011492078858395767,1.0,-0.9885079211416042
Astrocyte,GABAergic,TIMP1,CD63,0.011883305172232086,1.0,-0.9881166948277679
Microglia,GABAergic,CCL3,CCR5,0.012684881030376537,1.0,-0.9873151189696234
Astrocyte,Astrocyte,TIMP1,CD63,0.014364263450191605,1.0,-0.9856357365498084
Microglia,GABAergic,CCL2,CCR5,0.014799943117496567,1.0,-0.9852000568825034
Microglia,Microglia,APOE,LSR,0.019252702871274834,1.0,-0.9807472971287252
GABAergic,Endothelial,CCL2,ACKR1,0.020262075019882864,1.0,-0.9797379249801171
Astrocyte,Microglia,PTN,SDC4,0.020518309414544876,1.0,-0.9794816905854551
GABAergic,GABAergic,CCL2,CCR5,0.027722510939011406,1.0,-0.9722774890609885
GABAergic,GABAergic,CCL3,CCR5,0.03331538830526934,1.0,-0.9666846116947306
Pericyte,Pericyte,TIMP1,CD63,0.035622570635755774,1.0,-0.9643774293642442
Oligodendrocyte,Oligodendrocyte,PSAP,GPR37L1,0.038696843300004696,1.0,-0.9613031566999953
GABAergic,Oligodendrocyte,PSAP,GPR37L1,0.04010196676761921,1.0,-0.9598980332323808
Microglia,Endothelial,CCL7,ACKR1,0.04010196676761921,1.0,-0.9598980332323808
Endothelial,GABAergic,PGLYRP1,TREM1,0.04045696595947797,1.0,-0.959543034040522
Astrocyte,Pericyte,TIMP1,CD63,0.041171407723477,1.0,-0.958828592276523
Pericyte,Microglia,PTN,SDC4,0.04408838657790304,1.0,-0.955911613422097
Microglia,GABAergic,CCL7,CCR1,0.04520660004314268,1.0,-0.9547933999568573
Microglia,Microglia,CCL7,CCR5,0.04595943607554016,1.0,-0.9540405639244598
Microglia,Microglia,FN1,C5AR1,0.04671813654991217,1.0,-0.9532818634500878
Microglia,GABAergic,CCL7,CCR2,0.04671813654991217,1.0,-0.9532818634500878
GABAergic,Microglia,APOE,LSR,0.04981151246977327,1.0,-0.9501884875302268
Microglia,GABAergic,CCL7,CCR5,0.050995611597869736,1.0,-0.9490043884021303
Microglia,Oligodendrocyte,PSAP,GPR37L1,0.05299819347645613,1.0,-0.9470018065235438
Oligodendrocyte,Endothelial,PSAP,GPR37L1,0.05340305401181837,1.0,-0.9465969459881817
Astrocyte,Oligodendrocyte,PTN,SDC4,0.05380937247790542,1.0,-0.9461906275220946
Microglia,Microglia,CCL7,CCR1,0.05380937247790542,1.0,-0.9461906275220946
GABAergic,Endothelial,PSAP,GPR37L1,0.054626339849678865,1.0,-0.9453736601503211
GABAergic,Astrocyte,F10,F3,0.057951943139083834,1.0,-0.9420480568609162
GABAergic,Astrocyte,CCL5,SDC4,0.06093726638800964,1.0,-0.9390627336119903
Astrocyte,GABAergic,CCL4,CCR1,0.06355186625163287,1.0,-0.9364481337483671
Astrocyte,Microglia,CCL4,CCR5,0.06399262187231751,1.0,-0.9360073781276825
GABAergic,Astrocyte,LGALS3,LAG3,0.06532340330505008,1.0,-0.93467659669495
Oligodendrocyte,Microglia,PTN,SDC4,0.0666669501596701,1.0,-0.9333330498403299
Oligodendrocyte,GABAergic,PSAP,GPR37L1,0.06802323371218172,1.0,-0.9319767662878182
GABAergic,GABAergic,PSAP,GPR37L1,0.06847814632230309,1.0,-0.9315218536776969
Astrocyte,GABAergic,CCL4,CCR5,0.07170203596964708,1.0,-0.9282979640303529
GABAergic,Endothelial,CCL7,ACKR1,0.07216821731710783,1.0,-0.9278317826828921
Microglia,Endothelial,PF4,ACKR1,0.07357516042122751,1.0,-0.9264248395787725
Microglia,Endothelial,PSAP,GPR37L1,0.07357516042122751,1.0,-0.9264248395787725
Astrocyte,Oligodendrocyte,PSAP,GPR37L1,0.0740469337453259,1.0,-0.9259530662546741
Astrocyte,Microglia,CCL4,CCR1,0.07499469660325958,1.0,-0.9250053033967405
