source,target,ligand,receptor,weight
Microglia,GABAergic,CCL4,CCR5,0.9977859915999081
Pericyte,Oligodendrocyte,TIMP1,CD63,0.9953610823964454
Astrocyte,Microglia,APOE,LSR,0.9951089900673806
Microglia,Endothelial,CCL2,ACKR1,0.9945851372145105
Pericyte,Microglia,TIMP1,CD63,0.9937503174183887
GABAergic,GABAergic,CCL4,CCR5,0.9925460391103645
Astrocyte,Oligodendrocyte,TIMP1,CD63,0.9919049731514513
Pericyte,GABAergic,TIMP1,CD63,0.9917406641025754
Astrocyte,Microglia,TIMP1,CD63,0.9907209230026531
Pericyte,Astrocyte,TIMP1,CD63,0.9894580422562751
GABAergic,Endothelial,CXCL2,ACKR1,0.9892712174127799
Microglia,Oligodendrocyte,FN1,MAG,0.9885079211416042
Astrocyte,GABAergic,TIMP1,CD63,0.9881166948277679
Microglia,GABAergic,CCL3,CCR5,0.9873151189696234
Astrocyte,Astrocyte,TIMP1,CD63,0.9856357365498084
Microglia,GABAergic,CCL2,CCR5,0.9852000568825034
Microglia,Microglia,APOE,LSR,0.9807472971287252
GABAergic,Endothelial,CCL2,ACKR1,0.9797379249801171
Astrocyte,Microglia,PTN,SDC4,0.9794816905854551
GABAergic,GABAergic,CCL2,CCR5,0.9722774890609885
GABAergic,GABAergic,CCL3,CCR5,0.9666846116947306
Pericyte,Pericyte,TIMP1,CD63,0.9643774293642442
Oligodendrocyte,Oligodendrocyte,PSAP,GPR37L1,0.9613031566999953
GABAergic,Oligodendrocyte,PSAP,GPR37L1,0.9598980332323808
Microglia,Endothelial,CCL7,ACKR1,0.9598980332323808
Endothelial,GABAergic,PGLYRP1,TREM1,0.959543034040522
Astrocyte,Pericyte,TIMP1,CD63,0.958828592276523
Pericyte,Microglia,PTN,SDC4,0.955911613422097
Microglia,GABAergic,CCL7,CCR1,0.9547933999568573
Microglia,Microglia,CCL7,CCR5,0.9540405639244598
Microglia,Microglia,FN1,C5AR1,0.9532818634500878
Microglia,GABAergic,CCL7,CCR2,0.9532818634500878
GABAergic,Microglia,APOE,LSR,0.9501884875302268
Microglia,GABAergic,CCL7,CCR5,0.9490043884021303
Microglia,Oligodendrocyte,PSAP,GPR37L1,0.9470018065235438
Oligodendrocyte,Endothelial,PSAP,GPR37L1,0.9465969459881817
Astrocyte,Oligodendrocyte,PTN,SDC4,0.9461906275220946
Microglia,Microglia,CCL7,CCR1,0.9461906275220946
GABAergic,Endothelial,PSAP,GPR37L1,0.9453736601503211
GABAergic,Astrocyte,F10,F3,0.9420480568609162
GABAergic,Astrocyte,CCL5,SDC4,0.9390627336119903
Astrocyte,GABAergic,CCL4,CCR1,0.9364481337483671
Astrocyte,Microglia,CCL4,CCR5,0.9360073781276825
GABAergic,Astrocyte,LGALS3,LAG3,0.93467659669495
Oligodendrocyte,Microglia,PTN,SDC4,0.9333330498403299
Oligodendrocyte,GABAergic,PSAP,GPR37L1,0.9319767662878182
GABAergic,GABAergic,PSAP,GPR37L1,0.9315218536776969
Astrocyte,GABAergic,CCL4,CCR5,0.9282979640303529
GABAergic,Endothelial,CCL7,ACKR1,0.9278317826828921
Microglia,Endothelial,PF4,ACKR1,0.9264248395787725
Microglia,Endothelial,PSAP,GPR37L1,0.9264248395787725
Astrocyte,Oligodendrocyte,PSAP,GPR37L1,0.9259530662546741
Astrocyte,Microglia,CCL4,CCR1,0.9250053033967405
Pericyte,Oligodendrocyte,PTN,SDC4,0.9250053033967405
GABAergic,GABAergic,CCL7,CCR1,0.9216442483677114
Microglia,GABAergic,FN1,C5AR1,0.9211585297708252
GABAergic,Microglia,CCL7,CCR5,0.9201829427772359
Oligodendrocyte,Microglia,PSAP,GPR37L1,0.9192018023694046
GABAergic,Microglia,PSAP,GPR37L1,0.9182151407023446
GABAergic,GABAergic,CCL7,CCR2,0.9172229544980277
Oligodendrocyte,Microglia,APOE,LSR,0.9157243292572869
Microglia,Microglia,TNF,VSIR,0.9147183567566185
GABAergic,Microglia,CCL5,SDC4,0.9137069015945162
GABAergic,Endothelial,CCL5,ACKR1,0.9131991100151372
Oligodendrocyte,Pericyte,PSAP,GPR37L1,0.9116675287117061
GABAergic,Pericyte,PSAP,GPR37L1,0.9106396402991771
GABAergic,GABAergic,CCL5,SDC4,0.9106396402991771
GABAergic,GABAergic,CCL5,CCR1,0.9096062911799806
GABAergic,GABAergic,CCL7,CCR5,0.9085674773149774
GABAergic,Astrocyte,THBS1,SDC4,0.9075232322490365
GABAergic,Microglia,CCL5,CCR5,0.9069990646696717
Astrocyte,Endothelial,PTN,SDC4,0.9054184323583995
GABAergic,Pericyte,CCL5,SDC4,0.904357907236061
