cell_type,condition,n_cells,ferroptosis_mean,ferroptosis_std,senescence_mean,senescence_std,consensus_mean,idsp_mean,idsp_std
Astrocyte,MCAO,2045,0.1574318638337548,0.06094261048247211,0.021516478754533313,0.02578962007631931,0.03274740418498578,-1.2017925498040098,1.5841460240221887
Astrocyte,Sham,1070,0.13789664415730787,0.04867673357318799,-0.0036716899049159687,0.01953765335620285,0.006879034514657273,-2.510734760164648,1.1914375928432102
Endothelial,MCAO,13174,0.15381548428950767,0.0489081864440403,0.038757226430946756,0.023514546054559205,0.06013392778631084,-0.47389782489304527,1.454854211422536
Endothelial,Sham,14631,0.1385491001897461,0.04366065313946149,0.01919168581026684,0.01989192905007752,0.03928403516258036,-1.3749239406728058,1.1770827219110733
Microglia,MCAO,11062,0.1580384177162672,0.05584835170184318,0.056094356554206776,0.03553528782840069,0.07155372283279442,-0.06262752215515616,1.8950942295858935
Microglia,Sham,8853,0.12380577005773198,0.04685570421917101,0.020955053373558054,0.02655289278725939,0.03940037567592724,-1.6884618048919642,1.3937932940091962
Neuron,MCAO,23,0.1674964794034028,0.06673291432447256,0.051032686553299345,0.050337511360408524,0.05089297113920625,-0.4018576815740689,1.6027159394341866
Neuron,Sham,7,0.12135644235286291,0.041052225803697155,0.027607525333752915,0.06409176231547388,0.022612904756259735,-1.691574200218058,1.9455680720155075
Oligodendrocyte,MCAO,1218,0.1663267790942706,0.05813289603209779,0.025541473746447444,0.02760603227367586,0.035669301273172506,-0.9310640395686922,1.6998379473639247
Oligodendrocyte,Sham,595,0.15997736719458613,0.04571580196719321,-0.003120876189852797,0.021202979950788927,0.004835077201748336,-2.37287943762077,1.3233000053048234
Pericyte,MCAO,2037,0.14656404104316342,0.0470552177199503,0.03557261215954271,0.023714536458024477,0.06116874612982975,-0.6964071642195415,1.4636732486464772
Pericyte,Sham,1367,0.13639529221783156,0.040212112676353697,0.013718455788472871,0.021413489091835637,0.041365712277669754,-1.6305616052762892,1.20600874713572
Unassigned,MCAO,1558,0.15719289118064678,0.061514907089659364,0.03884388939403075,0.034167884697385215,0.05610157636670561,-0.558325506079997,1.9148746801406593
Unassigned,Sham,693,0.14503577142753,0.05514686170671356,0.011980144971702775,0.03156182319835686,0.029115795903373737,-1.8052106858328054,1.6552790229206689
