cell_type,score,mcao_mean,sham_mean,log2FC,cohens_d,pvalue,n_mcao,n_sham,padj,significant
Endothelial,senescence_score,0.038757226430946756,0.01919168581026684,0.019565540620679917,0.9023075847753635,0.0,13174,14631,0.0,True
Endothelial,consensus_senescence,0.060133927786310847,0.03928403516258036,0.020849892623730486,0.907694926659273,0.0,13174,14631,0.0,True
Endothelial,idsp_index,-0.47389782489304527,-1.3749239406728058,0.9010261157797606,0.6846603340015215,0.0,13174,14631,0.0,True
Microglia,ferroptosis_score,0.15803841771626723,0.12380577005773198,0.034232647658535245,0.6577760378197698,0.0,11062,8853,0.0,True
Microglia,senescence_score,0.056094356554206776,0.02095505337355805,0.03513930318064873,1.1030478756485211,0.0,11062,8853,0.0,True
Microglia,consensus_senescence,0.07155372283279442,0.03940037567592724,0.03215334715686718,0.9989660021206207,0.0,11062,8853,0.0,True
Microglia,idsp_index,-0.06262752215515616,-1.688461804891964,1.6258342827368077,0.9616333142570539,0.0,11062,8853,0.0,True
Astrocyte,senescence_score,0.021516478754533313,-0.0036716899049159682,0.02518816865944928,1.057066935805341,5.049129242173898e-176,2045,1070,1.5147387726521697e-175,True
Endothelial,ferroptosis_score,0.15381548428950767,0.1385491001897461,0.015266384099761582,0.3302893124163833,2.699840499354421e-162,13174,14631,7.199574664945124e-162,True
Pericyte,senescence_score,0.03557261215954271,0.01371845578847287,0.02185415637106984,0.9577386245566804,1.382177888173543e-153,2037,1367,3.3172269316165033e-153,True
Astrocyte,consensus_senescence,0.03274740418498578,0.0068790345146572725,0.025868369670328503,0.9564580712568499,5.924510308652129e-153,2045,1070,1.2926204309786465e-152,True
Astrocyte,idsp_index,-1.20179254980401,-2.510734760164648,1.3089422103606378,0.895776340276061,1.740641516312133e-132,2045,1070,3.481283032624266e-132,True
Oligodendrocyte,senescence_score,0.025541473746447444,-0.003120876189852797,0.028662349936300242,1.1160308332801094,8.762603596974756e-111,1218,595,1.6177114332876474e-110,True
Oligodendrocyte,consensus_senescence,0.035669301273172506,0.004835077201748336,0.03083422407142417,1.142764502418219,1.8873403702248694e-108,1218,595,3.2354406346712043e-108,True
Pericyte,consensus_senescence,0.06116874612982975,0.041365712277669754,0.019803033852159993,0.7685575641277992,3.896269223301531e-103,2037,1367,6.234030757282449e-103,True
Pericyte,idsp_index,-0.6964071642195415,-1.6305616052762892,0.9341544410567477,0.6838284263521786,1.9026814309130714e-86,2037,1367,2.854022146369607e-86,True
Oligodendrocyte,idsp_index,-0.9310640395686922,-2.37287943762077,1.4418153980520778,0.9089650167744815,2.2264576638441355e-77,1218,595,3.1432343489564264e-77,True
Unassigned,senescence_score,0.03884388939403075,0.011980144971702777,0.026863744422327973,0.8046002190757435,1.6313949814317983e-66,1558,693,2.1751933085757312e-66,True
Unassigned,consensus_senescence,0.05610157636670561,0.029115795903373744,0.026985780463331867,0.7150673613466042,2.500241610388212e-53,1558,693,3.158199928911426e-53,True
Unassigned,idsp_index,-0.558325506079997,-1.8052106858328054,1.2468851797528084,0.6780579741899493,1.3447079209804172e-51,1558,693,1.6136495051765004e-51,True
Astrocyte,ferroptosis_score,0.1574318638337548,0.13789664415730787,0.01953521967644692,0.3425505122114251,5.2439979087528305e-22,2045,1070,5.993140467146092e-22,True
Pericyte,ferroptosis_score,0.14656404104316342,0.13639529221783156,0.010168748825331864,0.2288489733627165,1.7543107777514164e-11,2037,1367,1.913793575728818e-11,True
Unassigned,ferroptosis_score,0.15719289118064675,0.14503577142753,0.012157119753116757,0.20388277834148408,3.5124248250432755e-06,1558,693,3.665138947871244e-06,True
Oligodendrocyte,ferroptosis_score,0.1663267790942706,0.1599773671945861,0.006349411899684493,0.11677389431919509,0.01143696139390346,1218,595,0.01143696139390346,True
