gene_set,cell_type,observed_mean,null_mean,null_std,empirical_p,significant
ferroptosis,Astrocyte,0.4455,0.0381,0.3099,0.031936,True
ferroptosis,Endothelial,0.326,0.0146,0.1114,0.017964,True
ferroptosis,GABAergic,1.3243,0.0528,0.3826,0.003992,True
ferroptosis,Microglia,0.3928,0.025,0.1516,0.025948,True
ferroptosis,Oligodendrocyte,2.0786,0.0155,0.3854,0.005988,True
ferroptosis,Pericyte,0.4237,-0.0035,0.2193,0.01996,True
senescence,Astrocyte,-0.0349,0.0845,0.5885,0.732535,False
senescence,Endothelial,0.2365,0.025,0.1825,0.031936,True
senescence,GABAergic,0.5087,0.0439,0.3085,0.015968,True
senescence,Microglia,0.1767,0.0309,0.2068,0.07984,False
senescence,Oligodendrocyte,0.0024,0.0094,0.6054,0.231537,False
senescence,Pericyte,0.3179,0.0185,0.4278,0.023952,True
shared,Astrocyte,-0.3057,0.0604,1.893,0.992016,False
shared,Endothelial,-0.1123,0.026,0.5836,0.862275,False
shared,GABAergic,3.5044,0.0227,0.4959,0.007984,True
shared,Microglia,0.1444,0.0291,0.6347,0.075848,False
shared,Oligodendrocyte,-0.3642,0.0567,1.9198,0.948104,False
shared,Pericyte,-0.1284,0.057,1.3654,0.876248,False
