names,scores,logfoldchanges,pvals,pvals_adj,cell_type
SPP1,129.03676,13.0174,0.0,0.0,Endothelial
AY036118,117.64719,6.3644257,0.0,0.0,Endothelial
GM42418,116.341255,6.518159,0.0,0.0,Endothelial
CCL4,84.374794,5.8894496,0.0,0.0,Endothelial
CDKN1A,81.58756,3.8462431,0.0,0.0,Endothelial
CTLA2A,79.02478,22.030481,0.0,0.0,Endothelial
CTSB,73.85921,4.3046794,0.0,0.0,Endothelial
IGFBP7,72.742676,15.170099,0.0,0.0,Endothelial
PLAT,72.23034,3.9374506,0.0,0.0,Endothelial
GM26917,70.59656,2.7479696,0.0,0.0,Endothelial
MALAT1,66.5409,100.0261,0.0,0.0,Endothelial
TMEM252,62.7993,4.598423,0.0,0.0,Endothelial
HSPA5,61.394714,3.2097425,0.0,0.0,Endothelial
CCL12,58.745567,4.5239663,0.0,0.0,Endothelial
FTH1,58.567276,12.531968,0.0,0.0,Endothelial
FTL1,57.62078,7.9017534,0.0,0.0,Endothelial
FKBP1A,56.3695,4.447977,0.0,0.0,Endothelial
HSPA8,54.39358,4.262913,0.0,0.0,Endothelial
CD63,52.382797,3.0504754,0.0,0.0,Endothelial
MT2,49.11582,6.154178,0.0,0.0,Endothelial
MT1,48.335133,6.3950105,0.0,0.0,Endothelial
FXYD5,47.49349,2.29194,0.0,0.0,Endothelial
UCP2,45.225082,1.8764764,0.0,0.0,Endothelial
PGLYRP1,45.222584,6.67852,0.0,0.0,Endothelial
ITM2C,44.546432,2.1633587,0.0,0.0,Endothelial
CD14,44.4246,4.2374597,0.0,0.0,Endothelial
JUNB,44.370323,2.859435,0.0,0.0,Endothelial
EGR1,42.921806,1.858556,0.0,0.0,Endothelial
SLC2A1,42.73788,4.203475,0.0,0.0,Endothelial
H3F3B,42.096016,4.138004,0.0,0.0,Endothelial
SPARC,41.19914,4.815665,0.0,0.0,Endothelial
IFITM2,41.17159,3.145641,0.0,0.0,Endothelial
SAT1,41.07325,1.9702713,0.0,0.0,Endothelial
TPM3,40.844753,2.0109448,0.0,0.0,Endothelial
LGMN,40.81857,1.6833926,0.0,0.0,Endothelial
YBX1,40.71358,2.7196453,0.0,0.0,Endothelial
ARPC3,40.68135,1.6048752,0.0,0.0,Endothelial
S100A11,39.812817,2.512524,0.0,0.0,Endothelial
SOCS3,39.794617,2.4373496,0.0,0.0,Endothelial
ARPC1B,39.56695,1.834202,0.0,0.0,Endothelial
CCL3,39.387184,3.508066,0.0,0.0,Endothelial
ECSCR,39.175034,2.9488764,0.0,0.0,Endothelial
XBP1,39.077785,1.9898472,0.0,0.0,Endothelial
EIF1,38.867706,2.801813,0.0,0.0,Endothelial
ADAMTS1,38.85694,2.4639227,0.0,0.0,Endothelial
GAPDH,38.66364,2.1876585,0.0,0.0,Endothelial
SLC25A5,38.46213,1.9452507,0.0,0.0,Endothelial
EIF4A1,38.182808,2.2763033,0.0,0.0,Endothelial
LITAF,37.877052,3.1114173,0.0,0.0,Endothelial
CLIC1,37.19118,1.6645749,9.475113639843116e-303,2.456672556225113e-300,Endothelial
C1QB,37.169754,1.7293278,2.1029086708604149e-302,5.3815344622473347e-300,Endothelial
CTSZ,37.073616,1.9384454,7.479229918654792e-301,1.8894644300909315e-298,Endothelial
TPM4,37.024647,1.6679276,4.5957472667592384e-300,1.1463189859682378e-297,Endothelial
PDIA6,36.7962,1.8122537,2.1234661509549877e-296,5.2303625630710036e-294,Endothelial
ANXA2,36.56579,2.380177,1.0006999359652862e-292,2.434418794839008e-290,Endothelial
HSP90B1,36.27856,1.5981138,3.524572124642736e-288,8.469718745864038e-286,Endothelial
UBC,36.182457,2.4358265,1.1492762040839173e-286,2.696010428746856e-284,Endothelial
PKM,36.02229,1.8401967,3.746662568853939e-284,8.685645402266691e-282,Endothelial
SERPINH1,35.77465,2.0130093,2.7377552609119806e-280,6.272961327473324e-278,Endothelial
CD9,35.665142,2.0151134,1.3726000449454105e-278,3.1088602167413006e-276,Endothelial
MSN,35.60139,1.7790663,1.3332500972666615e-277,2.9854196780272235e-275,Endothelial
WBP5,35.46686,1.7648829,1.5944490203473085e-275,3.5301817916790694e-273,Endothelial
CCL2,35.360703,3.6421192,6.865317717356576e-274,1.5031231735612368e-271,Endothelial
LYZ2,35.07344,1.5447035,1.7128901457767083e-269,3.668750035057613e-267,Endothelial
