source,target,ligand_complex,receptor_complex,magnitude_rank_mcao,magnitude_rank_sham,magnitude_rank_diff
Pericyte,Microglia,TIMP1,CD63,0.0035519998422861116,1.0,-0.9964480001577138
Pericyte,Oligodendrocyte,TIMP1,CD63,0.004554126218260977,1.0,-0.995445873781739
Microglia,Endothelial,CCL2,ACKR1,0.005482605176105019,1.0,-0.994517394823895
Microglia,Astrocyte,CCL2,CCR2,0.00649554914925873,1.0,-0.9935044508507412
Microglia,Astrocyte,CCL2,CCR1,0.00692428842339421,1.0,-0.9930757115766058
Astrocyte,Endothelial,CXCL2,ACKR1,0.01401599938201905,1.0,-0.985984000617981
Pericyte,Astrocyte,TIMP1,CD63,0.021560398554700586,1.0,-0.9784396014452994
Microglia,Astrocyte,CCL2,CCR5,0.028887176500453873,1.0,-0.9711128234995461
Pericyte,Pericyte,TIMP1,CD63,0.030654366049489568,1.0,-0.9693456339505104
Astrocyte,Endothelial,CCL2,ACKR1,0.04282663429998427,1.0,-0.9571733657000158
Astrocyte,Microglia,CCL2,CCR5,0.04657894138814583,1.0,-0.9534210586118542
Astrocyte,Astrocyte,CCL2,CCR2,0.04767834691120747,1.0,-0.9523216530887926
Astrocyte,Astrocyte,CCL2,CCR1,0.04823259740923722,1.0,-0.9517674025907628
Astrocyte,Microglia,CCL2,CCR1,0.05452799763107302,1.0,-0.9454720023689269
Astrocyte,Astrocyte,CCL2,CCR5,0.07083703907018477,1.0,-0.9291629609298152
Microglia,Microglia,TNF,VSIR,0.08690272068843327,1.0,-0.9130972793115667
Microglia,Endothelial,CXCL2,ACKR1,0.09511822665235736,1.0,-0.9048817733476426
Microglia,Endothelial,TNF,FAS,0.11338478380265485,1.0,-0.8866152161973452
Pericyte,Endothelial,CCL2,ACKR1,0.1150418472135077,1.0,-0.8849581527864923
Microglia,Microglia,CXCL10,SDC4,0.13309251889171192,1.0,-0.8669074811082881
Pericyte,Microglia,CCL2,CCR5,0.13666423299571223,1.0,-0.8633357670042878
Pericyte,Astrocyte,CCL2,CCR2,0.14210089645778679,1.0,-0.8578991035422132
Pericyte,Astrocyte,CCL2,CCR1,0.14393410145247804,1.0,-0.856065898547522
Microglia,Astrocyte,TNF,VSIR,0.15515206102871998,1.0,-0.84484793897128
Pericyte,Endothelial,TIMP1,CD63,0.15705791901588304,1.0,-0.8429420809841169
Microglia,Endothelial,CXCL10,ACKR1,0.1618675065803075,1.0,-0.8381324934196925
Microglia,Astrocyte,CXCL10,SDC4,0.16283709128181656,1.0,-0.8371629087181834
Oligodendrocyte,Endothelial,CCL2,ACKR1,0.16772324192102755,1.0,-0.8322767580789725
Pericyte,Microglia,CCL2,CCR1,0.18276032197159217,1.0,-0.8172396780284078
Endothelial,Endothelial,CCL2,ACKR1,0.19414376047344922,1.0,-0.8058562395265507
Astrocyte,Microglia,TNF,VSIR,0.19624551162804804,1.0,-0.803754488371952
Microglia,Pericyte,CXCL10,SDC4,0.2026093030064376,1.0,-0.7973906969935625
Oligodendrocyte,Microglia,CCL2,CCR5,0.20906047574587047,1.0,-0.7909395242541295
