,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
XKR4,0.000106278814,0.0,0.0,0.000297399,0.0,0.0,0.004278071,0.00085829303,0.0,0.0
GM1992,0.0,0.0,0.001599684,0.0006213741,0.0002619819,0.0,0.0,0.0,0.0,0.0
RP1,0.0035333443,0.0014354473,0.00078268314,0.00036320457,0.0001756719,0.00019913823,0.0017591302,0.0,0.00054463046,0.0
SOX17,1.4411008,1.1172849,0.13683419,0.10681929,0.12348235,0.09127807,0.1515434,0.1166905,0.21291289,0.15073265
GM37323,0.00013389422,0.00022973957,0.00039816528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL15,0.29403064,0.31763944,0.2788607,0.31102937,0.2319089,0.36644828,0.36945418,0.3039412,0.29562792,0.29161885
LYPLA1,0.2663596,0.26025,0.22634655,0.21278508,0.14309052,0.16295806,0.11710246,0.10603527,0.20713736,0.22710887
GM37988,0.00046393822,0.0012553456,0.0012420055,0.0013793046,0.00024194493,0.00028963544,0.0,0.002109184,0.0,0.0
TCEA1,0.3542376,0.38127267,0.26686433,0.2956904,0.25670892,0.31779754,0.3623471,0.35778245,0.38449255,0.36909762
RGS20,0.006597405,0.013696613,0.21974438,0.1402082,0.004466315,0.009487091,0.0050653648,0.059479926,0.003038013,0.004474552
GM16041,0.00022593113,0.0005414402,0.00095041125,0.000619913,0.0008745075,0.0006018337,0.005520034,0.0007715295,0.0,0.0
ATP6V1H,0.20038438,0.22431557,0.22315228,0.23682967,0.19582051,0.25232944,0.2899294,0.326995,0.16993046,0.18157998
OPRK1,0.0,0.00010015938,0.0005421059,0.00012242241,0.0,0.00018167267,0.0,0.0,0.0,0.0
RB1CC1,0.19473425,0.19161698,0.12009908,0.12505344,0.11845675,0.09677045,0.14460239,0.16111624,0.18181852,0.21664527
4732440D04RIK,0.009585611,0.015824327,0.023490293,0.018610505,0.01240484,0.016320836,0.007442346,0.016764108,0.01156698,0.020203277
ST18,0.000992713,0.0013659961,0.0015380831,0.00339775,0.0015401826,0.0016657898,0.2118368,0.14138757,0.0017579475,0.0
PCMTD1,0.8671124,0.7705742,0.25392255,0.22243023,0.22053179,0.15431799,0.3870867,0.38196105,0.3407415,0.30656156
GM26901,0.00047663142,0.0012328308,0.0026781012,0.0013618788,0.0005736844,0.002632621,0.0048645367,0.0,0.0,0.0
SNTG1,0.00018959271,0.00022318376,0.0,0.00094363117,0.0,0.0,0.0,0.0,0.0,0.0
RRS1,0.14249574,0.1852525,0.17239995,0.20943567,0.09933184,0.2844304,0.1314392,0.26281956,0.09369943,0.12138518
