,Endothelial_Sham,Endothelial_MCAO,Astrocyte_Sham,Astrocyte_MCAO,Microglia_Sham,Microglia_MCAO,Oligodendrocyte_Sham,Oligodendrocyte_MCAO,Pericyte_Sham,Pericyte_MCAO
XKR4,6.648052120728626e-05,0.0,0.0,0.0002932551319648094,0.0,0.0,0.005535055350553505,0.0009606147934678194,0.0,0.0
GM1992,0.0,0.0,0.0021216407355021216,0.0005865102639296188,0.0002812543945999156,0.0,0.0,0.0,0.0,0.0
RP1,0.002260337721047735,0.0010470421060504076,0.0007072135785007072,0.0002932551319648094,0.0001406271972999578,0.0001368738023542294,0.0018450184501845018,0.0,0.0005906674542232723,0.0
SOX17,1.4986039090547625,1.156682372298214,0.1375530410183874,0.10879765395894507,0.09014203346927328,0.08404051464549715,0.17712177121771236,0.12584053794428418,0.2510336680448899,0.16990668740279893
GM37323,6.648052120728626e-05,0.0001495774437214868,0.0003536067892503536,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MRPL15,0.19718122590079862,0.2504674295116145,0.30551626591230646,0.3307917888563035,0.15792434256785326,0.3566931289351118,0.41697416974169615,0.3487031700288179,0.2374483165977536,0.24494556765163125
LYPLA1,0.17869964100517483,0.19504898661281023,0.2507072135785031,0.21480938416422704,0.09618900295317151,0.14946619217081863,0.12546125461254623,0.10662824207492781,0.16656822209096223,0.1827371695178839
GM37988,0.0003324026060364313,0.0008226759404681773,0.0010608203677510608,0.0013196480938416422,0.0001406271972999578,0.0002737476047084588,0.0,0.0019212295869356388,0.0,0.0
TCEA1,0.24331870761865143,0.29706080323085077,0.2867751060820384,0.3042521994134906,0.17620587821684786,0.2975636463180883,0.41881918819188074,0.3919308357348697,0.31187241582988473,0.31298600311042046
RGS20,0.005850285866241196,0.012788871438187147,0.2019094766619527,0.13739002932551417,0.0030937983405990733,0.008212428141253756,0.005535055350553505,0.07012487992315075,0.002362669816893089,0.0034992223950233276
GM16041,0.00013296104241457252,0.00037394360930371697,0.0007072135785007072,0.0004398826979472141,0.0005625087891998312,0.00041062140706268815,0.005535055350553505,0.0009606147934678194,0.0,0.0
ATP6V1H,0.1338917697114683,0.16745194824619955,0.23196605374823406,0.2363636363636413,0.13064266629166132,0.23774979468929353,0.3247232472324716,0.38328530259365934,0.13290017720023628,0.14774494556765103
OPRK1,0.0,7.47887218607434e-05,0.0003536067892503536,0.0001466275659824047,0.0,0.0001368738023542294,0.0,0.0,0.0,0.0
RB1CC1,0.12923813322695876,0.13798519183307065,0.10997171145685954,0.11187683284457574,0.07846997609337676,0.07952367916780752,0.16236162361623632,0.1642651296829969,0.14412285883047835,0.16757387247278294
4732440D04RIK,0.0059832469086557715,0.01084436466980781,0.02015558698727014,0.014956011730205297,0.008297004640697507,0.01355050643306869,0.007380073800738007,0.01633045148895293,0.008269344359125812,0.015163297045101099
ST18,0.0005983246908655763,0.0009722533841896641,0.0014144271570014145,0.0030791788856304987,0.0009843903810997047,0.0013687380235422938,0.23431734317343197,0.14409221902017272,0.0011813349084465446,0.0
PCMTD1,0.709546602845309,0.6583651185400584,0.25884016973126095,0.2146627565982445,0.1513148642947552,0.13441007391185447,0.4686346863468624,0.41690682036503296,0.29828706438275,0.2604976671850688
GM26901,0.0003324026060364313,0.0009722533841896641,0.0017680339462517681,0.0013196480938416422,0.00042188159189987344,0.002463728442376129,0.005535055350553505,0.0,0.0,0.0
SNTG1,0.00013296104241457252,0.0002243661655822302,0.0,0.0008797653958944282,0.0,0.0,0.0,0.0,0.0,0.0
