compound,gene,target_name,affinity_type,affinity_value,affinity_raw,confidence,confidence_level,source,download_date
Apigenin,AR,Androgen receptor,IC50,5200.0,5200,0.55,low,BindingDB,2026-06-21
Apigenin,CYP1B1,Cytochrome P450 1B1,IC50,25.0,25,0.9,high,BindingDB,2026-06-21
Apigenin,DPP4,Dipeptidyl peptidase 4,IC50,140.0,140,0.75,medium,BindingDB,2026-06-21
Apigenin,GSK3B,Glycogen synthase kinase-3 beta,IC50,1900.0,1900,0.55,low,BindingDB,2026-06-21
Apigenin,MAPK14,Mitogen-activated protein kinase 14,IC50,14300.0,1.43e+4,0.4,low,BindingDB,2026-06-21
Apigenin,MPO,Myeloperoxidase,IC50,3800.0,3800,0.55,low,BindingDB,2026-06-21
Apigenin,NOX4,NADPH oxidase 4,IC50,1130.0,1130,0.55,low,BindingDB,2026-06-21
Apigenin,PIM3,Serine/threonine-protein kinase pim-1,IC50,933.0,933,0.75,medium,BindingDB,2026-06-21
Apigenin,PTGS2,Prostaglandin G/H synthase 2,IC50,8000.0,8000,0.55,low,BindingDB,2026-06-21
BCP,CNR1,Cannabinoid receptor 1,KI,10000.0,>1.0e+4,0.55,low,BindingDB,2026-06-21
BCP,PPARA,Peroxisome proliferator-activated receptor alpha,EC50,9580.0,9580,0.45,low,BindingDB,2026-06-21
BCP,PTGS2,Prostaglandin G/H synthase 2,IC50,50000.0,>5.0e+4,0.4,low,BindingDB,2026-06-21
Baicalein,ALOX12,Polyunsaturated fatty acid lipoxygenase ALOX12,IC50,860.0,860,0.75,medium,BindingDB,2026-06-21
Baicalein,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15,KI,600.0,600,0.75,medium,BindingDB,2026-06-21
Baicalein,ALOX15B,Polyunsaturated fatty acid lipoxygenase ALOX15B,IC50,71000.0,7.1e+4,0.4,low,BindingDB,2026-06-21
Baicalein,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,IC50,850.0,8.5e+2,0.75,medium,BindingDB,2026-06-21
Baicalein,CDK1,Cyclin-dependent kinase 1,IC50,6530.0,6530,0.55,low,BindingDB,2026-06-21
Baicalein,CYP1B1,Cytochrome P450 1B1,KI,260.0,260,0.75,medium,BindingDB,2026-06-21
Baicalein,KDM5A,Lysine-specific histone demethylase 1A,IC50,12500.0,12500,0.4,low,BindingDB,2026-06-21
Baicalein,PLK1,Serine/threonine-protein kinase PLK1,IC50,9000.0,9000,0.55,low,BindingDB,2026-06-21
Baicalein,SNCA,Alpha-synuclein,IC50,8200.0,8200,0.55,low,BindingDB,2026-06-21
Catechin,CA9,Carbonic anhydrase 9,KI,5030.0,5030,0.55,low,BindingDB,2026-06-21
Catechin,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,IC50,100000.0,>100000,0.4,low,BindingDB,2026-06-21
Catechin,MAPK14,Mitogen-activated protein kinase 14,IC50,67600.0,6.76e+4,0.4,low,BindingDB,2026-06-21
Catechin,SNCA,Alpha-synuclein,IC50,800.0,800,0.75,medium,BindingDB,2026-06-21
Chrysin,CA9,Carbonic anhydrase 9,KI,2650.0,2650,0.55,low,BindingDB,2026-06-21
Chrysin,CYP1B1,Cytochrome P450 1B1,KI,16.0,16,0.9,high,BindingDB,2026-06-21
Chrysin,MAPK14,Mitogen-activated protein kinase 14,IC50,39900.0,3.99e+4,0.4,low,BindingDB,2026-06-21
Chrysin,NR0B1,Nuclear receptor subfamily 0 group B member 1,IC50,67635.0,>67635,0.4,low,BindingDB,2026-06-21
Chrysin,PIM3,Serine/threonine-protein kinase pim-1,IC50,15000.0,15000,0.4,low,BindingDB,2026-06-21
Chrysin,PTGS2,Prostaglandin G/H synthase 2,IC50,25500.0,25500,0.4,low,BindingDB,2026-06-21
Cinnamaldehyde,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,IC50,35000.0,35000,0.4,low,BindingDB,2026-06-21
Curcumin,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15,IC50,1200.0,1200,0.55,low,BindingDB,2026-06-21
Curcumin,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,IC50,500.0,500,0.75,medium,BindingDB,2026-06-21
Curcumin,CA9,Carbonic anhydrase 9,KI,4050.0,4050,0.55,low,BindingDB,2026-06-21
Curcumin,CISD3,CDGSH iron-sulfur domain-containing protein 1,KI,101.0,101,0.75,medium,BindingDB,2026-06-21
Curcumin,DYRK1A,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,IC50,300.0,300,0.75,medium,BindingDB,2026-06-21
Curcumin,EGFR,Epidermal growth factor receptor,IC50,8600.0,8600,0.55,low,BindingDB,2026-06-21
Curcumin,EP300,CREB-binding protein/Histone acetyltransferase p300,IC50,25000.0,25000,0.4,low,BindingDB,2026-06-21
Curcumin,GSK3B,Glycogen synthase kinase-3 beta,KD,10000.0,>10000,0.55,low,BindingDB,2026-06-21
Curcumin,GSTP1,Glutathione S-transferase P,IC50,69000.0,6.9e+4,0.4,low,BindingDB,2026-06-21
Curcumin,KDM5A,Lysine-specific histone demethylase 1A,IC50,9600.0,9600,0.55,low,BindingDB,2026-06-21
Curcumin,PTGS2,Prostaglandin G/H synthase 2,IC50,11060.0,11060,0.4,low,BindingDB,2026-06-21
Curcumin,SNCA,Alpha-synuclein,IC50,220.0,220,0.75,medium,BindingDB,2026-06-21
Curcumin,STAT3,Signal transducer and activator of transcription 3,IC50,19250.0,19250,0.4,low,BindingDB,2026-06-21
Curcumin,VDR,Vitamin D3 receptor,EC50,20000.0,20000,0.35,low,BindingDB,2026-06-21
Daidzein,ALOX12,Polyunsaturated fatty acid lipoxygenase ALOX12,IC50,100000.0,>1.00e+5,0.4,low,BindingDB,2026-06-21
Daidzein,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15,IC50,100000.0,>1.00e+5,0.4,low,BindingDB,2026-06-21
Danshensu,KDM6B,Lysine-specific demethylase 6B,KI,7110.0,7110,0.55,low,BindingDB,2026-06-21
Emodin,CYP1B1,Cytochrome P450 1B1,IC50,3730.0,3730,0.55,low,BindingDB,2026-06-21
Emodin,FTO,Alpha-ketoglutarate-dependent dioxygenase FTO,IC50,4530.0,4530,0.55,low,BindingDB,2026-06-21
Emodin,PIM3,Serine/threonine-protein kinase pim-1,IC50,2500.0,2500,0.55,low,BindingDB,2026-06-21
Epicatechin,CA9,Carbonic anhydrase 9,KI,5030.0,5030,0.55,low,BindingDB,2026-06-21
Epicatechin,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,IC50,100000.0,>100000,0.4,low,BindingDB,2026-06-21
Epicatechin,MAPK14,Mitogen-activated protein kinase 14,IC50,67600.0,6.76e+4,0.4,low,BindingDB,2026-06-21
Epicatechin,SNCA,Alpha-synuclein,IC50,800.0,800,0.75,medium,BindingDB,2026-06-21
Erastin,VDAC2,Voltage-dependent anion-selective channel protein 2,KD,100.0,100,0.9,high,BindingDB,2026-06-21
Fer-1,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15,IC50,95.0,95,0.9,high,BindingDB,2026-06-21
Ferulic acid,CA9,Carbonic anhydrase 9,IC50,9390.0,9390,0.55,low,BindingDB,2026-06-21
Ferulic acid,SNCA,Alpha-synuclein,IC50,750.0,750,0.75,medium,BindingDB,2026-06-21
Fisetin,ALOX12,Polyunsaturated fatty acid lipoxygenase ALOX12,IC50,950.0,950,0.75,medium,BindingDB,2026-06-21
Fisetin,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15,IC50,1400.0,1400,0.55,low,BindingDB,2026-06-21
Fisetin,ALOX15B,Polyunsaturated fatty acid lipoxygenase ALOX15B,IC50,100000.0,>100000,0.4,low,BindingDB,2026-06-21
Fisetin,MAPK14,Mitogen-activated protein kinase 14,IC50,2700.0,2.70e+3,0.55,low,BindingDB,2026-06-21
Fisetin,PIM3,Serine/threonine-protein kinase pim-1,IC50,850.0,850,0.75,medium,BindingDB,2026-06-21
Formononetin,CYP1B1,Cytochrome P450 1B1,KI,3700.0,3700,0.55,low,BindingDB,2026-06-21
Galangin,CYP1B1,Cytochrome P450 1B1,IC50,3.0,3.0,0.9,high,BindingDB,2026-06-21
Genistein,DPP4,Dipeptidyl peptidase 4,IC50,480.0,480,0.75,medium,BindingDB,2026-06-21
Genistein,EGFR,Epidermal growth factor receptor,IC50,600.0,600,0.75,medium,BindingDB,2026-06-21
Genistein,MAPK14,Mitogen-activated protein kinase 14,IC50,61400.0,6.14e+4,0.4,low,BindingDB,2026-06-21
Genistein,SRC,Proto-oncogene tyrosine-protein kinase Src,IC50,10000.0,>10000,0.55,low,BindingDB,2026-06-21
Genistein,STAT3,Signal transducer and activator of transcription 3,IC50,24800.0,24800,0.4,low,BindingDB,2026-06-21
Hesperetin,CYP1B1,Cytochrome P450 1B1,IC50,511.0,511,0.75,medium,BindingDB,2026-06-21
Hesperetin,DPP4,Dipeptidyl peptidase 4,IC50,280.0,280,0.75,medium,BindingDB,2026-06-21
Hesperetin,GSK3B,Glycogen synthase kinase-3 beta,IC50,26900.0,26900,0.4,low,BindingDB,2026-06-21
Hesperetin,KDM5A,Lysine-specific histone demethylase 1A,IC50,78760.0,78760,0.4,low,BindingDB,2026-06-21
Hesperetin,MAPK14,Mitogen-activated protein kinase 14,IC50,54600.0,5.46e+4,0.4,low,BindingDB,2026-06-21
Honokiol,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,IC50,4200.0,4200,0.55,low,BindingDB,2026-06-21
Honokiol,CNR1,Cannabinoid receptor 1,KI,6.5,6.5,0.9,high,BindingDB,2026-06-21
Honokiol,SIRT3,"NAD-dependent protein deacetylase sirtuin-3, mitochondrial",EC50,170.0,170,0.6,medium,BindingDB,2026-06-21
Idebenone,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,IC50,10000.0,>10000,0.55,low,BindingDB,2026-06-21
Kaempferol,AHR,Aryl hydrocarbon receptor,IC50,28.0,28,0.9,high,BindingDB,2026-06-21
Kaempferol,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,IC50,2700.0,2700,0.55,low,BindingDB,2026-06-21
Kaempferol,AR,Androgen receptor,IC50,9700.0,9700,0.55,low,BindingDB,2026-06-21
Kaempferol,CISD3,CDGSH iron-sulfur domain-containing protein 1,KI,132.0,132,0.75,medium,BindingDB,2026-06-21
Kaempferol,CYP1B1,Cytochrome P450 1B1,KI,43.0,43,0.9,high,BindingDB,2026-06-21
Kaempferol,DPP4,Dipeptidyl peptidase 4,IC50,490.0,490,0.75,medium,BindingDB,2026-06-21
Kaempferol,EGFR,Epidermal growth factor receptor,IC50,10400.0,10400,0.4,low,BindingDB,2026-06-21
Kaempferol,GSK3B,Glycogen synthase kinase-3 beta,EC50,11590.0,11590,0.35,low,BindingDB,2026-06-21
Kaempferol,MAPK14,Mitogen-activated protein kinase 14,IC50,18400.0,1.84e+4,0.4,low,BindingDB,2026-06-21
Kaempferol,MPO,Myeloperoxidase,IC50,2240.0,2240,0.55,low,BindingDB,2026-06-21
Kaempferol,NOX4,NADPH oxidase 4,IC50,1200.0,1200,0.55,low,BindingDB,2026-06-21
Kaempferol,PIM3,Serine/threonine-protein kinase pim-1,IC50,1288.0,1288,0.55,low,BindingDB,2026-06-21
Kaempferol,PPARA,Peroxisome proliferator-activated receptor alpha,EC50,15500.0,15500,0.35,low,BindingDB,2026-06-21
Kaempferol,PTGS2,Prostaglandin G/H synthase 2,IC50,100000.0,>100000,0.4,low,BindingDB,2026-06-21
Luteolin,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15,IC50,5000.0,5000,0.55,low,BindingDB,2026-06-21
Luteolin,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,IC50,1600.0,1600,0.55,low,BindingDB,2026-06-21
Luteolin,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,IC50,8200.0,8200,0.55,low,BindingDB,2026-06-21
Luteolin,CYP1B1,Cytochrome P450 1B1,KI,56.0,56,0.9,high,BindingDB,2026-06-21
Luteolin,DPP4,Dipeptidyl peptidase 4,IC50,120.0,120,0.75,medium,BindingDB,2026-06-21
Luteolin,GSK3B,Glycogen synthase kinase-3 beta,IC50,1500.0,1500,0.55,low,BindingDB,2026-06-21
Luteolin,MAPK14,Mitogen-activated protein kinase 14,IC50,18000.0,1.80e+4,0.4,low,BindingDB,2026-06-21
Luteolin,NOX4,NADPH oxidase 4,IC50,850.0,850,0.75,medium,BindingDB,2026-06-21
Luteolin,PIM3,Serine/threonine-protein kinase pim-1,IC50,1585.0,1585,0.55,low,BindingDB,2026-06-21
Luteolin,PTGS2,Prostaglandin G/H synthase 2,IC50,8730.0,8730,0.55,low,BindingDB,2026-06-21
Luteolin,SETD7,Histone-lysine N-methyltransferase SETD7,IC50,6080.0,6080,0.55,low,BindingDB,2026-06-21
Luteolin,SIRT6,NAD-dependent protein deacylase sirtuin-6,IC50,1900.0,1900,0.55,low,BindingDB,2026-06-21
Luteolin,SNCA,Alpha-synuclein,IC50,28000.0,28000,0.4,low,BindingDB,2026-06-21
ML162,GPX7,Phospholipid hydroperoxide glutathione peroxidase,EC50,28.0,28,0.8,high,BindingDB,2026-06-21
Magnolol,CNR1,Cannabinoid receptor 1,KI,3150.0,3150,0.55,low,BindingDB,2026-06-21
Melatonin,CYP1B1,Cytochrome P450 1B1,KI,14000.0,14000,0.4,low,BindingDB,2026-06-21
Melatonin,HTR2B,5-hydroxytryptamine receptor 2B,KI,5754.4,5754.40,0.55,low,BindingDB,2026-06-21
Melatonin,MPO,Myeloperoxidase,IC50,3000.0,3000,0.55,low,BindingDB,2026-06-21
Naringenin,CYP1B1,Cytochrome P450 1B1,IC50,3656.0,3656,0.55,low,BindingDB,2026-06-21
Naringenin,DPP4,Dipeptidyl peptidase 4,IC50,240.0,240,0.75,medium,BindingDB,2026-06-21
Naringenin,GSK3B,Glycogen synthase kinase-3 beta,IC50,45700.0,45700,0.4,low,BindingDB,2026-06-21
Pinocembrin,CYP1B1,Cytochrome P450 1B1,IC50,1679.0,1679,0.55,low,BindingDB,2026-06-21
Pinocembrin,PIM3,Serine/threonine-protein kinase pim-1,IC50,60200.0,60200,0.4,low,BindingDB,2026-06-21
Plumbagin,MAP3K14,Mitogen-activated protein kinase kinase kinase 14,IC50,100000.0,>100000,0.4,low,BindingDB,2026-06-21
Quercetin,ALOX12,Polyunsaturated fatty acid lipoxygenase ALOX12,IC50,440.0,440,0.75,medium,BindingDB,2026-06-21
Quercetin,ALOX15,Polyunsaturated fatty acid lipoxygenase ALOX15,IC50,2200.0,2200,0.55,low,BindingDB,2026-06-21
Quercetin,ALOX15B,Polyunsaturated fatty acid lipoxygenase ALOX15B,IC50,100000.0,>100000,0.4,low,BindingDB,2026-06-21
Quercetin,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase,IC50,790.0,790,0.75,medium,BindingDB,2026-06-21
Quercetin,AXL,Tyrosine-protein kinase receptor UFO,IC50,960.0,960,0.75,medium,BindingDB,2026-06-21
Quercetin,CA9,Carbonic anhydrase 9,KI,7000.0,7000,0.55,low,BindingDB,2026-06-21
Quercetin,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1,IC50,37900.0,37900,0.4,low,BindingDB,2026-06-21
Quercetin,CDK1,Cyclin-dependent kinase 1,IC50,450.0,450,0.75,medium,BindingDB,2026-06-21
Quercetin,CYP1B1,Cytochrome P450 1B1,KI,23.0,23,0.9,high,BindingDB,2026-06-21
Quercetin,DPP4,Dipeptidyl peptidase 4,IC50,2920.0,2920,0.55,low,BindingDB,2026-06-21
Quercetin,EGFR,Epidermal growth factor receptor,IC50,900.0,900,0.75,medium,BindingDB,2026-06-21
Quercetin,GSK3B,Glycogen synthase kinase-3 beta,IC50,2000.0,2000,0.55,low,BindingDB,2026-06-21
Quercetin,IGF1R,Insulin-like growth factor 1 receptor,IC50,300.0,300,0.75,medium,BindingDB,2026-06-21
Quercetin,KDM5A,Lysine-specific histone demethylase 1A,IC50,1260.0,1260,0.55,low,BindingDB,2026-06-21
