ligand,receptor,pathway,source
TGFB1,TGFBR1_R2,TGFb,CellChatDB
TGFB2,TGFBR1_R2,TGFb,CellChatDB
TGFB3,TGFBR1_R2,TGFb,CellChatDB
TGFB1,ACVR1B_TGFBR2,TGFb,CellChatDB
TGFB1,ACVR1C_TGFBR2,TGFb,CellChatDB
TGFB2,ACVR1B_TGFBR2,TGFb,CellChatDB
TGFB2,ACVR1C_TGFBR2,TGFb,CellChatDB
TGFB3,ACVR1B_TGFBR2,TGFb,CellChatDB
TGFB3,ACVR1C_TGFBR2,TGFb,CellChatDB
TGFB1,ACVR1_TGFBR,TGFb,CellChatDB
TGFB2,ACVR1_TGFBR,TGFb,CellChatDB
TGFB3,ACVR1_TGFBR,TGFb,CellChatDB
BMP2,BMPR1A_ACVR2A,BMP,CellChatDB
BMP2,BMPR1A_ACVR2B,BMP,CellChatDB
BMP2,BMPR1A_BMPR2,BMP,CellChatDB
BMP2,BMPR1B_ACVR2A,BMP,CellChatDB
BMP2,BMPR1B_ACVR2B,BMP,CellChatDB
BMP2,BMPR1B_BMPR2,BMP,CellChatDB
BMP4,BMPR1A_ACVR2A,BMP,CellChatDB
BMP4,BMPR1A_ACVR2B,BMP,CellChatDB
BMP4,BMPR1A_BMPR2,BMP,CellChatDB
BMP4,BMPR1B_ACVR2A,BMP,CellChatDB
BMP4,BMPR1B_ACVR2B,BMP,CellChatDB
BMP4,BMPR1B_BMPR2,BMP,CellChatDB
GDF5,BMPR1A_ACVR2A,BMP,CellChatDB
GDF5,BMPR1A_ACVR2B,BMP,CellChatDB
GDF5,BMPR1A_BMPR2,BMP,CellChatDB
GDF5,BMPR1B_ACVR2A,BMP,CellChatDB
GDF5,BMPR1B_ACVR2B,BMP,CellChatDB
GDF5,BMPR1B_BMPR2,BMP,CellChatDB
GDF6,BMPR1A_ACVR2A,BMP,CellChatDB
GDF6,BMPR1A_ACVR2B,BMP,CellChatDB
GDF6,BMPR1A_BMPR2,BMP,CellChatDB
GDF6,BMPR1B_ACVR2A,BMP,CellChatDB
GDF6,BMPR1B_ACVR2B,BMP,CellChatDB
GDF6,BMPR1B_BMPR2,BMP,CellChatDB
