celltype,gene,source,confidence,download_date
Astrocyte,LCN2,PanglaoDB_literature,0.7,2026-06-22
Astrocyte,S100A8,PanglaoDB_literature,0.7,2026-06-22
Endothelial,DPP4,PanglaoDB_literature,0.7,2026-06-22
Endothelial,IGFBP7,PanglaoDB_literature,0.7,2026-06-22
Endothelial,LIFR,PanglaoDB_literature,0.7,2026-06-22
Endothelial,LOX,PanglaoDB_literature,0.7,2026-06-22
Endothelial,NR1D1,PanglaoDB_literature,0.7,2026-06-22
Microglia,EGR1,PanglaoDB_literature,0.7,2026-06-22
Microglia,S100A8,PanglaoDB_literature,0.7,2026-06-22
Neuron,ACSL4,PanglaoDB_literature,0.7,2026-06-22
Oligodendrocyte,CDO1,PanglaoDB_literature,0.7,2026-06-22
