compound,chebi_id,chebi_name,chebi_star,smiles,inchikey,formula,exact_mass,molecular_weight,charge,match_method,source,download_date
Aloe emodin,CHEBI:2607,Aloe emodin,3.0,O=C1c2cccc(O)c2C(=O)c2c(O)cc(CO)cc21,YDQWDHRMZQUTBA-UHFFFAOYSA-N,C15H10O5,270.052823,270.24,,name_exact,ChEBI,2026-06-21
Alpha-lipoic acid,CHEBI:16494,lipoic acid,3.0,O=C(O)CCCCC1CCSS1,AGBQKNBQESQNJD-UHFFFAOYSA-N,C8H14O2S2,206.043522,206.332,,inchikey,ChEBI,2026-06-21
Apigenin,CHEBI:18388,apigenin,3.0,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,KZNIFHPLKGYRTM-UHFFFAOYSA-N,C15H10O5,270.052823,270.24,,name_exact,ChEBI,2026-06-21
Artemisinin,CHEBI:223316,(+)-artemisinin,3.0,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,BLUAFEHZUWYNDE-NNWCWBAJSA-N,C15H22O5,282.146724,282.336,,name_exact,ChEBI,2026-06-21
BCP,CHEBI:10357,(-)-beta-caryophyllene,3.0,C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C,NPNUFJAVOOONJE-GFUGXAQUSA-N,C15H24,204.187801,204.357,,inchikey,ChEBI,2026-06-21
Baicalein,CHEBI:2979,baicalein,3.0,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,FXNFHKRTJBSTCS-UHFFFAOYSA-N,C15H10O5,270.052823,270.24,,name_exact,ChEBI,2026-06-21
Borneol,CHEBI:15393,(+)-borneol,3.0,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2,DTGKSKDOIYIVQL-WEDXCCLWSA-N,C10H18O,154.135765,154.253,,name_exact,ChEBI,2026-06-21
Catechin,CHEBI:15600,(+)-catechin,3.0,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,PFTAWBLQPZVEMU-DZGCQCFKSA-N,C15H14O6,290.079038,290.271,,name_exact,ChEBI,2026-06-21
Chrysin,CHEBI:75095,chrysin,3.0,O=c1cc(-c2ccccc2)oc2cc(O)cc(O)c12,RTIXKCRFFJGDFG-UHFFFAOYSA-N,C15H10O4,254.057909,254.241,,name_exact,ChEBI,2026-06-21
Chrysophanol,CHEBI:3687,chrysophanol,3.0,Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,LQGUBLBATBMXHT-UHFFFAOYSA-N,C15H10O4,254.057909,254.241,,name_exact,ChEBI,2026-06-21
Cinnamaldehyde,CHEBI:142921,3-phenylprop-2-enal,3.0,O=CC=Cc1ccccc1,KJPRLNWUNMBNBZ-UHFFFAOYSA-N,C9H8O,132.057515,132.162,,inchikey,ChEBI,2026-06-21
Cinnamic_acid,CHEBI:27386,cinnamic acid,3.0,O=C(O)C=Cc1ccccc1,WBYWAXJHAXSJNI-UHFFFAOYSA-N,C9H8O2,148.052429,148.161,,name_exact,ChEBI,2026-06-21
Curcumin,CHEBI:3962,curcumin,3.0,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,VFLDPWHFBUODDF-FCXRPNKRSA-N,C21H20O6,368.125988,368.385,,name_exact,ChEBI,2026-06-21
DFO,CHEBI:31460,desferrioxamine B mesylate,3.0,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(=O)[O-].[H+],IDDIJAWJANBQLJ-UHFFFAOYSA-N,C26H52N6O11S,656.341477,656.8,,inchikey,ChEBI,2026-06-21
Daidzein,CHEBI:28197,daidzein,3.0,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,ZQSIJRDFPHDXIC-UHFFFAOYSA-N,C15H10O4,254.057909,254.241,,name_exact,ChEBI,2026-06-21
Danshensu,CHEBI:17807,"3-(3,4-dihydroxyphenyl)lactic acid",3.0,O=C(O)C(O)Cc1ccc(O)c(O)c1,PAFLSMZLRSPALU-UHFFFAOYSA-N,C9H10O5,198.052823,198.174,,inchikey,ChEBI,2026-06-21
Dihydroartemisinin,CHEBI:207229,dihydroartemisinin,3.0,C[C@@H]1CC[C@H]2[C@@H](C)C(O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@]32OO4,BJDCWCLMFKKGEE-HVDUHBCDSA-N,C15H24O5,284.162374,284.352,,name_exact,ChEBI,2026-06-21
Dimethyl fumarate,CHEBI:76004,dimethyl fumarate,3.0,COC(=O)/C=C/C(=O)OC,LDCRTTXIJACKKU-ONEGZZNKSA-N,C6H8O4,144.042259,144.126,,name_exact,ChEBI,2026-06-21
Edaravone,CHEBI:31530,edaravone,3.0,CC1=NN(c2ccccc2)C(=O)C1,QELUYTUMUWHWMC-UHFFFAOYSA-N,C10H10N2O,174.079313,174.203,,name_exact,ChEBI,2026-06-21
Emodin,CHEBI:42223,emodin,3.0,Cc1cc(O)c2c(c1)C(=O)c1cc(O)cc(O)c1C2=O,RHMXXJGYXNZAPX-UHFFFAOYSA-N,C15H10O5,270.052823,270.24,,name_exact,ChEBI,2026-06-21
Epicatechin,CHEBI:76125,(+)-epicatechin,3.0,Oc1cc(O)c2c(c1)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C2,PFTAWBLQPZVEMU-ZFWWWQNUSA-N,C15H14O6,290.079038,290.271,,name_exact,ChEBI,2026-06-21
Erastin,CHEBI:94287,erastin,3.0,CCOc1ccccc1-n1c(C(C)N2CCN(C(=O)COc3ccc(Cl)cc3)CC2)nc2ccccc2c1=O,BKQFRNYHFIQEKN-UHFFFAOYSA-N,C30H31ClN4O4,546.203383,547.055,,name_exact,ChEBI,2026-06-21
Eucalyptol,CHEBI:27961,"1,8-cineole",3.0,CC1(C)O[C@]2(C)CC[C@H]1CC2,WEEGYLXZBRQIMU-WAAGHKOSSA-N,C10H18O,154.135765,154.253,,inchikey,ChEBI,2026-06-21
Fer-1,CHEBI:173086,ferrostatin-1,3.0,CCOC(=O)c1ccc(NC2CCCCC2)c(N)c1,UJHBVMHOBZBWMX-UHFFFAOYSA-N,C15H22N2O2,262.168128,262.353,,inchikey,ChEBI,2026-06-21
Ferulic acid,CHEBI:193350,ferulic acid,3.0,COc1cc(C=CC(=O)O)ccc1O,KSEBMYQBYZTDHS-UHFFFAOYSA-N,C10H10O4,194.057909,194.186,,name_exact,ChEBI,2026-06-21
Fisetin,CHEBI:42567,fisetin,3.0,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)ccc12,XHEFDIBZLJXQHF-UHFFFAOYSA-N,C15H10O6,286.047738,286.239,,name_exact,ChEBI,2026-06-21
Formononetin,CHEBI:18088,formononetin,3.0,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,HKQYGTCOTHHOMP-UHFFFAOYSA-N,C16H12O4,268.073559,268.268,,name_exact,ChEBI,2026-06-21
Galangin,CHEBI:5262,galangin,3.0,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,VCCRNZQBSJXYJD-UHFFFAOYSA-N,C15H10O5,270.052823,270.24,,name_exact,ChEBI,2026-06-21
Genistein,CHEBI:28088,genistein,3.0,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,TZBJGXHYKVUXJN-UHFFFAOYSA-N,C15H10O5,270.052823,270.24,,name_exact,ChEBI,2026-06-21
Hesperetin,CHEBI:28230,hesperetin,3.0,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,AIONOLUJZLIMTK-AWEZNQCLSA-N,C16H14O6,302.079038,302.282,,name_exact,ChEBI,2026-06-21
Honokiol,,,,,,,,,,,ChEBI,2026-06-21
Huperzine A,CHEBI:78330,huperzine A,3.0,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,ZRJBHWIHUMBLCN-YQEJDHNASA-N,C15H18N2O,242.141913,242.322,,name_exact,ChEBI,2026-06-21
Hydroxytyrosol,CHEBI:68889,hydroxytyrosol,3.0,OCCc1ccc(O)c(O)c1,JUUBCHWRXWPFFH-UHFFFAOYSA-N,C8H10O3,154.062994,154.165,,name_exact,ChEBI,2026-06-21
Idebenone,CHEBI:31687,idebenone,3.0,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,JGPMMRGNQUBGND-UHFFFAOYSA-N,C19H30O5,338.209324,338.444,,name_exact,ChEBI,2026-06-21
