compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source
Aloe emodin,ADP-GLUCOSE RECEPTOR,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,ADPG-R,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,ALDEHYDE,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDEHYDE DEHYDROGENASE FAMILY 1 MEMBER A7,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDEHYDE DEHYDROGENASE PHENOBARBITAL-INDUCIBLE,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,"ALDEHYDE DEHYDROGENASE, CYTOSOLIC 1",CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDH CLASS 1,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDH-E1,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALDH1A7,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALHDII,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,ALKALINE,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,ALKALINE PHOSPHATASE 3,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,ALL-1,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,AMINE,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,AMINE OXIDASE [FLAVIN-CONTAINING] A,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,B16-F10,CHEMBL612656,CHEMBL40275,IC50,3120.0,nM,5.51,ChEMBL
Aloe emodin,C-TERMINAL CLEAVAGE PRODUCT OF 180 KDA,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,CXXC-TYPE ZINC FINGER PROTEIN 7,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,CYSTEINE METHYLTRANSFERASE KMT2A,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,CYTOSOLIC,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,DEHYDROGENASE,CHEMBL5354,CHEMBL40275,IC50,6000.0,nM,5.22,ChEMBL
Aloe emodin,DELTA,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,ER-ALPHA,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,ESR1,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,ESTRADIOL RECEPTOR,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,ESTROGEN,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,ESTROGEN RECEPTOR,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,HCT-116,CHEMBL394,CHEMBL40275,IC50,8700.0,nM,5.06,ChEMBL
Aloe emodin,HEK293,CHEMBL614818,CHEMBL40275,IC50,1000.0,nM,6.0,ChEMBL
Aloe emodin,HEPG2,CHEMBL395,CHEMBL40275,IC50,10000.0,nM,5.0,ChEMBL
Aloe emodin,HISTONE-LYSINE N-METHYLTRANSFERASE 2A,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,IAP,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,INTESTINAL ALKALINE PHOSPHATASE,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,INTESTINAL-TYPE ALKALINE PHOSPHATASE,CHEMBL3151,CHEMBL40275,IC50,2880.0,nM,5.54,ChEMBL
Aloe emodin,KMT2A,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,LYSINE N-METHYLTRANSFERASE 2A,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MAO-A,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,MAOA,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,MCF7,CHEMBL387,CHEMBL40275,IC50,4140.0,nM,5.38,ChEMBL
Aloe emodin,MEN1,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MENIN,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MLL CLEAVAGE PRODUCT C180,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MLL CLEAVAGE PRODUCT N320,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MONOAMINE OXIDASE TYPE A,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,MUS MUSCULUS,CHEMBL375,CHEMBL40275,IC50,10000.0,nM,,ChEMBL
Aloe emodin,MYELOID/LYMPHOID OR MIXED-LINEAGE LEUKEMIA,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,MYELOID/LYMPHOID OR MIXED-LINEAGE LEUKEMIA PROTEIN 1,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,N-TERMINAL CLEAVAGE PRODUCT OF 320 KDA,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,NON-PROTEIN TARGET,CHEMBL3879801,CHEMBL40275,Potency,6.0,nM,,ChEMBL
Aloe emodin,NUC1,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,NUCI,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,NUCLEAR HORMONE RECEPTOR 1,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,NUCLEAR RECEPTOR SUBFAMILY 1 GROUP C MEMBER 2,CHEMBL3979,CHEMBL40275,Potency,398.1,nM,,ChEMBL
Aloe emodin,NUCLEAR RECEPTOR SUBFAMILY 3 GROUP A MEMBER 1,CHEMBL206,CHEMBL40275,Potency,3981.1,nM,,ChEMBL
Aloe emodin,OXIDASE,CHEMBL1951,CHEMBL40275,IC50,1770.0,nM,5.75,ChEMBL
Aloe emodin,P180,CHEMBL2093861,CHEMBL40275,Potency,7079.5,nM,5.15,ChEMBL
Aloe emodin,P2RY12,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2T(AC),CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2Y PURINOCEPTOR 12,CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
Aloe emodin,P2Y(AC),CHEMBL2001,CHEMBL40275,Ki,10000.0,nM,,ChEMBL
