compound,gene,target_chembl_id,molecule_chembl_id,standard_type,standard_value,standard_units,pchembl_value,source,confidence,confidence_level
Alpha-lipoic acid,PTGS2,CHEMBL230,CHEMBL33864,IC50,0.0,nM,,ChEMBL,0.9,high
Apigenin,ABCC1,CHEMBL3004,CHEMBL28,Ki,2400.0,nM,5.62,ChEMBL,0.6,low
Apigenin,ALOX15,CHEMBL2903,CHEMBL28,Potency,5011.9,nM,5.3,ChEMBL,0.6,low
Apigenin,DPP4,CHEMBL284,CHEMBL28,IC50,140.0,nM,6.85,ChEMBL,0.8,medium
Apigenin,HIF1A,CHEMBL4261,CHEMBL28,Potency,1995.3,nM,5.7,ChEMBL,0.6,low
Apigenin,MPO,CHEMBL2439,CHEMBL28,IC50,3800.0,nM,5.42,ChEMBL,0.6,low
Apigenin,NLRP3,CHEMBL1741208,CHEMBL28,IC50,10000.0,nM,5.0,ChEMBL,0.6,low
Apigenin,NOX4,CHEMBL1250375,CHEMBL28,IC50,1130.0,nM,5.95,ChEMBL,0.6,low
Apigenin,PTGS2,CHEMBL230,CHEMBL28,IC50,8000.0,nM,5.1,ChEMBL,0.6,low
Baicalein,ALOX15,CHEMBL2741,CHEMBL8260,IC50,15.0,nM,7.82,ChEMBL,0.95,high
Baicalein,SNCA,CHEMBL6152,CHEMBL8260,IC50,8200.0,nM,5.09,ChEMBL,0.6,low
Chrysin,HIF1A,CHEMBL4261,CHEMBL117,Potency,6309.6,nM,5.2,ChEMBL,0.6,low
Chrysophanol,MAPK1,CHEMBL4040,CHEMBL41092,Potency,3162.3,nM,5.5,ChEMBL,0.6,low
Curcumin,ALOX15,CHEMBL2903,CHEMBL140,IC50,1200.0,nM,5.92,ChEMBL,0.6,low
Curcumin,DUOX1,CHEMBL4376,CHEMBL140,IC50,2.5,nM,8.6,ChEMBL,0.95,high
Curcumin,DYRK1A,CHEMBL2292,CHEMBL140,IC50,300.0,nM,6.52,ChEMBL,0.8,medium
Curcumin,GSS,CHEMBL4589,CHEMBL140,IC50,1810.0,nM,5.74,ChEMBL,0.6,low
Curcumin,HIF1A,CHEMBL4261,CHEMBL140,Potency,6309.6,nM,5.2,ChEMBL,0.6,low
Curcumin,LACTB,CHEMBL1293246,CHEMBL140,IC50,7751.0,nM,5.11,ChEMBL,0.6,low
Curcumin,MAPK1,CHEMBL4040,CHEMBL140,Potency,10000.0,nM,5.0,ChEMBL,0.6,low
Curcumin,PTGS2,CHEMBL2096674,CHEMBL140,IC50,2000.0,nM,5.7,ChEMBL,0.6,low
Curcumin,SNCA,CHEMBL6152,CHEMBL140,IC50,220.0,nM,6.66,ChEMBL,0.8,medium
Curcumin,TLR4,CHEMBL1795167,CHEMBL140,IC50,6000.0,nM,5.22,ChEMBL,0.6,low
Dimethyl fumarate,KEAP1,CHEMBL3038498,CHEMBL2107333,EC50,5110.0,nM,5.29,ChEMBL,0.6,low
Emodin,ALOX15,CHEMBL2903,CHEMBL289277,Potency,10000.0,nM,5.0,ChEMBL,0.6,low
Emodin,HIF1A,CHEMBL4261,CHEMBL289277,Potency,10000.0,nM,5.0,ChEMBL,0.6,low
Eucalyptol,MAPK1,CHEMBL4040,CHEMBL485259,Potency,31.6,nM,7.5,ChEMBL,0.95,high
Fer-1,ALOX15,CHEMBL2903,CHEMBL3633556,IC50,95.0,nM,7.02,ChEMBL,0.95,high
Ferulic acid,ALOX15,CHEMBL4358,CHEMBL32749,IC50,3975.0,nM,5.4,ChEMBL,0.6,low
Ferulic acid,SNCA,CHEMBL6152,CHEMBL32749,IC50,750.0,nM,6.12,ChEMBL,0.8,medium
Fisetin,ALOX15,CHEMBL2903,CHEMBL31574,IC50,1400.0,nM,5.85,ChEMBL,0.6,low
Fisetin,MAPK1,CHEMBL4040,CHEMBL31574,Potency,7943.3,nM,5.1,ChEMBL,0.6,low
Genistein,ALOX15,CHEMBL4358,CHEMBL44,IC50,9033.0,nM,5.04,ChEMBL,0.6,low
Genistein,DPP4,CHEMBL284,CHEMBL44,IC50,480.0,nM,6.32,ChEMBL,0.8,medium
Genistein,DUOX1,CHEMBL2897,CHEMBL44,IC50,400.0,nM,6.4,ChEMBL,0.8,medium
Genistein,HIF1A,CHEMBL4261,CHEMBL44,Potency,5011.9,nM,5.3,ChEMBL,0.6,low
Genistein,MAPK1,CHEMBL4040,CHEMBL44,Potency,1995.3,nM,5.7,ChEMBL,0.6,low
Honokiol,PTGS2,CHEMBL4102,CHEMBL16901,IC50,2100.0,nM,5.68,ChEMBL,0.6,low
Kaempferol,ABCC1,CHEMBL3004,CHEMBL150,Ki,2400.0,nM,5.62,ChEMBL,0.6,low
Kaempferol,ALOX15,CHEMBL4358,CHEMBL150,IC50,2200.0,nM,5.66,ChEMBL,0.6,low
Kaempferol,DPP4,CHEMBL284,CHEMBL150,IC50,490.0,nM,6.31,ChEMBL,0.8,medium
Kaempferol,HIF1A,CHEMBL4261,CHEMBL150,Potency,1584.9,nM,5.8,ChEMBL,0.6,low
