compound,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63
BCP,0.10523485392332077,0.4887961745262146,-0.489901602268219,0.216957226395607,-0.2207992970943451,-0.6704476475715637,-0.3246643841266632,-0.09174277633428574,0.35596781969070435,-0.3359662592411041,-0.1343359500169754,0.004145304672420025,-0.0008593127131462097,0.019195973873138428,0.46859559416770935,-0.13318225741386414,-0.17926864326000214,0.1017797440290451,-0.1898205727338791,-0.28629758954048157,-0.32133257389068604,-0.029527662321925163,0.004198610782623291,0.3014357388019562,0.7570260167121887,0.3566592037677765,0.3364666998386383,-0.04718229919672012,-0.3402339220046997,0.1998436450958252,-0.5777926445007324,-0.1653258204460144,0.15651094913482666,0.09298864006996155,0.44813603162765503,-0.1593194603919983,0.15716871619224548,0.007807549089193344,0.020881103351712227,-0.07159137725830078,0.3994043171405792,0.16699358820915222,0.00368642620742321,-0.09742826968431473,-0.5631124973297119,0.245565265417099,0.16655954718589783,-0.1900508999824524,0.3355690836906433,-0.0342094749212265,0.2847772538661957,0.046231795102357864,-0.23893927037715912,0.2724345624446869,0.12076656520366669,-0.14259964227676392,-0.18171006441116333,-0.07663513720035553,0.09066419303417206,0.03193887323141098,0.26389259099960327,-0.2727629840373993,-0.30659347772598267,0.15951982140541077
VC,0.45666369795799255,-0.14936836063861847,-0.17128702998161316,0.4143891930580139,0.3135887384414673,-0.7446744441986084,-0.01369478553533554,0.7142252326011658,0.47808533906936646,-0.09881322830915451,-0.5632681250572205,0.17675425112247467,-0.276744544506073,-0.2330819070339203,0.14793723821640015,-0.019305415451526642,-0.048853058367967606,0.2819007337093353,-0.15428337454795837,-0.15852588415145874,-0.37641918659210205,0.1138141006231308,-0.6232517957687378,0.14832055568695068,0.6866201162338257,-0.09114336222410202,-0.06765718758106232,0.38215118646621704,0.16278231143951416,-0.020082924515008926,-0.17624768614768982,0.10330337285995483,0.24629822373390198,0.09548760950565338,-0.10864518582820892,0.5167396664619446,-0.0038428474217653275,-0.03694562613964081,0.13673801720142365,-0.28859812021255493,-0.1715920865535736,-0.21096792817115784,-0.0018703807145357132,-0.15182894468307495,-0.35502326488494873,-0.15203356742858887,0.29355233907699585,-0.1450735628604889,0.10834483802318573,0.051233358681201935,0.2604329586029053,0.16961483657360077,-0.06955363601446152,-0.10710485279560089,0.04023812711238861,-0.5134193897247314,-0.3085530996322632,0.01989564672112465,-0.28241127729415894,-0.360984206199646,-0.0950927808880806,-0.06512529402971268,-0.4161185324192047,0.5796262621879578
Fer-1,-0.06656792759895325,-0.10242940485477448,-0.14505493640899658,0.03346005827188492,-0.09041067957878113,0.0347287543118,0.004016421735286713,-0.10152063518762589,-0.1701619178056717,-0.05373004823923111,0.09379835426807404,-0.1126660630106926,0.19477364420890808,0.1761300265789032,0.006911091506481171,-0.058609627187252045,0.054551348090171814,0.02756720408797264,0.04903760179877281,-0.13299821317195892,0.0010418351739645004,-0.16963689029216766,0.020858988165855408,-0.02983727492392063,0.12272490561008453,-0.01670166105031967,0.06175238639116287,-0.19066040217876434,0.04034313187003136,0.08386314660310745,-0.0773460865020752,-0.006740078330039978,-0.06195526942610741,0.09638696908950806,-0.1306263655424118,-0.0810646265745163,-0.05442414432764053,0.021531224250793457,0.025455066934227943,0.062440767884254456,0.05889007821679115,0.038734070956707,-0.11185145378112793,0.04156074672937393,0.08073572814464569,0.12169699370861053,-0.003605540841817856,0.026416659355163574,0.020457766950130463,-0.06714888662099838,-0.09149740636348724,-0.13139314949512482,-0.03702530264854431,-0.1483033299446106,-0.10059870779514313,0.03563414886593819,0.0267886221408844,0.08209192752838135,-0.024328414350748062,-0.11386410892009735,0.20634621381759644,0.13298732042312622,-0.1332620233297348,-0.054153118282556534
DFO,-0.28499680757522583,0.4371863901615143,0.1450272500514984,-1.2424213886260986,-0.09717515856027603,-1.3833658695220947,-0.4689502716064453,-0.403584361076355,0.9128023982048035,-0.5938909649848938,-0.6097624897956848,0.9990351796150208,0.14617004990577698,-0.7868138551712036,0.046976976096630096,0.41499027609825134,-0.014281634241342545,-0.3843151032924652,-1.0490801334381104,-0.27502861618995667,0.0868590846657753,-0.32122600078582764,0.34542977809906006,0.4486118257045746,0.42353782057762146,-0.323781281709671,0.8301796913146973,0.30030205845832825,1.0728431940078735,0.15272246301174164,-0.36083099246025085,1.0323083400726318,0.4771187901496887,0.16359762847423553,-0.17876404523849487,-0.092680923640728,-0.2303328961133957,0.30470964312553406,0.6679369807243347,0.5059381127357483,-1.1690505743026733,0.3825056254863739,-0.34904944896698,0.025968171656131744,0.531667947769165,0.2025289535522461,0.21361404657363892,0.39322975277900696,-0.2544248104095459,0.3952260911464691,0.17587493360042572,0.5192517042160034,-0.05520283430814743,-0.7048873901367188,0.01578018069267273,0.10595321655273438,0.2532463073730469,-0.42120465636253357,-0.7685596942901611,-0.01823117397725582,0.615513265132904,0.7116784453392029,0.09664466977119446,0.9836704134941101
Lip-1,-0.053779929876327515,0.18128688633441925,-0.026772934943437576,-0.004521330818533897,-0.12021765857934952,0.4223375618457794,-0.008879527449607849,-0.2959780693054199,-0.1215655505657196,-0.14950798451900482,0.21297124028205872,0.14674244821071625,0.012579724192619324,0.36504891514778137,0.22264054417610168,0.017315901815891266,-0.018667060881853104,0.15336547791957855,0.4009968638420105,0.09181980043649673,-0.01119348593056202,0.1080237329006195,0.25492021441459656,0.08543485403060913,-0.20674166083335876,0.08431407064199448,0.19468457996845245,-0.1508527249097824,-0.2958177626132965,0.2937343120574951,-0.21674972772598267,0.04498227685689926,0.11521880328655243,0.10431639850139618,0.13646772503852844,-0.21987313032150269,-0.04274185746908188,-0.07206249237060547,-0.1560123860836029,0.13163819909095764,0.21803244948387146,-0.15766599774360657,-0.0721445307135582,0.07441355288028717,-0.04619495943188667,-5.70639967918396e-05,-0.17063352465629578,0.13776259124279022,0.12643873691558838,-0.29559993743896484,0.20068436861038208,-0.022027604281902313,0.08583693951368332,0.10605722665786743,0.1453162431716919,0.08014009892940521,-0.0065757110714912415,0.05881892517209053,0.05415714159607887,0.24290432035923004,0.3371325731277466,-0.08307985216379166,0.03794192150235176,-0.07547515630722046
Erastin,-0.10266882181167603,0.09803049266338348,0.1628214418888092,0.03288271278142929,-0.005594855174422264,0.14255079627037048,0.0956118032336235,-0.012013353407382965,-0.003725346177816391,0.15271081030368805,0.16668391227722168,-0.006833878345787525,-0.028454065322875977,-0.11766961216926575,-0.20150458812713623,-0.05528278648853302,0.14353017508983612,0.0959048867225647,-0.000891469419002533,-0.20870205760002136,0.19611182808876038,-0.1772966980934143,0.010864786803722382,-0.040205616503953934,-0.28081780672073364,0.03304390236735344,-0.17651094496250153,-0.126113623380661,0.17909249663352966,-0.16183489561080933,0.015091834589838982,-0.12478235363960266,-0.08919218182563782,-0.13650518655776978,0.023892812430858612,-0.16925108432769775,0.30207371711730957,0.1581805795431137,0.03047882951796055,-0.0647263377904892,0.19335100054740906,0.002283446490764618,0.07791263610124588,0.053962357342243195,0.2007630467414856,0.18881502747535706,-0.045981720089912415,-0.27915823459625244,-0.15026438236236572,-0.07252531498670578,-0.06501318514347076,-0.024253372102975845,0.14154312014579773,-0.043404798954725266,0.06305073946714401,-0.025823738425970078,-0.14552214741706848,0.1424560248851776,0.0417487658560276,-0.17533427476882935,-0.07321644574403763,0.06079394370317459,0.12383419275283813,-0.009110884740948677
RSL3,-0.21529418230056763,0.04816574975848198,0.0697205439209938,0.0388045459985733,-0.012879334390163422,0.1643843650817871,-0.06359248608350754,0.08567681163549423,-0.004882048815488815,0.12137895077466965,0.04973757639527321,-0.05593721941113472,0.02762371301651001,-0.07830871641635895,-0.03695182502269745,-0.26750943064689636,0.17812588810920715,0.03206343576312065,0.05880504846572876,-0.1691475510597229,0.17552421987056732,-0.18671594560146332,0.08211100101470947,-0.10329540073871613,-0.12291628122329712,0.038395706564188004,-0.015425939112901688,-0.06977037340402603,0.1823287308216095,-0.17573748528957367,-0.11112342774868011,0.04669312387704849,0.060814160853624344,0.05324336141347885,-0.06453773379325867,-0.2206754982471466,0.15076844394207,0.0938764363527298,0.09862712770700455,-0.10761295258998871,0.16257935762405396,0.0792718306183815,-0.026990199461579323,0.11039909720420837,0.1967657506465912,0.06505760550498962,-0.07836531847715378,-0.18978528678417206,-0.04997091740369797,0.026152752339839935,-0.02005646750330925,0.03690897673368454,-0.04731226712465286,0.05856871232390404,0.10074743628501892,0.03764966502785683,-0.11873273551464081,0.2421291023492813,-0.06714057922363281,-0.09930501133203506,0.010177165269851685,0.23560497164726257,-0.044519778341054916,-0.055654995143413544
ML162,-0.11470910161733627,-0.10166514664888382,-0.060293130576610565,-0.2843543291091919,-0.01112917810678482,0.28120484948158264,-0.06900220364332199,0.025163400918245316,0.08901843428611755,0.10529644787311554,-0.19629596173763275,-0.08657418936491013,-0.10844170302152634,-0.2150648534297943,-0.12871766090393066,-0.1656019389629364,-0.11302004754543304,0.011116947047412395,0.008949629962444305,-0.11570423096418381,0.07614388316869736,-0.074859619140625,0.08151356875896454,-0.2202908992767334,-0.19730322062969208,0.14775091409683228,-0.047019194811582565,0.025956891477108,0.34131932258605957,-0.0986136943101883,-0.16041220724582672,0.1727287918329239,0.24529430270195007,-0.010956332087516785,-0.07668889313936234,0.021016061305999756,0.10625853389501572,0.06808274984359741,0.25570324063301086,0.06894351541996002,-0.07109890878200531,0.10954675823450089,-0.11444149166345596,0.2430269420146942,0.37143826484680176,0.007226027548313141,-0.10922934859991074,0.08575987815856934,-0.038623251020908356,0.022443339228630066,0.11229763925075531,0.20477214455604553,-0.07490908354520798,0.11286978423595428,0.12850609421730042,0.11409689486026764,-0.08119295537471771,-0.0764508843421936,-0.11689463257789612,0.16243435442447662,0.13821354508399963,0.29186001420021057,0.14182446897029877,-0.018817303702235222
Cinnamaldehyde,-0.09734757244586945,0.03251082822680473,-0.13496580719947815,-0.0404939129948616,0.03838421404361725,0.032305020838975906,-0.03061433881521225,0.058194421231746674,0.07096554338932037,0.017125938087701797,-0.04394736513495445,0.005875951610505581,0.010980126447975636,0.008701134473085403,-0.030510924756526947,-0.04899546504020691,-0.024127397686243057,0.05402037128806114,-0.02434524893760681,-0.07178521156311035,-0.03953631594777107,-0.044259048998355865,0.007541075348854065,-0.060469429939985275,-0.060021087527275085,0.06726845353841782,0.04960372671484947,0.03868403285741806,0.0708789974451065,-0.011849693953990936,-0.15989208221435547,0.07118682563304901,0.074007049202919,0.06156802177429199,-0.07346630096435547,0.00325717031955719,0.08290739357471466,-0.06935060024261475,0.04100392013788223,-0.004399960860610008,0.008963610976934433,-0.03685487061738968,-0.059363290667533875,0.12401893734931946,0.10083639621734619,0.006919689476490021,0.05838169902563095,-0.030912380665540695,-0.03482244163751602,-0.1307511031627655,0.06727154552936554,0.04363778233528137,-0.04511801153421402,-0.0014440007507801056,0.04661409556865692,-0.013870850205421448,-0.1344527155160904,-0.04574304819107056,-0.014662858098745346,0.014309162274003029,0.04303082451224327,0.06728903949260712,-0.05133041739463806,0.0341959074139595
Cinnamic_acid,-0.12486569583415985,0.04251423850655556,-0.13500112295150757,-0.05340635031461716,0.05168444663286209,-0.001542725134640932,-0.028925947844982147,0.06015807390213013,0.04810096696019173,0.016200635582208633,-0.033348288387060165,0.013110092841088772,0.027610410004854202,-0.003367774188518524,-0.050418075174093246,-0.05354176461696625,0.011335156857967377,0.03572411462664604,-0.025319784879684448,-0.09858214855194092,-0.0015320628881454468,-0.06867697089910507,-0.003960814327001572,-0.05666201934218407,-0.07781636714935303,0.058744944632053375,0.074726402759552,0.051866814494132996,0.11646635085344315,-0.028456974774599075,-0.1618872582912445,0.11342048645019531,0.04471035674214363,0.046218179166316986,-0.10044662654399872,-0.03557847440242767,0.07173692435026169,-0.055577684193849564,0.06601759791374207,-0.014889197424054146,-0.015167836099863052,-0.022960737347602844,-0.03957437723875046,0.1314963698387146,0.12283994257450104,-0.025858215987682343,0.04956904053688049,-0.06139760836958885,-0.039128921926021576,-0.12286827713251114,0.04228261113166809,0.059828996658325195,-0.030514845624566078,-0.017360877245664597,0.049701713025569916,-0.01124955341219902,-0.1183253675699234,-0.020400505512952805,-0.04201952740550041,-0.004642839543521404,0.013678651303052902,0.11586933583021164,-0.06679515540599823,0.048365429043769836
