compound,cid,CanonicalSMILES
BCP,5281515,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C
VC,54670067,C([C@@H]([C@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O)O
Fer-1,4063092,CCOC(=O)C1=CC(=C(C=C1)NC2CCCCC2)N
DFO,2973,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(O)=O
Lip-1,42608917,ClC1=CC(CNC(C23CCNCC2)=NC4=C(N3)C=CC=C4)=CC=C1
Erastin,11294402,CCOC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2C(C)N4CCN(CC4)C(=O)COC5=CC=C(C=C5)Cl
RSL3,25195377,COC(=O)C1CC2=C(C(N1C(=O)CCl)C3=CC=C(C=C3)C(=O)OC)NC4=CC=CC=C24
ML162,609375,COC1=C(C=C(C=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl)Cl
Cinnamaldehyde,637511,C1=CC=C(C=C1)/C=C/C=O
Cinnamic_acid,444539,C1=CC=C(C=C1)/C=C/C(=O)O
Quercetin,5280343,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
Naringenin,439246,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
Eucalyptol,2758,CC1(C2CCC(O1)(CC2)C)C
Borneol,64685,CC1(C2CCC1(C(C2)O)C)C
Baicalein,5281605,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O
Wogonin,5281703,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O
Luteolin,5280445,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O
Kaempferol,5280863,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O
Hesperetin,72281,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O
Resveratrol,445154,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O
