compound,gene,source,confidence,confidence_level,download_date
Aloe emodin,ATF3,CTD,0.65,medium,2026-06-22
Alpha-lipoic acid,GPX4,STITCH,0.848,high,2026-06-22
Alpha-lipoic acid,PTGS2,ChEMBL,0.9,high,2026-06-22
Apigenin,ABCC1,CTD|ChEMBL|STITCH,0.85,high,2026-06-22
Apigenin,ALOX15,ChEMBL|DGIdb,0.6,low,2026-06-22
Apigenin,CXCL8,CTD,0.65,medium,2026-06-22
Apigenin,DPP4,BindingDB|ChEMBL,0.8,medium,2026-06-22
Apigenin,HIF1A,CTD|ChEMBL|DGIdb,0.85,high,2026-06-22
Apigenin,HMGB1,CTD,0.65,medium,2026-06-22
Apigenin,IL1B,CTD,0.85,high,2026-06-22
Apigenin,IL6,CTD,0.85,high,2026-06-22
Apigenin,MAPK1,CTD|STITCH,0.85,high,2026-06-22
Apigenin,MAPK14,BindingDB,0.4,low,2026-06-22
Apigenin,MPO,BindingDB|ChEMBL,0.6,low,2026-06-22
Apigenin,NLRP3,CTD|ChEMBL,0.65,medium,2026-06-22
Apigenin,NOX4,BindingDB|ChEMBL|STITCH,0.6,low,2026-06-22
Apigenin,PTGS2,BindingDB|CTD|ChEMBL|STITCH,0.877,high,2026-06-22
Apigenin,TLR4,CTD,0.85,high,2026-06-22
Artemisinin,ATG3,STITCH,0.53,low,2026-06-22
Artemisinin,IL6,CTD,0.65,medium,2026-06-22
Artemisinin,PTGS2,CTD,0.65,medium,2026-06-22
BCP,ACSL4,curated,0.95,high,2026-06-22
BCP,ALOX15,curated,0.95,high,2026-06-22
BCP,CXCL8,curated,0.95,high,2026-06-22
BCP,EGR1,curated,0.95,high,2026-06-22
BCP,GPX4,curated,0.95,high,2026-06-22
BCP,HIF1A,curated,0.95,high,2026-06-22
BCP,HMOX1,curated,0.95,high,2026-06-22
BCP,IFNG,curated,0.95,high,2026-06-22
BCP,IL1B,curated,0.95,high,2026-06-22
BCP,IL6,CTD|curated,0.95,high,2026-06-22
BCP,IRF1,CTD,0.65,medium,2026-06-22
BCP,KEAP1,curated,0.95,high,2026-06-22
BCP,LPCAT3,curated,0.95,high,2026-06-22
BCP,MAPK1,curated,0.95,high,2026-06-22
BCP,MAPK14,curated,0.95,high,2026-06-22
BCP,NLRP3,curated,0.95,high,2026-06-22
BCP,NR1D1,curated,0.95,high,2026-06-22
BCP,PTGS2,BindingDB|CTD|curated,0.95,high,2026-06-22
BCP,SAT1,curated,0.95,high,2026-06-22
BCP,SOD1,CTD|curated,0.95,high,2026-06-22
BCP,STAT1,CTD,0.85,high,2026-06-22
BCP,TFRC,curated,0.95,high,2026-06-22
BCP,TLR4,curated,0.95,high,2026-06-22
BCP,ZEB1,CTD,0.65,medium,2026-06-22
Baicalein,ABCC1,CTD|STITCH,0.85,high,2026-06-22
Baicalein,ALOX15,BindingDB|CTD|ChEMBL|DGIdb|STITCH,0.95,high,2026-06-22
Baicalein,GPX4,CTD,0.65,medium,2026-06-22
Baicalein,HIF1A,CTD,0.65,medium,2026-06-22
Baicalein,HMOX1,CTD,0.65,medium,2026-06-22
Baicalein,IL1B,CTD,0.65,medium,2026-06-22
Baicalein,IL6,CTD,0.65,medium,2026-06-22
