compound,gene,source,confidence,confidence_level,download_date
BCP,ACSL4,curated,0.95,high,2026-06-21
BCP,AKT1,curated,0.95,high,2026-06-21
BCP,ALOX15,curated,0.95,high,2026-06-21
BCP,ALOX5,curated,0.95,high,2026-06-21
BCP,BCL2,curated,0.95,high,2026-06-21
BCP,CDKN1A,curated,0.95,high,2026-06-21
BCP,CXCL8,curated,0.95,high,2026-06-21
BCP,EGR1,curated,0.95,high,2026-06-21
BCP,FTH1,curated,0.95,high,2026-06-21
BCP,FTL,curated,0.95,high,2026-06-21
BCP,GCLC,curated,0.95,high,2026-06-21
BCP,GPX4,curated,0.95,high,2026-06-21
BCP,HIF1A,curated,0.95,high,2026-06-21
BCP,HMOX1,curated,0.95,high,2026-06-21
BCP,IFNG,curated,0.95,high,2026-06-21
BCP,IL1B,curated,0.95,high,2026-06-21
BCP,IL6,curated,0.95,high,2026-06-21
BCP,KEAP1,curated,0.95,high,2026-06-21
BCP,LPCAT3,curated,0.95,high,2026-06-21
BCP,MAPK1,curated,0.95,high,2026-06-21
BCP,MAPK14,curated,0.95,high,2026-06-21
BCP,MTOR,curated,0.95,high,2026-06-21
BCP,NFE2L2,curated,0.95,high,2026-06-21
BCP,NLRP3,curated,0.95,high,2026-06-21
BCP,NQO1,curated,0.95,high,2026-06-21
BCP,NR1D1,curated,0.95,high,2026-06-21
BCP,PPARA,curated,0.95,high,2026-06-21
BCP,PRDX1,curated,0.95,high,2026-06-21
BCP,PTGS2,curated,0.95,high,2026-06-21
BCP,SAT1,curated,0.95,high,2026-06-21
BCP,SIRT1,curated,0.95,high,2026-06-21
BCP,SLC40A1,curated,0.95,high,2026-06-21
BCP,SLC7A11,curated,0.95,high,2026-06-21
BCP,SOD1,curated,0.95,high,2026-06-21
BCP,SOD2,curated,0.95,high,2026-06-21
BCP,STAT3,curated,0.95,high,2026-06-21
BCP,TFRC,curated,0.95,high,2026-06-21
BCP,TIMP1,curated,0.95,high,2026-06-21
BCP,TLR4,curated,0.95,high,2026-06-21
BCP,TNF,curated,0.95,high,2026-06-21
BCP,TP53,curated,0.95,high,2026-06-21
DFO,ACSL4,curated,0.95,high,2026-06-21
DFO,AKT1,curated,0.95,high,2026-06-21
DFO,ALOX5,curated,0.95,high,2026-06-21
DFO,ATG5,curated,0.95,high,2026-06-21
DFO,ATG7,curated,0.95,high,2026-06-21
DFO,BCL2,curated,0.95,high,2026-06-21
DFO,BECN1,curated,0.95,high,2026-06-21
DFO,CDKN1A,curated,0.95,high,2026-06-21
DFO,CDKN2A,curated,0.95,high,2026-06-21
DFO,E2F1,curated,0.95,high,2026-06-21
DFO,EGLN2,curated,0.95,high,2026-06-21
DFO,FBXL5,curated,0.95,high,2026-06-21
DFO,FTH1,curated,0.95,high,2026-06-21
