compound,gene,interaction,action,source,confidence,confidence_level,download_date
Aloe emodin,ATF3,aloe emodin results in increased expression of ATF3 mRNA,increases^expression,CTD,0.65,medium,2026-06-21
Apigenin,ABCC1,Apigenin results in decreased activity of ABCC1 protein,decreases^activity,CTD,0.85,high,2026-06-21
Apigenin,CXCL8,Apigenin inhibits the reaction [Bleomycin results in increased expression of CXCL8 mRNA],increases^expression,CTD,0.65,medium,2026-06-21
Apigenin,HIF1A,Apigenin inhibits the reaction [Oxygen deficiency promotes the reaction [HIF1A protein binds to EP300 protein]],affects^binding,CTD,0.85,high,2026-06-21
Apigenin,HMGB1,Apigenin analog inhibits the reaction [Acrolein promotes the reaction [Lipopolysaccharides results in increased expression of HMGB1 protein]],increases^expression,CTD,0.65,medium,2026-06-21
Apigenin,IL1B,Apigenin inhibits the reaction [Adenosine Triphosphate results in increased cleavage of and results in increased secretion of IL1B protein],increases^cleavage,CTD,0.85,high,2026-06-21
Apigenin,IL6,Apigenin inhibits the reaction [IL1B protein results in increased secretion of IL6 protein],increases^secretion,CTD,0.85,high,2026-06-21
Apigenin,MAPK1,Apigenin results in decreased phosphorylation of MAPK1 protein,decreases^phosphorylation,CTD,0.85,high,2026-06-21
Apigenin,NLRP3,Apigenin analog inhibits the reaction [Acrolein promotes the reaction [Lipopolysaccharides results in increased expression of NLRP3 protein]],increases^expression,CTD,0.65,medium,2026-06-21
Apigenin,PTGS2,Apigenin affects the reaction [Tetradecanoylphorbol Acetate results in increased expression of PTGS2 protein],increases^expression,CTD,0.65,medium,2026-06-21
Apigenin,TLR4,TLR4 protein inhibits the reaction [Apigenin inhibits the reaction [Lipopolysaccharides results in increased phosphorylation of IKBKB protein]],increases^phosphorylation,CTD,0.85,high,2026-06-21
Artemisinin,IL6,artemisinin results in increased expression of IL6 protein,increases^expression,CTD,0.65,medium,2026-06-21
Artemisinin,PTGS2,artemisinin results in decreased expression of PTGS2 protein,decreases^expression,CTD,0.65,medium,2026-06-21
BCP,IL6,caryophyllene results in decreased expression of IL6 mRNA,decreases^expression,CTD,0.65,medium,2026-06-21
BCP,IRF1,caryophyllene inhibits the reaction [TNF protein results in increased expression of IRF1 mRNA],increases^expression,CTD,0.65,medium,2026-06-21
BCP,PTGS2,caryophyllene results in decreased expression of PTGS2 mRNA,decreases^expression,CTD,0.65,medium,2026-06-21
BCP,SOD1,[beta-thujone co-treated with linalyl acetate co-treated with sabinene co-treated with linalool co-treated with Camphor co-treated with myrcene co-treated with Eucalyptol co-treated with caryophyllene co-treated with spathulenol] results in increased expression of SOD1 mRNA,increases^expression,CTD,0.65,medium,2026-06-21
BCP,STAT1,caryophyllene inhibits the reaction [TNF protein results in increased phosphorylation of STAT1 protein],increases^phosphorylation,CTD,0.85,high,2026-06-21
BCP,ZEB1,[beta-thujone co-treated with linalyl acetate co-treated with sabinene co-treated with linalool co-treated with Camphor co-treated with myrcene co-treated with Eucalyptol co-treated with caryophyllene co-treated with spathulenol] results in increased expression of ZEB1 mRNA,increases^expression,CTD,0.65,medium,2026-06-21
Baicalein,ABCC1,baicalein results in decreased activity of ABCC1 protein,decreases^activity,CTD,0.85,high,2026-06-21
Baicalein,ALOX15,baicalein results in decreased activity of ALOX15 protein,decreases^activity,CTD,0.85,high,2026-06-21
Baicalein,GPX4,baicalein inhibits the reaction [Polymyxin B results in decreased expression of GPX4 protein],decreases^expression,CTD,0.65,medium,2026-06-21
Baicalein,HIF1A,baicalein results in decreased degradation of and results in increased expression of HIF1A protein modified form,increases^expression,CTD,0.65,medium,2026-06-21
Baicalein,HMOX1,baicalein inhibits the reaction [Polymyxin B results in decreased expression of HMOX1 protein],decreases^expression,CTD,0.65,medium,2026-06-21
Baicalein,IL1B,"baicalein inhibits the reaction [Cholesterol, LDL analog results in increased expression of IL1B protein]",increases^expression,CTD,0.65,medium,2026-06-21
Baicalein,IL6,"baicalein inhibits the reaction [Cholesterol, LDL analog results in increased expression of IL6 protein]",increases^expression,CTD,0.65,medium,2026-06-21
Baicalein,MAPK1,baicalein binds to MAPK1 protein,affects^binding,CTD,0.85,high,2026-06-21
Baicalein,PTGS2,baicalein inhibits the reaction [Tetradecanoylphorbol Acetate results in increased expression of PTGS2 protein],increases^expression,CTD,0.65,medium,2026-06-21
Baicalein,SNCA,baicalein inhibits the reaction [SNCA protein binds to SNCA protein],affects^binding,CTD,0.85,high,2026-06-21
Catechin,CXCL10,Catechin inhibits the reaction [S100B protein results in increased expression of CXCL10 mRNA],increases^expression,CTD,0.65,medium,2026-06-21
