compound,gene,interaction_type,dgidb_drug_name,dgidb_score,dgidb_sources,source,confidence,confidence_level,download_date
Apigenin,ALOX15,unknown,APIGENIN,0.011742,DTC,DGIdb,0.0117,low,2026-06-21
Apigenin,HIF1A,unknown,APIGENIN,0.013847,DTC,DGIdb,0.0138,low,2026-06-21
Baicalein,ALOX15,unknown,BAICALEIN,0.024423,DTC,DGIdb,0.0244,low,2026-06-21
Catechin,ALOX15,unknown,CATECHIN,0.023483,DTC,DGIdb,0.0235,low,2026-06-21
Chrysin,HIF1A,unknown,CHRYSIN,0.025716,DTC,DGIdb,0.0257,low,2026-06-21
Curcumin,PTGS2,unknown,CURCUMIN PYRAZOLE,0.223093,DTC,DGIdb,0.2231,low,2026-06-21
DFO,EDN1,unknown,DEFEROXAMINE,0.341201,NCI,DGIdb,0.3412,low,2026-06-21
DFO,HIF1A,unknown,DEFEROXAMINE,0.042356,NCI,DGIdb,0.0424,low,2026-06-21
Dimethyl fumarate,KEAP1,inhibitor,DIMETHYL FUMARATE,4.7458,DTC|ChEMBL,DGIdb,1.0,high,2026-06-21
Emodin,CXCL8,unknown,EMODIN,0.024486,DTC,DGIdb,0.0245,low,2026-06-21
Fisetin,ALOX15,unknown,FISETIN,0.046967,DTC,DGIdb,0.047,low,2026-06-21
Fisetin,MAPK1,unknown,FISETIN,0.022947,DTC,DGIdb,0.0229,low,2026-06-21
Hesperetin,HIF1A,unknown,HESPERETIN,0.040003,DTC,DGIdb,0.04,low,2026-06-21
Luteolin,ALOX15,unknown,LUTEOLIN,0.00954,DTC,DGIdb,0.0095,low,2026-06-21
Melatonin,IFNG,unknown,MELATONIN,0.128581,NCI,DGIdb,0.1286,low,2026-06-21
Melatonin,IL1B,unknown,MELATONIN,0.070593,NCI,DGIdb,0.0706,low,2026-06-21
N-acetylcysteine,E2F1,unknown,ACETYLCYSTEINE,0.240017,NCI,DGIdb,0.24,low,2026-06-21
Plumbagin,MAPK1,unknown,PLUMBAGIN,0.022947,DTC,DGIdb,0.0229,low,2026-06-21
Quercetin,ALOX15,unknown,QUERCETIN,0.007729,DTC,DGIdb,0.0077,low,2026-06-21
Quercetin,E2F1,unknown,QUERCETIN,0.045573,NCI,DGIdb,0.0456,low,2026-06-21
Quercetin,HIF1A,unknown,QUERCETIN,0.004557,DTC,DGIdb,0.0046,low,2026-06-21
Quercetin,PRKD1,inhibitor,QUERCETIN,0.060073,MyCancerGenome,DGIdb,0.0601,low,2026-06-21
Resveratrol,HIF1A,unknown,CIS-RESVERATROL,0.051432,DTC,DGIdb,0.0514,low,2026-06-21
Resveratrol,IL1B,unknown,RESVERATROL,0.04178,NCI,DGIdb,0.0418,low,2026-06-21
Resveratrol,MAPK14,unknown,RESVERATROL,0.023161,NCI,DGIdb,0.0232,low,2026-06-21
Resveratrol,PDE4B,unknown,RESVERATROL,0.023675,TdgClinicalTrial,DGIdb,0.0237,low,2026-06-21
Resveratrol,PRKD1,unknown,RESVERATROL,0.193706,NCI,DGIdb,0.1937,low,2026-06-21
VC,E2F1,unknown,ASCORBIC ACID,0.207707,NCI,DGIdb,0.2077,low,2026-06-21
