disease,gene,disease_name,disease_id,score,source
AD,APP,alzheimer disease,umls:C0002395,0.852707275405662,DisGeNET_curated_github_mirror
AD,PSEN2,alzheimer disease type 4,umls:C1847200,0.62,DisGeNET_curated_github_mirror
AD,PSEN1,"alzheimer disease, familial, type 3",umls:C1843013,0.510283504570094,DisGeNET_curated_github_mirror
AD,APOE,alzheimer disease,umls:C0002395,0.49,DisGeNET_curated_github_mirror
AD,MAPT,alzheimer disease,umls:C0002395,0.437135245920984,DisGeNET_curated_github_mirror
AD,ADAM10,alzheimer disease 18,umls:C3810041,0.41,DisGeNET_curated_github_mirror
CIRI,CCL2,brain ischemia,umls:C0007786,0.41,DisGeNET_curated_github_mirror
AD,ACE,alzheimer disease,umls:C0002395,0.396672257563875,DisGeNET_curated_github_mirror
CIRI,ACE,stroke,umls:C0038454,0.393756455755641,DisGeNET_curated_github_mirror
AD,IL1B,alzheimer disease,umls:C0002395,0.382807609868084,DisGeNET_curated_github_mirror
AD,BDNF,alzheimer disease,umls:C0002395,0.380715245531332,DisGeNET_curated_github_mirror
CIRI,PDE4D,stroke,umls:C0038454,0.368446131777357,DisGeNET_curated_github_mirror
CIRI,TNF,stroke,umls:C0038454,0.362422949416947,DisGeNET_curated_github_mirror
CIRI,ITGB3,stroke,umls:C0038454,0.361748492648574,DisGeNET_curated_github_mirror
AD,PLAU,alzheimer disease,umls:C0002395,0.333992713375002,DisGeNET_curated_github_mirror
CIRI,ITGA2B,stroke,umls:C0038454,0.33268214961536,DisGeNET_curated_github_mirror
CIRI,MTHFR,stroke,umls:C0038454,0.325502831515089,DisGeNET_curated_github_mirror
AD,INS,alzheimer disease,umls:C0002395,0.321976289795017,DisGeNET_curated_github_mirror
CIRI,MMP9,brain ischemia,umls:C0007786,0.319679289168154,DisGeNET_curated_github_mirror
AD,BACE1,alzheimer disease,umls:C0002395,0.31959631235228,DisGeNET_curated_github_mirror
CIRI,NOS2,stroke,umls:C0038454,0.318290730383799,DisGeNET_curated_github_mirror
CIRI,PLAT,brain ischemia,umls:C0007786,0.316951202558043,DisGeNET_curated_github_mirror
AD,IGF2,alzheimer disease,umls:C0002395,0.314634135038695,DisGeNET_curated_github_mirror
CIRI,IL18,brain ischemia,umls:C0007786,0.314634135038695,DisGeNET_curated_github_mirror
CIRI,PTGS2,brain ischemia,umls:C0007786,0.314634135038695,DisGeNET_curated_github_mirror
AD,BCL2,alzheimer disease,umls:C0002395,0.313734590369816,DisGeNET_curated_github_mirror
CIRI,CXCR3,stroke,umls:C0038454,0.310283504570094,DisGeNET_curated_github_mirror
CIRI,HIF1A,brain ischemia,umls:C0007786,0.310283504570094,DisGeNET_curated_github_mirror
CIRI,IL17A,brain ischemia,umls:C0007786,0.310283504570094,DisGeNET_curated_github_mirror
AD,BAX,alzheimer disease,umls:C0002395,0.31,DisGeNET_curated_github_mirror
CIRI,CAT,brain ischemia,umls:C0007786,0.31,DisGeNET_curated_github_mirror
CIRI,CXCL10,brain ischemia,umls:C0007786,0.31,DisGeNET_curated_github_mirror
CIRI,IL1A,heat stroke,umls:C0018843,0.31,DisGeNET_curated_github_mirror
CIRI,TNFRSF1A,brain ischemia,umls:C0007786,0.31,DisGeNET_curated_github_mirror
CIRI,F5,stroke,umls:C0038454,0.306536989384926,DisGeNET_curated_github_mirror
AD,SORL1,alzheimer disease,umls:C0002395,0.293494379870662,DisGeNET_curated_github_mirror
CIRI,F2,stroke,umls:C0038454,0.286894417941165,DisGeNET_curated_github_mirror
AD,TNF,alzheimer disease,umls:C0002395,0.285281155974215,DisGeNET_curated_github_mirror
AD,BCHE,alzheimer disease,umls:C0002395,0.279336945713237,DisGeNET_curated_github_mirror
AD,MTHFR,alzheimer disease,umls:C0002395,0.275074118195572,DisGeNET_curated_github_mirror
AD,A2M,alzheimer disease,umls:C0002395,0.266949636827457,DisGeNET_curated_github_mirror
AD,CYP46A1,alzheimer disease,umls:C0002395,0.265893613571794,DisGeNET_curated_github_mirror
AD,PRNP,alzheimer disease,umls:C0002395,0.264661533374223,DisGeNET_curated_github_mirror
AD,CST3,alzheimer disease,umls:C0002395,0.264505054787439,DisGeNET_curated_github_mirror
CIRI,IL6,stroke,umls:C0038454,0.257632824328829,DisGeNET_curated_github_mirror
AD,ESR1,alzheimer disease,umls:C0002395,0.256752858015074,DisGeNET_curated_github_mirror
AD,HFE,alzheimer disease,umls:C0002395,0.253741266834869,DisGeNET_curated_github_mirror
AD,IDE,alzheimer disease,umls:C0002395,0.251658672927017,DisGeNET_curated_github_mirror
AD,TF,alzheimer disease,umls:C0002395,0.247484099400324,DisGeNET_curated_github_mirror
AD,CLU,alzheimer disease,umls:C0002395,0.247180527937746,DisGeNET_curated_github_mirror
AD,NOS3,alzheimer disease,umls:C0002395,0.241461405577274,DisGeNET_curated_github_mirror
CIRI,IL1RN,stroke,umls:C0038454,0.239789830760186,DisGeNET_curated_github_mirror
AD,CHRNA7,alzheimer disease,umls:C0002395,0.236515290439732,DisGeNET_curated_github_mirror
AD,VEGFA,alzheimer disease,umls:C0002395,0.236387775919062,DisGeNET_curated_github_mirror
AD,PICALM,alzheimer disease,umls:C0002395,0.236289225464505,DisGeNET_curated_github_mirror
CIRI,IL1B,stroke,umls:C0038454,0.234999217134707,DisGeNET_curated_github_mirror
AD,NCSTN,alzheimer disease,umls:C0002395,0.234226698449138,DisGeNET_curated_github_mirror
AD,GSK3B,alzheimer disease,umls:C0002395,0.233093168706123,DisGeNET_curated_github_mirror
AD,TFAM,alzheimer disease,umls:C0002395,0.231626126359697,DisGeNET_curated_github_mirror
AD,CR1,alzheimer disease,umls:C0002395,0.231420616814315,DisGeNET_curated_github_mirror
AD,CHRNB2,alzheimer disease,umls:C0002395,0.229514568385731,DisGeNET_curated_github_mirror
AD,HMOX1,alzheimer disease,umls:C0002395,0.22853702869214,DisGeNET_curated_github_mirror
