compound,ferrdb_name,ferrdb_molecule,pubchem_cid,role,pmid,source,download_date
Erastin,Erastin,Erastin,11214940,inducer,22632970,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,24439385,FerrDb,2026-06-21
RSL3,"(1S,3R)-RSL3",RSL3,1750826,inducer,24439385,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,24844246,FerrDb,2026-06-21
Artemisinin,Qinghaosu,Artemisinin,68827,inducer,26407947,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,27477901,FerrDb,2026-06-21
RSL3,"(1S,3R)-RSL3",RSL3,1750826,inducer,30524291,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,30557609,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,31114026,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,31519193,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,31897145,FerrDb,2026-06-21
Artemisinin,Artemisinin,Artemisinin,103905865,inducer,33359684,FerrDb,2026-06-21
Sulforaphane,Sulforaphane,SFN,5350,inducer,33365082,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inducer,33294119,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,33149601,FerrDb,2026-06-21
resveratrol,resveratrol,resveratrol,445154,inducer,32896720,FerrDb,2026-06-21
Tanshinone IIA,Tanshinone IIA,Tan IIA,164676,inducer,32776119,FerrDb,2026-06-21
Chrysophanol,Chrysophanol,Chrysophanol,10208,inducer,32811746,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,32452511,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,32416440,FerrDb,2026-06-21
RSL3,"(1S,3R)-RSL3",RSL3,1750826,inducer,32416440,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,31114026,FerrDb,2026-06-21
Artemisinin,Artemisinin,Artemisinin,68827,inducer,31114026,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inducer,33347603,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inducer,33656766,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,34558645,FerrDb,2026-06-21
Tanshinone IIA,Tanshinone IIA,Tan IIA,164676,inducer,34661962,FerrDb,2026-06-21
Chrysin,Chrysin,Chrysin,5281607,inducer,34673014,FerrDb,2026-06-21
Dimethyl fumarate,Dimethyl fumarate,DMF,637568,inducer,33876201,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,34262021,FerrDb,2026-06-21
RSL3,"(1S,3R)-RSL3",RSL3,1750826,inducer,34987700,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,34093811,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,34129254,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,34925691,FerrDb,2026-06-21
Honokiol,Honokiol,Honokiol,72303,inducer,34249443,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,34924133,FerrDb,2026-06-21
Sulforaphane,Sulforaphane,SFN,5350,inducer,35008240,FerrDb,2026-06-21
Artemisinin,Artemisinin,ART,68827,inducer,35228063,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,35569552,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,35122867,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,35248719,FerrDb,2026-06-21
Luteolin,Luteolin,Lut,5280445,inducer,35656025,FerrDb,2026-06-21
Plumbagin,Plumbagin,Plumbagin,10205,inducer,35396498,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,35687364,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inducer,35898781,FerrDb,2026-06-21
Nobiletin,Nobiletin,Nobiletin,72344,inducer,35350242,FerrDb,2026-06-21
Honokiol,Honokiol,Honokiol,72303,inducer,35645831,FerrDb,2026-06-21
Curcumin,Curcumin,CUN,969516,inducer,35041678,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inducer,36346025,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inducer,36522794,FerrDb,2026-06-21
RSL3,RSL3,RSL3,1750826,inducer,36371529,FerrDb,2026-06-21
Shikonin,Shikonin,SHK,479503,inducer,36387145,FerrDb,2026-06-21
Ferulic Acid,Ferulic Acid,FA,445858,inducer,36267458,FerrDb,2026-06-21
Dihydroartemisinin,Dihydroartemisinin,DHA,3000518,inducer,36164395,FerrDb,2026-06-21
Resveratrol,Resveratrol,Resveratrol,445154,inducer,37715395,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,37140570,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inducer,37272092,FerrDb,2026-06-21
Luteolin,Luteolin,Luteolin,5280445,inducer,37717793,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,37128782,FerrDb,2026-06-21
RSL3,"(1S,3R)-RSL3",RSL3,1750826,inducer,37128782,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,37501360,FerrDb,2026-06-21
RSL3,RSL3,RSL3,1750826,inducer,37501360,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,37810027,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,38047088,FerrDb,2026-06-21
RSL3,RSL3,RSL3,1750826,inducer,38047088,FerrDb,2026-06-21
RSL3,RSL3,RSL3,1750826,inducer,38058844,FerrDb,2026-06-21
RSL3,RSL3,RSL3,1750826,inducer,38084209,FerrDb,2026-06-21
RSL3,RSL3,RSL3,1750826,inducer,37530646,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,37548549,FerrDb,2026-06-21
Erastin,Erastin,Erastin,11214940,inducer,37175412,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,22632970,FerrDb,2026-06-21
DFO,Deferoxamine,DFO,2973,inhibitor,22632970,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,24592866,FerrDb,2026-06-21
Baicalein,Baicalein,Baicalein,5281605,inhibitor,27037021,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,28386601,FerrDb,2026-06-21
Lip-1,Liproxstatin-1,Lip-1,135735917,inhibitor,28386601,FerrDb,2026-06-21
Lip-1,Liproxstatin-1,Lip-1,135735917,inhibitor,28489094,FerrDb,2026-06-21
alpha-Lipoic acid,alpha-Lipoic acid,LA,864,inhibitor,29126071,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inhibitor,30736288,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inhibitor,31034781,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inhibitor,31224575,FerrDb,2026-06-21
Baicalein,Baicalein,Baicalein,5281605,inhibitor,31231224,FerrDb,2026-06-21
Kaempferol,Kaempferol,Kaempferol,5280863,inhibitor,31299294,FerrDb,2026-06-21
Edaravone,Edaravone,Edaravone,4021,inhibitor,31479686,FerrDb,2026-06-21
Melatonin,Melatonin,Melatonin,896,inhibitor,33343809,FerrDb,2026-06-21
Melatonin,Melatonin,Melatonin,896,inhibitor,33206394,FerrDb,2026-06-21
galangin,galangin,galangin,5281616,inhibitor,33127512,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inhibitor,32992479,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inhibitor,33364059,FerrDb,2026-06-21
Lip-1,Liproxstatin-1,Lip-1,135735917,inhibitor,32690135,FerrDb,2026-06-21
Melatonin,Melatonin,Melatonin,896,inhibitor,32679060,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,32593899,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,32419644,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,32416440,FerrDb,2026-06-21
Apigenin,Apigenin,Apigenin,5280443,inhibitor,32327603,FerrDb,2026-06-21
Lip-1,Liproxstatin-1,Lip-1,135735917,inhibitor,32219613,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inhibitor,32131401,FerrDb,2026-06-21
Fer-1,ferrostatin-1,Fer-1,4068248,inhibitor,32161620,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,31901729,FerrDb,2026-06-21
Baicalein,Baicalein,Baicalein,5281605,inhibitor,34015760,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,33631670,FerrDb,2026-06-21
DFO,Deferoxamine,DFO,2973,inhibitor,34175430,FerrDb,2026-06-21
Kaempferol,Kaempferol,Kaempferol,5280863,inhibitor,34206421,FerrDb,2026-06-21
Melatonin,Melatonin,Melatonin,896,inhibitor,34883251,FerrDb,2026-06-21
Dimethyl fumarate,Dimethyl fumarate,DMF,637568,inhibitor,33931960,FerrDb,2026-06-21
Resveratrol,Resveratrol,Res,445154,inhibitor,34530090,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,34388454,FerrDb,2026-06-21
Melatonin,Melatonin,Melatonin,896,inhibitor,34364124,FerrDb,2026-06-21
Tanshinone IIA,Tanshinone IIA,TSA,164676,inhibitor,34454174,FerrDb,2026-06-21
Lip-1,Liproxstatin-1,Lip-1,135735917,inhibitor,32985488,FerrDb,2026-06-21
Naringenin,Naringenin,NAR,932,inhibitor,34699317,FerrDb,2026-06-21
Resveratrol,Resveratrol,RSV,445154,inhibitor,34813903,FerrDb,2026-06-21
Melatonin,Melatonin,Melatonin,896,inhibitor,34335271,FerrDb,2026-06-21
Ferulic acid,Ferulic acid,FA,445858,inhibitor,34935700,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inhibitor,34787501,FerrDb,2026-06-21
Dimethyl fumarate,Dimethyl fumarate,DMF,637568,inhibitor,34153667,FerrDb,2026-06-21
Lip-1,Liproxstatin-1,Lip-1,135735917,inhibitor,34511597,FerrDb,2026-06-21
DFO,Deferoxamine,DFO,2973,inhibitor,34618729,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,34787054,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,34952157,FerrDb,2026-06-21
N-acetylcysteine,N-acetylcysteine,N-acetylcysteine,12035,inhibitor,34850077,FerrDb,2026-06-21
Tangeretin,Tangeretin,Tangeretin,68077,inhibitor,34570416,FerrDb,2026-06-21
Chrysophanol,Chrysophanol,Chrysophanol,10208,inhibitor,34572468,FerrDb,2026-06-21
Baicalein,Baicalein,Baicalein,5281605,inhibitor,34207230,FerrDb,2026-06-21
Melatonin,Melatonin,Mel,896,inhibitor,35093381,FerrDb,2026-06-21
N-acetylcysteine,N-acetylcysteine,N-acetylcysteine,12035,inhibitor,35623314,FerrDb,2026-06-21
Apigenin,Apigenin,APG,5280443,inhibitor,35500696,FerrDb,2026-06-21
Melatonin,Melatonin,MT,896,inhibitor,35979396,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,35910848,FerrDb,2026-06-21
Resveratrol,Resveratrol,Resveratrol,445154,inhibitor,35357412,FerrDb,2026-06-21
N-acetylcysteine,N-acetylcysteine,NAC,12035,inhibitor,35660452,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,35703358,FerrDb,2026-06-21
Baicalein,Baicalein,Baicalein,5281605,inhibitor,35110539,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inhibitor,35909950,FerrDb,2026-06-21
Melatonin,Melatonin,Melatonin,896,inhibitor,35752374,FerrDb,2026-06-21
DFO,Deferoxamine,DFO,2973,inhibitor,35772596,FerrDb,2026-06-21
Edaravone,Edaravone,EDA,4021,inhibitor,35772596,FerrDb,2026-06-21
DFO,Deferoxamine,DFO,2973,inhibitor,35313783,FerrDb,2026-06-21
BCP,β-Caryophyllene,BCP,134971569,inhibitor,35550220,FerrDb,2026-06-21
Resveratrol,Resveratrol,Resveratrol,445154,inhibitor,35532075,FerrDb,2026-06-21
Sulforaphane,Sulforaphane,SFN,5350,inhibitor,35256941,FerrDb,2026-06-21
Quercetin,Quercetin,Que,5280343,inhibitor,35496312,FerrDb,2026-06-21
Resveratrol,Resveratrol,Res,445154,inhibitor,35685642,FerrDb,2026-06-21
Fisetin,Fisetin,Fisetin,5281614,inhibitor,35273493,FerrDb,2026-06-21
Salidroside,Salidroside,Salidroside,159278,inhibitor,35180677,FerrDb,2026-06-21
Catechin,Catechin,Catechin,9064,inhibitor,35681322,FerrDb,2026-06-21
Edaravone,Edaravone,Edaravone,4021,inhibitor,35903552,FerrDb,2026-06-21
Nobiletin,Nobiletin,Nob,72344,inhibitor,35327397,FerrDb,2026-06-21
Edaravone,Edaravone,EDA,4021,inhibitor,35130906,FerrDb,2026-06-21
Quercetin,Quercetin,QCT,5280343,inhibitor,36437694,FerrDb,2026-06-21
Baicalein,Baicalein,Baicalein,5281605,inhibitor,36427096,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inhibitor,36898256,FerrDb,2026-06-21
Dimethyl fumarate,Dimethyl fumarate,DMF,637568,inhibitor,36482709,FerrDb,2026-06-21
Resveratrol,Resveratrol,Resveratrol,445154,inhibitor,36167314,FerrDb,2026-06-21
Baicalein,Baicalein,BAI,5281605,inhibitor,36513286,FerrDb,2026-06-21
Luteolin,Luteolin,Lut,5280445,inhibitor,36513286,FerrDb,2026-06-21
Formononetin,Formononetin,FN,5280378,inhibitor,36586573,FerrDb,2026-06-21
Resveratrol,Resveratrol,Resveratrol,445154,inhibitor,36584933,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inhibitor,36584933,FerrDb,2026-06-21
Resveratrol,Resveratrol,Res,445154,inhibitor,36442718,FerrDb,2026-06-21
Edaravone,Edaravone,EDA,4021,inhibitor,36333599,FerrDb,2026-06-21
Quercetin,Quercetin,QCT,5280343,inhibitor,36417973,FerrDb,2026-06-21
Danshensu,Danshensu,Dan,11600642,inhibitor,36655094,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,36502924,FerrDb,2026-06-21
Melatonin,Melatonin,MT,896,inhibitor,36463827,FerrDb,2026-06-21
Sulforaphane,Sulforaphane,SFN,5350,inhibitor,36410674,FerrDb,2026-06-21
BCP,β-Caryophyllene,BCP,5281515,inhibitor,36555694,FerrDb,2026-06-21
Naringenin,Naringenin,Naringenin,439246,inhibitor,36306867,FerrDb,2026-06-21
Ferulic acid,Ferulic acid,FA,445858,inhibitor,36555529,FerrDb,2026-06-21
Baicalein,Baicalein,Baicalein,5281605,inhibitor,36547083,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,36531206,FerrDb,2026-06-21
Ferulic acid,Ferulic acid,FA,445858,inhibitor,36433644,FerrDb,2026-06-21
Salidroside,Salidroside,SAL,159278,inhibitor,36432138,FerrDb,2026-06-21
Galangin,Galangin,Galangin,5281616,inhibitor,36183339,FerrDb,2026-06-21
Melatonin,Melatonin,MEL,896,inhibitor,36067654,FerrDb,2026-06-21
Melatonin,Melatonin,Melatonin,896,inhibitor,36166594,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inhibitor,36087883,FerrDb,2026-06-21
Baicalein,Baicalein,Baicalein,5281605,inhibitor,36055377,FerrDb,2026-06-21
Quercetin,Quercetin,Quercetin,5280343,inhibitor,35900382,FerrDb,2026-06-21
Alpha-Lipoic Acid,Alpha-Lipoic Acid,α-LA,864,inhibitor,36142894,FerrDb,2026-06-21
Quercetin,Quercetin,QCT,5280343,inhibitor,36105483,FerrDb,2026-06-21
Melatonin,Melatonin,MT,896,inhibitor,36035224,FerrDb,2026-06-21
Schisandrin B,Schisandrin B,SchB,108130,inhibitor,36060128,FerrDb,2026-06-21
Salidroside,Salidroside,Salidroside,159278,inhibitor,35787281,FerrDb,2026-06-21
Fisetin,Fisetin,Fisetin,5281614,inhibitor,38145645,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,37244447,FerrDb,2026-06-21
Salidroside,Salidroside,Sal,159278,inhibitor,36907990,FerrDb,2026-06-21
Quercetin,Quercetin,QRC,5280343,inhibitor,38123006,FerrDb,2026-06-21
Nobiletin,Nobiletin,Nobiletin,72344,inhibitor,37695738,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,37648051,FerrDb,2026-06-21
Fer-1,Ferrostatin-1,Fer-1,4068248,inhibitor,37738327,FerrDb,2026-06-21
Melatonin,Melatonin,Melatonin,896,inhibitor,37100272,FerrDb,2026-06-21
Curcumin,Curcumin,Curcumin,969516,inhibitor,37372983,FerrDb,2026-06-21
Resveratrol,Resveratrol,Resveratrol,445154,inhibitor,37432277,FerrDb,2026-06-21
Sulforaphane,Sulforaphane,SFN,5350,inhibitor,37620223,FerrDb,2026-06-21
N-acetylcysteine,N-acetylcysteine,NAC,12035,inhibitor,37812881,FerrDb,2026-06-21
