gene,categories,max_confidence,confidence_levels,experiment_count,organisms,pmids,hgnc_ids,ensg_ids,uniprot_ids,pathway_notes,row_count
A2M-AS1,driver,1.0,Validated,0,Human,35920801,HGNC:27057,ENSG00000245105,,A2M-AS1 :+: Ferroptosis,1
AADAC,suppressor,1.0,Validated,0,"Human, mice",36163032,HGNC:17,ENSG00000114771,P22760,"AADAC :+: SLC7A11, SLC7A11 :-: Ferroptosis",1
ABCB6,suppressor,1.0,Validated,0,"Human, mice",37044150,HGNC:47,ENSG00000115657,Q9NP58,"ABCB6 :+: (PI3K/AKT), (PI3K/AKT) :-: Ferroptosis",1
ABCC1,driver|marker,1.0,Deduced|Validated,0,Human|Mice,30726737|35505093|35803910,HGNC:51,ENSG00000103222,P33527,"ABCC1 :+: MRP1, MRP1 :+: Ferroptosis|ABCC1 :-: GSH, GSH :-: Ferroptosis",3
ABCC5,suppressor,1.0,Validated,0,Human,34768109,HGNC:56,ENSG00000114770,O15440,"ABCC5 :+: SLC7A11, SLC7A11 :-: Ferroptosis",1
ABHD12,suppressor,1.0,Validated,0,"Human|Human, mice",32195565|38053637,HGNC:15868,ENSG00000100997,Q8N2K0,ABHD12 :-: Ferroptosis,2
AC005332.7,suppressor,1.0,Validated,0,"Human, mice",36914604,,,,"AC005332.7 :-: miR-331-3p, miR-331-3p :-: CCND2, CCND2 :-: Ferroptosis",1
ACADM,suppressor,1.0,Validated,0,"Human, mice",37612627,HGNC:89,ENSG00000117054,P11310,"ACADM :+: GPX4, GPX4 :-: Ferroptosis",1
ACAT2,suppressor,1.0,Validated,0,Human,37244629,HGNC:94,ENSG00000120437,Q9BWD1,"ACAT2 :+: GPX4, GPX4 :-: Ferroptosis",1
ACO1,driver|marker,1.0,Deduced|Screened|Validated,0,Human|Mice,27514700|34386079|35121990|35505093,HGNC:117,ENSG00000122729,P21399,"ACO1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis|ACO1 :+: Mfrn1, Mfrn1 :+: Ferroptosis|ACO1 :+: TFRC, TFRC :+: Ferroptosis, ACO1 :-: FPN, FPN :-: Ferroptosis, ACO1 :-: FTH1, FTH1 :-: Ferroptosis",4
ACOT1,suppressor,1.0,Validated,0,Mice,32934217,HGNC:33128,ENSG00000184227,Q86TX2,ACOT1 :-: Ferroptosis,1
ACOT7,suppressor,1.0,Validated,0,Human,37003979,HGNC:24157,ENSG00000097021,O00154,ACOT7 :-: Ferroptosis,1
ACSF2,driver|marker|unclassified,1.0,Deduced|Validated,0,Human|Mice|Rat,22632970|30539824|35505093|35919817,HGNC:26101,ENSG00000167107,Q96CM8,ACSF2 :+: Ferroptosis|ACSF2 :?: Ferroptosis,4
ACSL1,driver|suppressor,1.0,Validated,0,Human,33854057|36882396,HGNC:3569|HGNC:3569 ,ENSG00000151726,P33121,"ACSL1 :+: FSP1, FSP1 :-: Ferroptosis, ACSL1 :+: SLC7A11, SLC7A11 :-: Ferroptosis|ACSL1 :+: αESA, αESA :+: Ferroptosis",2
ACSL3,driver|marker|suppressor,1.0,Deduced|Validated,0,"Human|Human, mice|Mice",30686757|35505093|36192773,HGNC:3570,ENSG0000012398|ENSG00000123983,O95573,ACSL3 :+: Ferroptosis|ACSL3 :-: Ferroptosis,3
ACSL4,driver|marker,1.0,Deduced|Predicted|Screened|Validated,0,"Human|Human, mice|Mice|Mice, Human|Miice|Rat|Zebrafish",25965523|27565726|27842066|27842070|28551825|30737476|30962574|31789401|32541921|32593899|32939090|33070393|33444733|33889074|34053456|34734006|35444645|35505093|35697672|35721711|35868067|35869042|35978430|36483736|36495698|36581060|36919939|37300304|37428466|37451020|37670055|37691145|37884942|37893066,HGNC:3571,ENSG00000068366,O60488,"ACSL4  :+: Ferroptosis|ACSL4 :+: 5-HETE, 5-HETE :+: Ferroptosis|ACSL4 :+: Ferroptosis|ACSL4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis|ACSL4 :+: PE, PE :+: Ferroptosis|ACSL4 :+: iron uptake, iron uptake :+: Ferroptosis, ACSL4 :+: Lipid ROS, Lpid ROS :+: Ferroptosis, ACSL4 :-: iron chelation, iron chelation :-: Ferroptosis|ACSL4 :-: (AMPK/mTOR), (AMPK/mTOR) :-: Ferroptosis|ACSL4 :-: GPX4, GPX4 :-: Ferroptosis|ACSL4 :-: GPX4, GPX4 :-: Ferroptosis, ACSL4 :+: 5-HETE, 5-HETE :+: Ferroptosis, ACSL4 :+: 12-HETE, 12-HETE :+: Ferroptosis, ACSL4 :+: 15-HETE, 15-HETE :+: Ferroptosis|ACSL4 :+: Ferroptosis",35
ACTL6A,suppressor,1.0,Validated,0,"Human, mice",37443154,HGNC:24124,ENSG00000136518,O96019,ACTL6A :-: Ferroptosis,1
ACVR1B,driver,1.0,Validated,0,Human,30804470,HGNC:172,ENSG00000135503,P36896,"ACVR1B :-: NFE2L2, NFE2L2 :-: Ferroptosis ",1
ADAM23,driver,1.0,Validated,0,Human,35003396,HGNC:202,ENSG00000114948,O75077,"ADAM23 :-: GPX4, GPX4 :-: Ferroptosis, ADAM23 :-: SLC7A11, SLC7A11 :-: Ferroptosis, ADAM23 :-: SLC3A2, SLC3A2 :-: Ferroptosis",1
ADAMTS13,suppressor,1.0,Validated,0,Mice,34666603,HGNC:1366,ENSG00000160323,Q76LX8,"ADAMTS13 :+: NRF2, NRF2 :-: Ferroptosis",1
ADAMTS9-AS1,suppressor,1.0,Validated,0,Human,35311457,HGNC:40625,ENSG00000241158,,"ADAMTS9-AS1 :-: microRNA-587, microRNA-587 :-: SLC7A11, SLC7A11 :-: Ferroptosis",1
ADGRF5,driver,1.0,Validated,0,Mice,37266730,HGNC:19030,ENSG00000069122,Q8IZF2,"ADGRF5 :-: (system Xc–/GSH/GPX4), (system Xc–/GSH/GPX4) :-: Ferroptosis",1
ADIPOQ,suppressor,1.0,Validated,0,Mice,34859390,HGNC:13633,ENSG00000181092,Q15848,"ADIPOQ :-: CPT-1, CPT-1 :+: Ferroptosis, ADIPOQ :-: GLUT4, GLUT4 :+: Ferroptosis",1
ADIPOR1,suppressor,1.0,Validated,0,Human,35733794,HGNC:24040,ENSG00000159346,Q96A54,"ADIPOR1 :+: SLC7A11, SLC7A11 :-: Ferroptosis, ADIPOR1 :+: NRF2, NRF2 :-: Ferroptosis",1
ADORA1,suppressor,1.0,Validated,0,Rat,35653908,HGNC:262,ENSG00000163485,P30542,"ADORA1 :+: GPX4, GPX4 :-: Ferroptosis",1
ADORA2B,suppressor,1.0,Validated,0,Rat,35653908,HGNC:264,ENSG00000170425,P29275,"ADORA2B :+: GPX4, GPX4 :-: Ferroptosis",1
AEBP1,suppressor,1.0,Validated,0,"Human, mice",36352396,HGNC:303,ENSG00000106624,Q8IUX7,"AEBP1 :+: (JNK/ P38 /ERK), (JNK/ P38 /ERK) :-: Ferroptosis",1
AGAP2-AS1,suppressor,1.0,Validated,0,Human,35707044,HGNC:48633,ENSG00000255737,,"AGAP2-AS1 :+: SLC7A11, SLC7A11 :-: Ferroptosis",1
AGER,suppressor,1.0,Validated,0,"Human, mice",37280194,HGNC:320,ENSG00000204305,Q15109,"AGER :+: Sirt4, Sirt4 :-: Ferroptosis",1
AGPS,driver,1.0,Validated,0,Human,32939090,HGNC:327,ENSG00000018510,,"AGPS :+: PUFA-ePLs, PUFA-ePLs :+: Ferroptosis",1
AGTR2,driver,1.0,Validated,0,Human,36860117,HGNC:338,ENSG00000180772,P50052,"AGTR2 :+: p53, p53 :-: SLC7A11, SLC7A11 :-: ALOX12, ALOX12  :+: Ferroptosis",1
AHR,driver|suppressor,1.0,Validated,0,"Human, mice|Mice",37056388|37538043,HGNC:348,ENSG00000106546,P35869,"AHR :+: SLC7A11, SLC7A11 :-: Ferroptosis|AHR :+: STAT3, STAT3 :+: Ferroptosis",2
AIFM2,suppressor,1.0,Validated,0,"Human|Human, mice|Human,rat|Mice|Rat",31634899|31634900|31964528|35774015|36443441|36566325|36893885|37529339|37633973|37739993|37903990|37914914,HGNC:11231|HGNC:21411,ENSG00000042286|ENSG00000198513,Q8WXF7|Q9BRQ8,"AIFM2 :+: CoQ10H2, CoQ10H2 :-: Ferroptosis|AIFM2 :+: ESCRT-III, ESCRT-III :-: Ferroptosis|AIFM2 :+: NADPH, NADPH :-: Ferroptosis|AIFM2 :+: PI3K, PI3K :+: AKT, AKT :-: GSK3β, GSK3β :+: Ferroptosis|AIFM2 :-: Ferroptosis|FSP1 :+: CoQ10, CoQ10 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",12
AIM2,suppressor,1.0,Validated,0,"Human, mice",36923928,HGNC:357,ENSG00000163568,O14862,"AIM2 :-: ACSL4, ACSL4 :+: Ferroptosis",1
AKR1C1,suppressor,1.0,Validated,0,"Human|Human, mice",24844246|31780644|36066316,HGNC:384,ENSG00000187134,Q04828,"AKR1C1 :-: Ferroptosis|AKR1C1 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",3
AKR1C2,suppressor,1.0,Validated,0,Human,24844246|31780644|38049916,HGNC:385,ENSG00000151632,P52895,"AKR1C2 :-: Ferroptosis|AKR1C2 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",3
AKR1C3,suppressor,1.0,Validated,0,"Human|Human, mice",24844246|31780644|36920042,HGNC:386,ENSG00000196139,P42330,"AKR1C3 :+: YAP, YAP :+: SLC7A11, SLC7A11 :-: Ferroptosis|AKR1C3 :-: Ferroptosis|AKR1C3 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",3
AKT,suppressor,1.0,Validated,0,"Human, mice",36648507,HGNC:391,ENSG00000142208,P31749,"AKT :-: GSK3β, GSK3β :-: Nrf2, Nrf2 :-: Ferroptosis",1
AKT1,marker|suppressor|unclassified,1.0,Deduced|Validated,0,"Human, mice|Rat",35370724|37011414|38102129,HGNC:391,ENSG00000142208,P31749,"AKT1 :+: GPX4, GPX4 :-: Ferroptosis|AKT1 :?: Ferroptosis",3
AKT1S1,suppressor,1.0,Deduced|Validated,0,Human|Mice,33707434|36722887,HGNC:28426,ENSG00000204673,Q96B36,"AKT1S1 :+: GPX4, GPX4 :-: Ferroptosis|AKT1S1 :-: Ferroptosis",2
ALDH2,suppressor,1.0,Validated,0,Mice|Rat,37103763|37209766|37552043,HGNC:404,ENSG00000111275,P05091,ALDH2 :-: Ferroptosis,3
ALDH3A2,suppressor,1.0,Validated,0,Human|Mice,32458004|37247796,HGNC:403,ENSG00000072210,P51648,ALDH3A2 :-: Ferroptosis,2
ALG3,suppressor,1.0,Validated,0,"Human, mice",35676564,HGNC:23056,ENSG00000214160,Q92685,"ALG3 :+: GPX4, GPX4 :-: Ferroptosis, ALG3 :+: SLC7A11, SLC7A11 :-: Ferroptosis, ALG3 :+: NRF2, NRF2 :-: Ferroptosis",1
ALKBH5,driver|suppressor,1.0,Deduced|Validated,0,"Human, mice",35689537|36070054|36820954|37979586,HGNC:25996,ENSG00000091542,Q6P6C2,"ALKBH5 :-: Ferroptosis|ALKBH5 :-: NFE2L2, NFE2L2 :-: Ferroptosis|ALKBH5 :-: SLC7A11, SLC7A11 :-: Ferroptosis|ALKBH5 :-: TIAM1, TIAM1 :+: (Nrf2/HO-1), (Nrf2/HO-1) :-: Ferroptosis",4
ALOX12,driver|unclassified,1.0,Deduced|Validated,0,"Human|Human, mice|Mice",27506793|28837253|29632885|30962574|33290842|36517470,HGNC:429,ENSG00000108839,P18054,"ALOX12 :+: Ferroptosis|ALOX12 :+: Lipid peroxide, Lipid peroxide :+: Ferroptosis|ALOX12 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis|ALOX12 :+: PUFAs-OOH, PUFAs-OOH :+: Ferroptosis|ALOX12 :?: Ferroptosis",6
ALOX12B,driver,1.0,Validated,0,Human,27506793,HGNC:430,ENSG00000179477,O75342,"ALOX12B :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis",1
