gene_A,gene_B,score,source,confidence,download_date
ALOX15,LOX,859,STRING,0.859,2026-06-21
ALOX15,PTGS2,963,STRING,0.963,2026-06-21
ATF3,EGR1,873,STRING,0.873,2026-06-21
ATF3,FOSL1,880,STRING,0.88,2026-06-21
ATF3,IL1B,709,STRING,0.709,2026-06-21
ATF3,IL6,779,STRING,0.779,2026-06-21
ATF3,KLF6,721,STRING,0.721,2026-06-21
BCL6,STAT1,732,STRING,0.732,2026-06-21
BRD7,SMARCB1,998,STRING,0.998,2026-06-21
CD74,CTSB,954,STRING,0.954,2026-06-21
CD74,LGMN,932,STRING,0.932,2026-06-21
CRYAB,SNCA,863,STRING,0.863,2026-06-21
CTSB,CD74,954,STRING,0.954,2026-06-21
CTSB,LGMN,944,STRING,0.944,2026-06-21
CTSB,NLRP3,993,STRING,0.993,2026-06-21
CXCL10,CXCL8,975,STRING,0.975,2026-06-21
CXCL10,DPP4,777,STRING,0.777,2026-06-21
CXCL10,IFNG,959,STRING,0.959,2026-06-21
CXCL10,IL1B,962,STRING,0.962,2026-06-21
CXCL10,IL6,960,STRING,0.96,2026-06-21
CXCL10,IRF1,875,STRING,0.875,2026-06-21
CXCL10,IRF7,801,STRING,0.801,2026-06-21
CXCL10,SOCS1,757,STRING,0.757,2026-06-21
CXCL10,STAT1,949,STRING,0.949,2026-06-21
CXCL10,TLR4,969,STRING,0.969,2026-06-21
CXCL8,CXCL10,975,STRING,0.975,2026-06-21
CXCL8,EDN1,803,STRING,0.803,2026-06-21
CXCL8,HIF1A,716,STRING,0.716,2026-06-21
CXCL8,IFNG,961,STRING,0.961,2026-06-21
CXCL8,IL1B,994,STRING,0.994,2026-06-21
CXCL8,IL6,991,STRING,0.991,2026-06-21
CXCL8,MAPK1,735,STRING,0.735,2026-06-21
CXCL8,MPO,733,STRING,0.733,2026-06-21
CXCL8,PTGS2,975,STRING,0.975,2026-06-21
CXCL8,S100A8,763,STRING,0.763,2026-06-21
CXCL8,STAT1,765,STRING,0.765,2026-06-21
CXCL8,TLR4,933,STRING,0.933,2026-06-21
CXCL8,TNFAIP3,738,STRING,0.738,2026-06-21
DPP4,CXCL10,777,STRING,0.777,2026-06-21
DUOX1,NOX4,992,STRING,0.992,2026-06-21
E2F1,E2F3,979,STRING,0.979,2026-06-21
E2F1,SETD7,753,STRING,0.753,2026-06-21
E2F1,SP1,983,STRING,0.983,2026-06-21
E2F3,E2F1,979,STRING,0.979,2026-06-21
EDN1,CXCL8,803,STRING,0.803,2026-06-21
EDN1,HMOX1,735,STRING,0.735,2026-06-21
EDN1,IL1B,803,STRING,0.803,2026-06-21
EDN1,IL6,765,STRING,0.765,2026-06-21
EGR1,ATF3,873,STRING,0.873,2026-06-21
EGR1,FOSL1,862,STRING,0.862,2026-06-21
EGR1,IL6,778,STRING,0.778,2026-06-21
EGR1,MAPK1,946,STRING,0.946,2026-06-21
EGR1,SP1,806,STRING,0.806,2026-06-21
EGR1,STAT1,837,STRING,0.837,2026-06-21
EPHA2,EPHA4,808,STRING,0.808,2026-06-21
EPHA2,TFRC,724,STRING,0.724,2026-06-21
EPHA4,EPHA2,808,STRING,0.808,2026-06-21
FBXL5,HERC2,724,STRING,0.724,2026-06-21
FOSL1,ATF3,880,STRING,0.88,2026-06-21
FOSL1,EGR1,862,STRING,0.862,2026-06-21
FOSL1,MAPK14,816,STRING,0.816,2026-06-21
HERC2,FBXL5,724,STRING,0.724,2026-06-21
HIF1A,CXCL8,716,STRING,0.716,2026-06-21
HIF1A,HMOX1,701,STRING,0.701,2026-06-21
HIF1A,IL1B,771,STRING,0.771,2026-06-21
HIF1A,IL6,800,STRING,0.8,2026-06-21
HIF1A,MAPK1,985,STRING,0.985,2026-06-21
