gene,pathway,source,adj_p_value,confidence,download_date
ABCC1,Arachidonic Acid Metabolism R-HSA-2142753,Reactome_2022,0.0188789929832615,0.5,2026-06-21
ABCC1,Cellular Response To Chemical Stress R-HSA-9711123,Reactome_2022,0.0006759535792969,0.5,2026-06-21
ABCC1,Cellular Responses To Stimuli R-HSA-8953897,Reactome_2022,3.767712891934225e-10,0.9424,2026-06-21
ABCC1,Cellular Responses To Stress R-HSA-2262752,Reactome_2022,3.0994018644440367e-10,0.9509,2026-06-21
ABCC1,Cytoprotection By HMOX1 R-HSA-9707564,Reactome_2022,0.0022770836951869,0.5,2026-06-21
ABCC1,Fatty Acid Metabolism R-HSA-8978868,Reactome_2022,0.047671958964903,0.5,2026-06-21
ABCC1,Heme Degradation R-HSA-189483,Reactome_2022,0.0175455265174376,0.5,2026-06-21
ABCC1,Metabolism Of Porphyrins R-HSA-189445,Reactome_2022,0.0409537562138393,0.5,2026-06-21
ABCC1,MicroRNAs in cancer,KEGG_2021_Human,0.0005382384706565,0.5,2026-06-21
ABCC1,Sphingolipid signaling pathway,KEGG_2021_Human,0.0072150497824104,0.5,2026-06-21
ABCC1,Synthesis Of Leukotrienes (LT) And Eoxins (EX) R-HSA-2142691,Reactome_2022,0.0265752919648333,0.5,2026-06-21
ABCC1,Transport Of Small Molecules R-HSA-382551,Reactome_2022,0.0365973049347365,0.5,2026-06-21
ACSL3,Fatty Acid Metabolism R-HSA-8978868,Reactome_2022,0.047671958964903,0.5,2026-06-21
ACSL3,Ferroptosis,KEGG_2021_Human,1.1701935879460098e-09,0.8932,2026-06-21
ACVR1B,Cytokine-cytokine receptor interaction,KEGG_2021_Human,0.0018341769890577,0.5,2026-06-21
ACVR1B,Signal Transduction R-HSA-162582,Reactome_2022,0.0001293765655843,0.5,2026-06-21
ACVR1B,Signaling By Activin R-HSA-1502540,Reactome_2022,0.0160003737735631,0.5,2026-06-21
ACVR1B,Signaling By NODAL R-HSA-1181150,Reactome_2022,0.028515146033436,0.5,2026-06-21
ACVR1B,Signaling By TGFB Family Members R-HSA-9006936,Reactome_2022,0.0031025475432124,0.5,2026-06-21
ACVR1B,Signaling pathways regulating pluripotency of stem cells,KEGG_2021_Human,0.0020716953527339,0.5,2026-06-21
ACVR1B,TGF-beta signaling pathway,KEGG_2021_Human,0.0003993331686986,0.5,2026-06-21
ALOX15,Arachidonic Acid Metabolism R-HSA-2142753,Reactome_2022,0.0188789929832615,0.5,2026-06-21
ALOX15,Biosynthesis Of DHA-derived SPMs R-HSA-9018677,Reactome_2022,0.0188789929832615,0.5,2026-06-21
