pathway,gene,source
HIF1_signaling,CDKN1C,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,COL5A1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,KLF6,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CP,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,DCN,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,DTNA,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,EXT1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GPC4,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ALDOB,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GAA,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GBE1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GCK,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GCNT2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GPC3,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,HK1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,HMOX1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,IDS,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,IL6,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,KIF5A,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,MAP3K1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,MYH9,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,PDGFB,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ATP7A,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,BCL2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,TGFB3,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,TGFBI,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,TPI1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,VHL,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CAV1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,IRS2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,LARGE1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GRHPR,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CHST3,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CDKN1B,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CITED2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,NDRG1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,B3GALT6,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,EGFR,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,FBP1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,SLC37A4,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GALK1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GPI1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CAVIN1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,HEXA,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,RBPJ,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,MIF,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,MXI1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,PDK3,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,PGM1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,PKLR,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,PYGM,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,SLC2A1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,SULT2B1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,VLDLR,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CXCR4,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,SDC3,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ERO1A,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,PRDX5,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,JMJD6,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,GPC1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,PKP1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,LXN,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CHST2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,SLC2A5,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ISG20,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CDKN1A,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,DPYSL4,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ILVBL,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,PLIN2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ADM,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ADORA2B,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,NCAN,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CSRP2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,CCN2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,DDIT3,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,DUSP1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,EDN2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,EFNA1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,EFNA3,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ENO1B,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ENO2,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ENO3,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,ETS1,MSigDB (original: HALLMARK_HYPOXIA)
HIF1_signaling,F3,MSigDB (original: HALLMARK_HYPOXIA)
