pathway,gene_id,kegg_id,source
Ferroptosis,hsa:10162,hsa04216,KEGG_REST
Ferroptosis,hsa:10533,hsa04216,KEGG_REST
Ferroptosis,hsa:112483,hsa04216,KEGG_REST
Ferroptosis,hsa:1356,hsa04216,KEGG_REST
Ferroptosis,hsa:1536,hsa04216,KEGG_REST
Ferroptosis,hsa:2180,hsa04216,KEGG_REST
Ferroptosis,hsa:2181,hsa04216,KEGG_REST
Ferroptosis,hsa:2182,hsa04216,KEGG_REST
Ferroptosis,hsa:23305,hsa04216,KEGG_REST
Ferroptosis,hsa:23516,hsa04216,KEGG_REST
Ferroptosis,hsa:23657,hsa04216,KEGG_REST
Ferroptosis,hsa:246,hsa04216,KEGG_REST
Ferroptosis,hsa:2495,hsa04216,KEGG_REST
Ferroptosis,hsa:2512,hsa04216,KEGG_REST
Ferroptosis,hsa:2729,hsa04216,KEGG_REST
Ferroptosis,hsa:2730,hsa04216,KEGG_REST
Ferroptosis,hsa:2879,hsa04216,KEGG_REST
Ferroptosis,hsa:2937,hsa04216,KEGG_REST
Ferroptosis,hsa:30061,hsa04216,KEGG_REST
Ferroptosis,hsa:3162,hsa04216,KEGG_REST
Ferroptosis,hsa:392288,hsa04216,KEGG_REST
Ferroptosis,hsa:440738,hsa04216,KEGG_REST
Ferroptosis,hsa:4891,hsa04216,KEGG_REST
Ferroptosis,hsa:5093,hsa04216,KEGG_REST
Ferroptosis,hsa:5094,hsa04216,KEGG_REST
Ferroptosis,hsa:51703,hsa04216,KEGG_REST
Ferroptosis,hsa:55240,hsa04216,KEGG_REST
Ferroptosis,hsa:5621,hsa04216,KEGG_REST
Ferroptosis,hsa:6303,hsa04216,KEGG_REST
Ferroptosis,hsa:64116,hsa04216,KEGG_REST
Ferroptosis,hsa:643246,hsa04216,KEGG_REST
Ferroptosis,hsa:6520,hsa04216,KEGG_REST
Ferroptosis,hsa:7018,hsa04216,KEGG_REST
Ferroptosis,hsa:7037,hsa04216,KEGG_REST
Ferroptosis,hsa:7157,hsa04216,KEGG_REST
Ferroptosis,hsa:7417,hsa04216,KEGG_REST
Ferroptosis,hsa:7419,hsa04216,KEGG_REST
Ferroptosis,hsa:8031,hsa04216,KEGG_REST
Ferroptosis,hsa:81631,hsa04216,KEGG_REST
Ferroptosis,hsa:84557,hsa04216,KEGG_REST
Ferroptosis,hsa:94033,hsa04216,KEGG_REST
Ferroptosis,hsa:9474,hsa04216,KEGG_REST
mTOR_signaling,hsa:10000,hsa04150,KEGG_REST
mTOR_signaling,hsa:101927180,hsa04150,KEGG_REST
mTOR_signaling,hsa:10325,hsa04150,KEGG_REST
mTOR_signaling,hsa:10542,hsa04150,KEGG_REST
mTOR_signaling,hsa:10641,hsa04150,KEGG_REST
mTOR_signaling,hsa:10670,hsa04150,KEGG_REST
mTOR_signaling,hsa:107080638,hsa04150,KEGG_REST
mTOR_signaling,hsa:110117499,hsa04150,KEGG_REST
mTOR_signaling,hsa:11211,hsa04150,KEGG_REST
mTOR_signaling,hsa:1147,hsa04150,KEGG_REST
mTOR_signaling,hsa:127124,hsa04150,KEGG_REST
mTOR_signaling,hsa:153129,hsa04150,KEGG_REST
mTOR_signaling,hsa:1855,hsa04150,KEGG_REST
mTOR_signaling,hsa:1856,hsa04150,KEGG_REST
mTOR_signaling,hsa:1857,hsa04150,KEGG_REST
mTOR_signaling,hsa:1975,hsa04150,KEGG_REST
mTOR_signaling,hsa:1977,hsa04150,KEGG_REST
mTOR_signaling,hsa:1978,hsa04150,KEGG_REST
mTOR_signaling,hsa:201163,hsa04150,KEGG_REST
mTOR_signaling,hsa:207,hsa04150,KEGG_REST
mTOR_signaling,hsa:208,hsa04150,KEGG_REST
mTOR_signaling,hsa:220441,hsa04150,KEGG_REST
mTOR_signaling,hsa:23175,hsa04150,KEGG_REST
mTOR_signaling,hsa:245973,hsa04150,KEGG_REST
mTOR_signaling,hsa:2475,hsa04150,KEGG_REST
mTOR_signaling,hsa:253260,hsa04150,KEGG_REST
mTOR_signaling,hsa:253314,hsa04150,KEGG_REST
mTOR_signaling,hsa:2535,hsa04150,KEGG_REST
mTOR_signaling,hsa:27330,hsa04150,KEGG_REST
mTOR_signaling,hsa:2885,hsa04150,KEGG_REST
mTOR_signaling,hsa:2887,hsa04150,KEGG_REST
mTOR_signaling,hsa:28956,hsa04150,KEGG_REST
mTOR_signaling,hsa:2932,hsa04150,KEGG_REST
mTOR_signaling,hsa:3265,hsa04150,KEGG_REST
mTOR_signaling,hsa:3479,hsa04150,KEGG_REST
mTOR_signaling,hsa:3480,hsa04150,KEGG_REST
mTOR_signaling,hsa:3551,hsa04150,KEGG_REST
mTOR_signaling,hsa:3630,hsa04150,KEGG_REST
mTOR_signaling,hsa:3643,hsa04150,KEGG_REST
mTOR_signaling,hsa:3667,hsa04150,KEGG_REST
mTOR_signaling,hsa:3845,hsa04150,KEGG_REST
mTOR_signaling,hsa:387,hsa04150,KEGG_REST
mTOR_signaling,hsa:389541,hsa04150,KEGG_REST
mTOR_signaling,hsa:4040,hsa04150,KEGG_REST
mTOR_signaling,hsa:4041,hsa04150,KEGG_REST
mTOR_signaling,hsa:4893,hsa04150,KEGG_REST
mTOR_signaling,hsa:51256,hsa04150,KEGG_REST
mTOR_signaling,hsa:51382,hsa04150,KEGG_REST
mTOR_signaling,hsa:51384,hsa04150,KEGG_REST
mTOR_signaling,hsa:51606,hsa04150,KEGG_REST
mTOR_signaling,hsa:5170,hsa04150,KEGG_REST
mTOR_signaling,hsa:51719,hsa04150,KEGG_REST
mTOR_signaling,hsa:523,hsa04150,KEGG_REST
mTOR_signaling,hsa:525,hsa04150,KEGG_REST
mTOR_signaling,hsa:526,hsa04150,KEGG_REST
mTOR_signaling,hsa:528,hsa04150,KEGG_REST
mTOR_signaling,hsa:529,hsa04150,KEGG_REST
mTOR_signaling,hsa:5290,hsa04150,KEGG_REST
mTOR_signaling,hsa:5291,hsa04150,KEGG_REST
mTOR_signaling,hsa:5293,hsa04150,KEGG_REST
mTOR_signaling,hsa:5295,hsa04150,KEGG_REST
mTOR_signaling,hsa:5296,hsa04150,KEGG_REST
mTOR_signaling,hsa:534,hsa04150,KEGG_REST
mTOR_signaling,hsa:54361,hsa04150,KEGG_REST
mTOR_signaling,hsa:54468,hsa04150,KEGG_REST
mTOR_signaling,hsa:54541,hsa04150,KEGG_REST
mTOR_signaling,hsa:55004,hsa04150,KEGG_REST
mTOR_signaling,hsa:55437,hsa04150,KEGG_REST
mTOR_signaling,hsa:55615,hsa04150,KEGG_REST
mTOR_signaling,hsa:5562,hsa04150,KEGG_REST
mTOR_signaling,hsa:5563,hsa04150,KEGG_REST
mTOR_signaling,hsa:5578,hsa04150,KEGG_REST
mTOR_signaling,hsa:5579,hsa04150,KEGG_REST
mTOR_signaling,hsa:5582,hsa04150,KEGG_REST
mTOR_signaling,hsa:5594,hsa04150,KEGG_REST
mTOR_signaling,hsa:5595,hsa04150,KEGG_REST
mTOR_signaling,hsa:5604,hsa04150,KEGG_REST
mTOR_signaling,hsa:5605,hsa04150,KEGG_REST
mTOR_signaling,hsa:5728,hsa04150,KEGG_REST
mTOR_signaling,hsa:57521,hsa04150,KEGG_REST
mTOR_signaling,hsa:57600,hsa04150,KEGG_REST
mTOR_signaling,hsa:58528,hsa04150,KEGG_REST
mTOR_signaling,hsa:5894,hsa04150,KEGG_REST
mTOR_signaling,hsa:6009,hsa04150,KEGG_REST
mTOR_signaling,hsa:6194,hsa04150,KEGG_REST
mTOR_signaling,hsa:6195,hsa04150,KEGG_REST
