ligand,receptor,source,confidence,download_date
ANGPTL2,TLR4,CellChatDB|PMID: 24478758,0.85,2026-06-22
APP,CD74,CellChatDB; CellPhoneDB|PMID: 19849849; PMID:19849849,0.85,2026-06-22
BMP15,ACVR1B,CellPhoneDB|PMID:1218020110,0.85,2026-06-22
CCL11,DPP4,CellPhoneDB|PMID:24218476,0.85,2026-06-22
CCL22,DPP4,CellPhoneDB|PMID:24218476,0.85,2026-06-22
CLCF1,LIFR,CellPhoneDB|uniprot,0.85,2026-06-22
CNTF,LIFR,CellPhoneDB|uniprot,0.85,2026-06-22
CXCL10,ACKR1,CellChatDB|PMID: 26740381,0.85,2026-06-22
CXCL10,CXCR3,CellChatDB; CellPhoneDB|KEGG: hsa04060; PMID:24218476,0.85,2026-06-22
CXCL10,DPP4,CellPhoneDB|PMID:24218476,0.85,2026-06-22
CXCL11,DPP4,CellPhoneDB|PMID:24218476,0.85,2026-06-22
CXCL12,DPP4,CellPhoneDB|PMID:24218476,0.85,2026-06-22
CXCL2,DPP4,CellPhoneDB|PMID:24218476,0.85,2026-06-22
CXCL9,DPP4,CellPhoneDB|PMID:24218476,0.85,2026-06-22
DPEP1,CYSLTR1,CellPhoneDB|HMRbase;uniprot;reactome,0.85,2026-06-22
DPEP1,CYSLTR2,CellPhoneDB|uniprot;reactome;IUPHAR,0.85,2026-06-22
EDN1,EDNRA,CellChatDB; CellPhoneDB|KEGG: hsa04080; uniprot;reactome;IUPHAR,0.85,2026-06-22
EDN1,EDNRB,CellChatDB; CellPhoneDB|KEGG: hsa04080; uniprot;reactome;IUPHAR,0.85,2026-06-22
EFNA1,EPHA2,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNA1,EPHA4,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNA2,EPHA2,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNA2,EPHA4,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNA3,EPHA2,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNA3,EPHA4,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNA4,EPHA2,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNA4,EPHA4,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNA5,EPHA2,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNA5,EPHA4,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNB1,EPHA2,CellPhoneDB|Shilts screen - VALIDATED,0.85,2026-06-22
EFNB1,EPHA4,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNB2,EPHA4,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
EFNB3,EPHA4,CellChatDB; CellPhoneDB|PMID: 15114347; PMID:15114347,0.85,2026-06-22
ERVH48-1,SLC1A5,CellPhoneDB|uniprot,0.85,2026-06-22
GDF1,ACVR1B,CellPhoneDB|PMID:22710174,0.85,2026-06-22
GDF10,ACVR1B,CellPhoneDB|PMID:22710174,0.85,2026-06-22
GDF11,ACVR1B,CellPhoneDB|PMID:22710174,0.85,2026-06-22
GDF2,ACVR1B,CellPhoneDB|PMID:1218020110,0.85,2026-06-22
GDF3,ACVR1B,CellPhoneDB|PMID:22710174,0.85,2026-06-22
HFE,TFRC,CellPhoneDB|uniprot,0.85,2026-06-22
HMGB1,AGER,literature|literature_PMID:24464275,0.85,2026-06-22
HMGB1,TLR4,literature|literature_PMID:30134799,0.85,2026-06-22
HSP70,TLR4,literature|literature_PMID:16709157,0.85,2026-06-22
HSP90,TLR4,literature|literature_PMID:25231853,0.85,2026-06-22
IFNG,IFNGR1,CellChatDB; CellPhoneDB|KEGG: hsa04060; PMID:9208871,0.85,2026-06-22
IFNG,IFNGR2,CellChatDB; CellPhoneDB|KEGG: hsa04060; PMID:9208871,0.85,2026-06-22
IL1B,IL1R1,CellChatDB; CellPhoneDB|4dep;PDB; KEGG: hsa04060,0.85,2026-06-22
IL1B,IL1R2,CellChatDB; CellPhoneDB|KEGG: hsa04060; PDB:3o4o,0.85,2026-06-22
IL1B,IL1RAP,CellChatDB; CellPhoneDB|4dep;PDB; KEGG: hsa04060; PDB:3o4o,0.85,2026-06-22
IL6,IL6R,CellChatDB; CellPhoneDB|1p9m;PDB; KEGG: hsa04060,0.85,2026-06-22
IL6,IL6ST,CellChatDB; CellPhoneDB|1p9m;PDB; KEGG: hsa04060,0.85,2026-06-22
INHA,ACVR1B,CellPhoneDB|PMID:22710174;PMID:22991378,0.85,2026-06-22
INHBA,ACVR1B,CellPhoneDB|PMID:22710174;PMID:22991378,0.85,2026-06-22
INHBB,ACVR1B,CellPhoneDB|PMID:22710174;PMID:22991378,0.85,2026-06-22
LCN2,SLC22A17,CellPhoneDB|uniprot;reactome,0.85,2026-06-22
LIF,LIFR,CellPhoneDB|1pvh;PDB_partially,0.85,2026-06-22
MSTN,ACVR1B,CellPhoneDB|PMID:22710174,0.85,2026-06-22
NODAL,ACVR1B,CellPhoneDB|PMID:22710174; reactome,0.85,2026-06-22
OSM,LIFR,CellPhoneDB|uniprot,0.85,2026-06-22
RETN,TLR4,CellChatDB|PMID: 30809105,0.85,2026-06-22
S100A8,TLR4,literature|literature_PMID:29611822,0.85,2026-06-22
S100A9,TLR4,literature|literature_PMID:29611822,0.85,2026-06-22
S100B,TLR4,literature|literature_PMID:21946573,0.85,2026-06-22
TF,TFRC,CellPhoneDB|uniprot,0.85,2026-06-22
WNT5A,FZD1,CellChatDB|KEGG: hsa04310,0.85,2026-06-22
WNT5A,FZD10,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24532711,0.85,2026-06-22
WNT5A,FZD2,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24032637,0.85,2026-06-22
WNT5A,FZD3,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24032637,0.85,2026-06-22
WNT5A,FZD4,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24532711,0.85,2026-06-22
WNT5A,FZD5,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24032637; PMID:24532711,0.85,2026-06-22
WNT5A,FZD6,CellChatDB; CellPhoneDB|KEGG: hsa04310; PMID:24532711,0.85,2026-06-22
