mirna,gene,support_type,source,score,confidence,confidence_level,download_date
Hsa-miR-21-5p,KLF6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
MiR-210,EPHA2,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7a-5p,E2F1,Non-Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7a-5p,EDN1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7a-5p,IL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7b-5p,EDN1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7b-5p,SOCS1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7b-5p,STAT1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7b-5p,TLR4,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7c-5p,IL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7f-5p,EDN1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7f-5p,IL6,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7i-3p,STAT1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7i-5p,SOCS1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-let-7i-5p,TLR4,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-1-3p,EDN1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-1-3p,PTBP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
hsa-miR-1-3p,SP1,Functional MTI,miRTarBase_10.0_SE_WR,0.9,0.9,high,2026-06-21
