disease,gene,score,efo_id,disease_name,target_name
CIRI,APP,0.8806621678064895,EFO_0003763,CIRI_cerebrovascular_disorder,amyloid beta precursor protein
CIRI,COL4A1,0.8794188081184772,EFO_0003763,CIRI_cerebrovascular_disorder,collagen type IV alpha 1 chain
CIRI,NOTCH3,0.838596637408074,EFO_0003763,CIRI_cerebrovascular_disorder,notch receptor 3
CIRI,COL4A2,0.8258260162037324,EFO_0003763,CIRI_cerebrovascular_disorder,collagen type IV alpha 2 chain
CIRI,ITM2B,0.7952574079932486,EFO_0003763,CIRI_cerebrovascular_disorder,integral membrane protein 2B
CIRI,ACE,0.7814233678981013,EFO_0003763,CIRI_cerebrovascular_disorder,angiotensin I converting enzyme
CIRI,ACTA2,0.7777363549596444,EFO_0003763,CIRI_cerebrovascular_disorder,"actin alpha 2, smooth muscle"
CIRI,F2,0.7669556671707969,EFO_0003763,CIRI_cerebrovascular_disorder,"coagulation factor II, thrombin"
CIRI,RNF213,0.7500530606499308,EFO_0003763,CIRI_cerebrovascular_disorder,ring finger protein 213
CIRI,COLGALT1,0.7458439134381536,EFO_0003763,CIRI_cerebrovascular_disorder,collagen beta(1-O)galactosyltransferase 1
CIRI,CST3,0.7225508275298195,EFO_0003763,CIRI_cerebrovascular_disorder,cystatin C
CIRI,THSD1,0.7122511745803987,EFO_0003763,CIRI_cerebrovascular_disorder,thrombospondin type 1 domain containing 1
CIRI,F5,0.708882669252664,EFO_0003763,CIRI_cerebrovascular_disorder,coagulation factor V
CIRI,PDE3A,0.6990766315021674,EFO_0003763,CIRI_cerebrovascular_disorder,phosphodiesterase 3A
CIRI,GUCY1A1,0.6973975254483008,EFO_0003763,CIRI_cerebrovascular_disorder,guanylate cyclase 1 soluble subunit alpha 1
CIRI,HMGCR,0.6936730353238338,EFO_0003763,CIRI_cerebrovascular_disorder,3-hydroxy-3-methylglutaryl-CoA reductase
CIRI,ADRB1,0.6556272335360966,EFO_0003763,CIRI_cerebrovascular_disorder,adrenoceptor beta 1
CIRI,PRNP,0.6549655960770518,EFO_0003763,CIRI_cerebrovascular_disorder,prion protein (Kanno blood group)
CIRI,HTRA1,0.6514213015910538,EFO_0003763,CIRI_cerebrovascular_disorder,HtrA serine peptidase 1
CIRI,PDE5A,0.6268185375586133,EFO_0003763,CIRI_cerebrovascular_disorder,phosphodiesterase 5A
CIRI,PTGS2,0.6256738579004708,EFO_0003763,CIRI_cerebrovascular_disorder,prostaglandin-endoperoxide synthase 2
CIRI,P2RY12,0.6200365000578153,EFO_0003763,CIRI_cerebrovascular_disorder,purinergic receptor P2Y12
CIRI,EDNRA,0.6149039497202391,EFO_0003763,CIRI_cerebrovascular_disorder,endothelin receptor type A
CIRI,AGTR1,0.6119222867583616,EFO_0003763,CIRI_cerebrovascular_disorder,angiotensin II receptor type 1
CIRI,F10,0.6106120039749086,EFO_0003763,CIRI_cerebrovascular_disorder,coagulation factor X
CIRI,PTGS1,0.6104247303760928,EFO_0003763,CIRI_cerebrovascular_disorder,prostaglandin-endoperoxide synthase 1
CIRI,APOE,0.609112600410726,EFO_0003763,CIRI_cerebrovascular_disorder,apolipoprotein E
CIRI,PLAT,0.6024158291808936,EFO_0003763,CIRI_cerebrovascular_disorder,"plasminogen activator, tissue type"
CIRI,PDE8B,0.599452965342628,EFO_0003763,CIRI_cerebrovascular_disorder,phosphodiesterase 8B
CIRI,ZFHX3,0.5992513415380458,EFO_0003763,CIRI_cerebrovascular_disorder,zinc finger homeobox 3
CIRI,ADRB2,0.5930525910208744,EFO_0003763,CIRI_cerebrovascular_disorder,adrenoceptor beta 2
CIRI,KCNK3,0.5831811525569967,EFO_0003763,CIRI_cerebrovascular_disorder,potassium two pore domain channel subfamily K member 3
CIRI,CACNA1C,0.5823957942381282,EFO_0003763,CIRI_cerebrovascular_disorder,calcium voltage-gated channel subunit alpha1 C
CIRI,HFE,0.5812056611341271,EFO_0003763,CIRI_cerebrovascular_disorder,homeostatic iron regulator
CIRI,LDLR,0.5785900442377082,EFO_0003763,CIRI_cerebrovascular_disorder,low density lipoprotein receptor
CIRI,CACNA1S,0.5757718806826736,EFO_0003763,CIRI_cerebrovascular_disorder,calcium voltage-gated channel subunit alpha1 S
CIRI,CACNA1D,0.5757718806826736,EFO_0003763,CIRI_cerebrovascular_disorder,calcium voltage-gated channel subunit alpha1 D
