celltype,gene,species,source
Adrenergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Adrenergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Adrenergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Adrenergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Adrenergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Adrenergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Adrenergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Adrenergic neurons,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
Astrocytes,PROTEIN-CODING GENE,Mus musculus,PanglaoDB
