compound,cid,MW,LogP,HBD,HBA,TPSA,RotB,SMILES,IUPACName,MolecularFormula,source,molecular_weight,xlogp,hbd,hba,tpsa,rotbonds
BCP,5281515,204.35,4.4,0,0,0.0,0,C/C/1=C\CCC(=C)[C@H]2CC([C@@H]2CC1)(C)C,"(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene",C15H24,Cannabis sativa / synthetic,204.35,4.4,0,0,0.0,0
VC,54670067,176.12,-1.6,4,6,107.0,2,C([C@@H]([C@H]1[C@@H]([C@H]([C@@H](O1)O)O)O)O)O,"(2R)-2-[(1S)-1,2-dihydroxyethyl]-3,4-dihydroxy-2H-furan-5-one",C6H8O6,Camellia sinensis / dietary,176.12,-1.6,4,6,107.0,2
Fer-1,4063092,708.6,4.1,2,14,252.0,11,CCOC(=O)C1=CC(=C(C=C1)NC2CCCCC2)N,2-[3-methyl-4-[morpholin-4-yl-(4-nitroanilino)phosphoryl]-5-[(4-nitrobenzoyl)amino]pyrazol-1-yl]ethyl 4-nitrobenzoate,C30H29N8O11P,Synthetic,708.6,4.1,2,14,252.0,11
DFO,2973,560.7,-2.1,6,9,206.0,23,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN.CS(=O)(O)=O,N-[5-[[4-[5-[acetyl(hydroxy)amino]pentylamino]-4-oxobutanoyl]-hydroxyamino]pentyl]-N'-(5-aminopentyl)-N'-hydroxybutanediamide,C25H48N6O8,Synthetic,560.7,-2.1,6,9,206.0,23
Lip-1,42608917,291.41,-1.3,1,4,79.3,4,ClC1=CC(CNC(C23CCNCC2)=NC4=C(N3)C=CC=C4)=CC=C1,"3-(6-methoxy-1,2,3,4,4a,5,6,7,8,8a-decahydroquinolin-1-ium-1-yl)propane-1-sulfonate",C13H25NO4S,Synthetic,291.41,-1.3,1,4,79.3,4
Erastin,11294402,472.5,5.2,0,6,102.0,3,CCOC1=CC=CC=C1N2C(=O)C3=CC=CC=C3N=C2C(C)N4CCN(CC4)C(=O)COC5=CC=C(C=C5)Cl,"3,4,14-triphenyl-8-thia-5,6,11,12,14,16-hexazatetracyclo[7.7.0.02,7.011,15]hexadeca-1(9),2,4,6,12,15-hexaen-10-one",C27H16N6OS,Synthetic,472.5,5.2,0,6,102.0,3
RSL3,25195377,566.7,4.8,2,9,129.0,27,COC(=O)C1CC2=C(C(N1C(=O)CCl)C3=CC=C(C=C3)C(=O)OC)NC4=CC=CC=C24,"2-[[(2R)-3-formyloxy-2-[(Z,12S)-12-hydroxyoctadec-9-enoyl]oxypropoxy]-hydroxyphosphoryl]oxyethyl-trimethylazanium",C27H53NO9P+,Synthetic,566.7,4.8,2,9,129.0,27
ML162,609375,332.4,7.4,0,0,0.0,4,COC1=C(C=C(C=C1)N(C(C2=CC=CS2)C(=O)NCCC3=CC=CC=C3)C(=O)CCl)Cl,"1-(6-azulen-6-ylhexa-1,3,5-trienyl)azulene",C26H20,Synthetic,332.4,7.4,0,0,0.0,4
Cinnamaldehyde,637511,132.16,1.9,0,1,17.1,2,C1=CC=C(C=C1)/C=C/C=O,(E)-3-phenylprop-2-enal,C9H8O,Cinnamomum cassia (Guizhi),132.16,1.9,0,1,17.1,2
Cinnamic_acid,444539,148.16,2.1,1,2,37.3,2,C1=CC=C(C=C1)/C=C/C(=O)O,(E)-3-phenylprop-2-enoic acid,C9H8O2,Cinnamomum cassia (Guizhi),148.16,2.1,1,2,37.3,2
Quercetin,5280343,302.23,1.5,5,7,127.0,1,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,"2-(3,4-dihydroxyphenyl)-3,5,7-trihydroxychromen-4-one",C15H10O7,Artemisia argyi (Aiye),302.23,1.5,5,7,127.0,1
Naringenin,439246,272.25,2.4,3,5,87.0,1,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,"(2S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-2,3-dihydrochromen-4-one",C15H12O5,Artemisia argyi (Aiye),272.25,2.4,3,5,87.0,1
Eucalyptol,2758,154.25,2.5,0,1,9.2,0,CC1(C2CCC(O1)(CC2)C)C,"1,3,3-trimethyl-2-oxabicyclo[2.2.2]octane",C10H18O,Artemisia argyi (Aiye) essential oil,154.25,2.5,0,1,9.2,0
Borneol,64685,154.25,2.7,1,1,20.2,0,CC1(C2CCC1(C(C2)O)C)C,"1,7,7-trimethylbicyclo[2.2.1]heptan-2-ol",C10H18O,Artemisia argyi (Aiye),154.25,2.7,1,1,20.2,0
Baicalein,5281605,270.24,1.7,3,5,87.0,1,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,"5,6,7-trihydroxy-2-phenylchromen-4-one",C15H10O5,Scutellaria baicalensis (Huangqin),270.24,1.7,3,5,87.0,1
Wogonin,5281703,284.26,3.0,2,5,76.0,2,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)O,"5,7-dihydroxy-8-methoxy-2-phenylchromen-4-one",C16H12O5,Scutellaria baicalensis (Huangqin),284.26,3.0,2,5,76.0,2
Luteolin,5280445,286.24,1.4,4,6,107.0,1,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O,"2-(3,4-dihydroxyphenyl)-5,7-dihydroxychromen-4-one",C15H10O6,Artemisia argyi (Aiye) / multiple herbs,286.24,1.4,4,6,107.0,1
Kaempferol,5280863,286.24,1.9,4,6,107.0,1,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,"3,5,7-trihydroxy-2-(4-hydroxyphenyl)chromen-4-one",C15H10O6,Artemisia argyi (Aiye) / multiple herbs,286.24,1.9,4,6,107.0,1
Hesperetin,72281,302.28,2.4,3,6,96.2,2,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,"(2S)-5,7-dihydroxy-2-(3-hydroxy-4-methoxyphenyl)-2,3-dihydrochromen-4-one",C16H14O6,Citrus reticulata (Chenpi),302.28,2.4,3,6,96.2,2
Resveratrol,445154,228.24,3.1,3,3,60.7,2,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O,"5-[(E)-2-(4-hydroxyphenyl)ethenyl]benzene-1,3-diol",C14H12O3,Polygonum cuspidatum (Huzhang),228.24,3.1,3,3,60.7,2
